feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,148,1261,5198,966,0.1050390347764372,0.13285457809694792,0.8047685400216752,0.11732065001981767,0.7059289581407633,0.46881155905931154,1114,6459,1409,6164
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,0.5,51,0,1031,6109,350,83,0.14439775910364144,0.9254937163375224,0.05418795479176343,0.249818269929731,0.18235837844975572,0.4898408355646429,1114,6459,7140,433,138,1253,5206,976,0.09920920201294033,0.12387791741472172,0.806007121845487,0.11017964071856287,0.7056648620097715,0.46494251963010436,1114,6459,1391,6182
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,1.0,51,0,949,5776,683,165,0.14111524163568773,0.8518850987432675,0.10574392320792693,0.24212271973466004,0.21550244288921167,0.4788145109755972,1114,6459,6725,848,131,1241,5218,983,0.09548104956268222,0.11759425493716337,0.8078649945812045,0.10539018503620275,0.7063251023372508,0.46272962475918394,1114,6459,1372,6201
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,1.5,51,0,869,5464,995,245,0.13721774830254224,0.7800718132854578,0.15404861433658462,0.2333825701624815,0.24613759408424665,0.46706021381102125,1114,6459,6333,1240,122,1214,5245,992,0.09131736526946108,0.10951526032315978,0.8120452082365691,0.09959183673469388,0.7087019675161759,0.4607802342798645,1114,6459,1336,6237
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,2.0,51,0,810,5149,1310,304,0.13592884712200035,0.7271095152603232,0.2028177736491717,0.22904001131061785,0.2799418988511818,0.46496364445474747,1114,6459,5959,1614,121,1186,5273,993,0.09257842387146137,0.10861759425493717,0.8163802446199102,0.09995869475423379,0.7122672652845636,0.4624989194374237,1114,6459,1307,6266
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,2.5,51,0,731,4853,1606,383,0.13090974212034384,0.6561938958707361,0.24864530113020591,0.21827411167512692,0.3085963290637792,0.452419598500471,1114,6459,5584,1989,111,1174,5285,1003,0.08638132295719844,0.09964093357271095,0.8182381173556278,0.09253855773238849,0.7125313614155553,0.4589395254641694,1114,6459,1285,6288
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,3.0,51,0,650,4540,1919,464,0.1252408477842004,0.5834829443447038,0.29710481498684005,0.20621827411167512,0.3392314802588142,0.44029387966577194,1114,6459,5190,2383,99,1140,5319,1015,0.07990314769975787,0.08886894075403949,0.8235020901068277,0.08414789630259242,0.7154364188564638,0.4561855154304336,1114,6459,1239,6334
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,3.5,51,0,568,4233,2226,546,0.11830868569048116,0.5098743267504489,0.3446353924756154,0.19205409974640744,0.36894229499537834,0.4272548596130321,1114,6459,4801,2772,87,1108,5351,1027,0.07280334728033473,0.07809694793536805,0.8284564174020747,0.07535729753139889,0.7180773801663806,0.45327668266872134,1114,6459,1195,6378
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,4.0,51,0,495,3942,2517,619,0.11156186612576065,0.44434470377019747,0.3896888063167673,0.1783462439200144,0.39772877327347156,0.41701675504348235,1114,6459,4437,3136,84,1070,5389,1030,0.07279029462738301,0.07540394973070018,0.8343396810651804,0.07407407407407407,0.7226990624587349,0.4548718153979403,1114,6459,1154,6419
sharedEdgeUnionCentroidDistance,continuous,>=,0.0,24.5,0.5,4.5,51,0,443,3676,2783,671,0.10755037630492838,0.3976660682226212,0.4308716519585075,0.16931014714313014,0.4259870592895814,0.41426886009056435,1114,6459,4119,3454,83,1034,5425,1031,0.07430617726051925,0.07450628366247755,0.8399132992723332,0.07440609592111161,0.7273207447510894,0.45720979146740537,1114,6459,1117,6456
