feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,0.5,51,0,83,350,6109,1031,0.19168591224018475,0.07450628366247755,0.9458120452082366,0.10730446024563671,0.8176416215502443,0.510159164435357,1114,6459,433,7140,68,258,6201,1046,0.2085889570552147,0.06104129263913824,0.9600557361820715,0.09444444444444444,0.827809322593424,0.5105485144106049,1114,6459,326,7247
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,1.0,51,0,165,683,5776,949,0.1945754716981132,0.1481149012567325,0.8942560767920731,0.16819571865443422,0.7844975571107883,0.5211854890244028,1114,6459,848,6725,125,428,6031,989,0.22603978300180833,0.11220825852782765,0.9337358724260721,0.14997000599880025,0.812887891192394,0.5229720654769499,1114,6459,553,7020
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,1.5,51,0,245,995,5464,869,0.1975806451612903,0.2199281867145422,0.8459513856634154,0.20815632965165673,0.7538624059157534,0.5329397861889789,1114,6459,1240,6333,155,539,5920,959,0.22334293948126802,0.13913824057450627,0.9165505496206843,0.17146017699115043,0.802191997887231,0.5278443950975953,1114,6459,694,6879
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,2.0,51,0,304,1310,5149,810,0.18835192069392812,0.27289048473967686,0.7971822263508282,0.22287390029325516,0.7200581011488182,0.5350363555452525,1114,6459,1614,5959,182,626,5833,932,0.22524752475247525,0.16337522441651706,0.9030809722867317,0.18938605619146723,0.7942691139574806,0.5332280983516243,1114,6459,808,6765
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,2.5,51,0,383,1606,4853,731,0.1925590749120161,0.34380610412926393,0.7513546988697941,0.24685787947147927,0.6914036709362208,0.547580401499529,1114,6459,1989,5584,215,690,5769,899,0.23756906077348067,0.19299820466786355,0.8931723176962378,0.21297672114908373,0.7901756239271095,0.5430852611820507,1114,6459,905,6668
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,3.0,51,0,464,1919,4540,650,0.19471254720939993,0.41651705565529623,0.70289518501316,0.26537031741492706,0.6607685197411858,0.5597061203342281,1114,6459,2383,5190,238,745,5714,876,0.24211597151576805,0.21364452423698385,0.8846570676575322,0.22699093943729137,0.7859500858312426,0.549150795947258,1114,6459,983,6590
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,3.5,51,0,546,2226,4233,568,0.19696969696969696,0.49012567324955114,0.6553646075243846,0.2810087493566649,0.6310577050046217,0.5727451403869679,1114,6459,2772,4801,261,795,5664,853,0.2471590909090909,0.23429084380610413,0.8769159312587088,0.24055299539170508,0.7823847880628548,0.5556033875324065,1114,6459,1056,6517
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,4.0,51,0,619,2517,3942,495,0.19738520408163265,0.5556552962298025,0.6103111936832327,0.29129411764705887,0.6022712267265284,0.5829832449565175,1114,6459,3136,4437,278,828,5631,836,0.2513562386980108,0.2495511669658887,0.8718067812354854,0.25045045045045045,0.7802720190149214,0.560678974100687,1114,6459,1106,6467
sharedEdgeUnionCentroidDistance,continuous,<=,0.0,24.5,0.5,4.5,51,0,671,2783,3676,443,0.1942675159235669,0.6023339317773788,0.5691283480414925,0.29378283712784586,0.5740129407104186,0.5857311399094356,1114,6459,3454,4119,292,852,5607,822,0.25524475524475526,0.2621184919210054,0.8680910357640501,0.25863596102745795,0.778951538359963,0.5651047638425277,1114,6459,1144,6429
