feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,949,528,5931,165,0.6425186188219364,0.8518850987432675,0.9182535996284255,0.7325357005017368,0.9084906906113825,0.8850693491858465,1114,6459,1477,6096
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,1.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,2.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,3.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,4.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,5.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,6.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,7.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,950,526,5933,164,0.6436314363143631,0.8527827648114902,0.9185632450843784,0.7335907335907336,0.90888683480787,0.8856730049479342,1114,6459,1476,6097
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,8.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,9.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,10.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,11.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,12.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,13.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
junctionAngleMinDegrees,angle,>=,0.0,180.0,1.0,14.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,952,523,5936,162,0.6454237288135594,0.8545780969479354,0.9190277132683078,0.735419080726149,0.9095470751353493,0.8868029051081217,1114,6459,1475,6098
