feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,0.0,51,0,1114,6459,0,0,0.1471015449623663,1.0,0.0,0.25647519281685277,0.1471015449623663,0.5,1114,6459,7573,0,93,1261,5198,1021,0.06868537666174299,0.08348294434470377,0.8047685400216752,0.0753646677471637,0.698666314538492,0.44412574218318945,1114,6459,1354,6219
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,1.0,51,0,1061,6279,180,53,0.14455040871934605,0.952423698384201,0.02786809103576405,0.25100544121126095,0.16387164928033804,0.49014589470998254,1114,6459,7340,233,87,1253,5206,1027,0.06492537313432836,0.07809694793536805,0.806007121845487,0.07090464547677261,0.6989304106694837,0.4420520348904275,1114,6459,1340,6233
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,2.0,51,0,1001,6110,349,113,0.14076782449725778,0.8985637342908438,0.054033132063786966,0.24340425531914897,0.17826488841938465,0.4762984331773154,1114,6459,7111,462,86,1250,5209,1028,0.06437125748502993,0.07719928186714542,0.8064715900294163,0.07020408163265306,0.6991945068004753,0.44183543594828084,1114,6459,1336,6237
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,3.0,51,0,941,5953,506,173,0.13649550333623442,0.8447037701974865,0.07834030035609227,0.23501498501498502,0.19107355077248117,0.4615220352767894,1114,6459,6894,679,82,1246,5213,1032,0.061746987951807226,0.07360861759425494,0.8070908809413222,0.06715806715806716,0.6991945068004753,0.4403497492677886,1114,6459,1328,6245
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,4.0,51,0,888,5786,673,226,0.1330536409949056,0.7971274685816876,0.10419569592816226,0.22804314329738057,0.206127030239007,0.4506615822549249,1114,6459,6674,899,77,1240,5219,1037,0.058466211085801065,0.06912028725314183,0.808019817309181,0.06334841628959276,0.6993265548659712,0.4385700522811614,1114,6459,1317,6256
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,5.0,51,0,833,5613,846,281,0.12922742786224015,0.7477558348294434,0.13098002786809104,0.22037037037037038,0.2217087019675162,0.4393679313487672,1114,6459,6446,1127,76,1230,5229,1038,0.05819295558958652,0.06822262118491922,0.8095680445889457,0.0628099173553719,0.7005149874554337,0.43889533288693244,1114,6459,1306,6267
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,6.0,51,0,787,5428,1031,327,0.12662912308930008,0.7064631956912029,0.15962223254373742,0.21476326920452996,0.240063383071438,0.43304271411747014,1114,6459,6215,1358,70,1227,5232,1044,0.05397070161912105,0.06283662477558348,0.810032512772875,0.05806719203649938,0.7001188432589462,0.43643456877422926,1114,6459,1297,6276
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,7.0,51,0,739,5245,1214,375,0.12349598930481283,0.6633752244165171,0.18795479176343088,0.2082276697661313,0.2578898719133765,0.425665008089974,1114,6459,5984,1589,71,1219,5240,1043,0.05503875968992248,0.06373429084380611,0.8112710945966868,0.05906821963394344,0.7013072758484088,0.43750269272024644,1114,6459,1290,6283
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,8.0,51,0,693,5091,1368,421,0.11981327800829876,0.6220825852782765,0.21179749187180677,0.2009278051609162,0.27215106298692726,0.41694003857504164,1114,6459,5784,1789,69,1210,5249,1045,0.05394839718530102,0.06193895870736086,0.812664499148475,0.057668198913497705,0.7022316123068797,0.43730172892791797,1114,6459,1279,6294
junctionAngleDifferenceDegrees,angle,>=,0.0,180.0,1.0,9.0,51,0,636,4940,1519,478,0.11406025824964132,0.5709156193895871,0.2351757237962533,0.19013452914798207,0.28456358114353625,0.4030456715929202,1114,6459,5576,1997,66,1204,5255,1048,0.05196850393700787,0.059245960502693,0.8135934355163338,0.05536912751677852,0.7026277565033672,0.4364196980095134,1114,6459,1270,6303
