feature,feature_type,op,threshold_start,threshold_end,threshold_step,threshold,skipped_exception,skipped_missing_observed,thr_TP,thr_FP,thr_TN,thr_FN,thr_precision,thr_recall,thr_specificity,thr_f1,thr_accuracy,thr_balanced_accuracy,thr_support_pos,thr_support_neg,thr_pred_pos,thr_pred_neg,mwm_TP,mwm_FP,mwm_TN,mwm_FN,mwm_precision,mwm_recall,mwm_specificity,mwm_f1,mwm_accuracy,mwm_balanced_accuracy,mwm_support_pos,mwm_support_neg,mwm_pred_pos,mwm_pred_neg
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,0.0,51,0,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573,0,0,6459,1114,0.0,0.0,1.0,0.0,0.8528984550376337,0.5,1114,6459,0,7573
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,1.0,51,0,53,180,6279,1061,0.22746781115879827,0.04757630161579892,0.972131908964236,0.07869339272457314,0.836128350719662,0.5098541052900174,1114,6459,233,7340,49,159,6300,1065,0.23557692307692307,0.04398563734290844,0.9753831862517418,0.07413010590015129,0.8383731678330912,0.5096844117973252,1114,6459,208,7365
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,2.0,51,0,113,349,6110,1001,0.24458874458874458,0.10143626570915619,0.945966867936213,0.14340101522842638,0.8217351115806153,0.5237015668226845,1114,6459,462,7111,96,275,6184,1018,0.2587601078167116,0.08617594254937164,0.9574237498064716,0.1292929292929293,0.8292618513138783,0.5217998461779216,1114,6459,371,7202
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,3.0,51,0,173,506,5953,941,0.2547864506627393,0.15529622980251345,0.9216596996439077,0.19297267150027886,0.8089264492275188,0.5384779647232105,1114,6459,679,6894,139,369,6090,975,0.2736220472440945,0.12477558348294435,0.9428704133766836,0.1713933415536375,0.8225273999735904,0.533822998429814,1114,6459,508,7065
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,4.0,51,0,226,673,5786,888,0.25139043381535037,0.20287253141831238,0.8958043040718378,0.22454048683556882,0.793872969760993,0.5493384177450751,1114,6459,899,6674,172,441,6018,942,0.2805872756933116,0.15439856373429084,0.931723176962378,0.19918934568616098,0.8173775254192526,0.5430608703483344,1114,6459,613,6960
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,5.0,51,0,281,846,5613,833,0.24933451641526175,0.25224416517055653,0.869019972131909,0.250780901383311,0.7782912980324839,0.5606320686512327,1114,6459,1127,6446,199,496,5963,915,0.28633093525179854,0.17863554757630162,0.9232079269236724,0.22001105583195135,0.8136801795853691,0.550921737249987,1114,6459,695,6878
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,6.0,51,0,327,1031,5428,787,0.24079528718703977,0.29353680430879714,0.8403777674562626,0.2645631067961165,0.759936616928562,0.5669572858825298,1114,6459,1358,6215,226,553,5906,888,0.2901155327342747,0.20287253141831238,0.9143830314290138,0.23877443211833066,0.8097187376204938,0.5586277814236631,1114,6459,779,6794
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,7.0,51,0,375,1214,5245,739,0.23599748269351795,0.33662477558348297,0.8120452082365691,0.2774694783573807,0.7421101280866236,0.574334991910026,1114,6459,1589,5984,250,610,5849,864,0.29069767441860467,0.2244165170556553,0.9055581359343552,0.25329280648429586,0.8053611514591311,0.5649873264950053,1114,6459,860,6713
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,8.0,51,0,421,1368,5091,693,0.2353269983230855,0.3779174147217235,0.7882025081281933,0.2900447812607647,0.7278489370130727,0.5830599614249584,1114,6459,1789,5784,265,653,5806,849,0.2886710239651416,0.2378815080789946,0.8989007586313671,0.2608267716535433,0.8016638056252476,0.5683911333551809,1114,6459,918,6655
junctionAngleDifferenceDegrees,angle,<=,0.0,180.0,1.0,9.0,51,0,478,1519,4940,636,0.23935903855783675,0.42908438061041293,0.7648242762037467,0.30729668916747027,0.7154364188564638,0.5969543284070798,1114,6459,1997,5576,295,695,5764,819,0.29797979797979796,0.26481149012567323,0.8923982040563555,0.2804182509505703,0.8000792288392975,0.5786048470910143,1114,6459,990,6583
