file,order,feature,feature_type,op,best_threshold,best_mwm_f1,best_mwm_precision,best_mwm_recall,best_mwm_specificity,best_mwm_accuracy,best_mwm_balanced_accuracy,best_mwm_TP,best_mwm_FP,best_mwm_TN,best_mwm_FN,best_threshold_only_threshold,best_threshold_only_f1,best_threshold_only_precision,best_threshold_only_recall,n_analyzed_rows,skipped_exception,skipped_missing_observed
001_areaRatio__ge.csv,1,areaRatio,ratio,>=,0.0,0.3114241001564945,0.27600554785020803,0.35727109515260325,0.8383650719925685,0.7675954047273208,0.5978180835725859,398,1044,5415,716,0.45,0.27056463169962736,0.16098226466575716,0.8473967684021544,7573,51,0
001_areaRatio__le.csv,1,areaRatio,ratio,<=,0.98,0.19337231968810914,0.17091660923501034,0.22262118491921004,0.8137482582443103,0.726792552489106,0.5181847215817602,248,1203,5256,866,1.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
002_areaMean__ge.csv,2,areaMean,continuous,>=,300.0,0.21244550138723742,0.19020581973030518,0.24057450628366248,0.8233472673788512,0.7376204938597649,0.5319608868312569,268,1141,5318,846,300.0,0.2484054273454714,0.14262884538553736,0.9614003590664273,7573,51,0
002_areaMean__le.csv,2,areaMean,continuous,<=,1050.0,0.35966219572776953,0.40266963292547275,0.3249551166965889,0.9168601950766373,0.8297900435758616,0.6209076558866131,362,537,5922,752,850.0,0.33071690214547356,0.23338257016248154,0.5673249551166966,7573,51,0
003_areaMin__ge.csv,3,areaMin,continuous,>=,100.0,0.2877526753864447,0.2576295244854507,0.3258527827648115,0.8380554265366156,0.7627096263039747,0.5819541046507135,363,1046,5413,751,100.0,0.25485212569316085,0.14624767966056748,0.9901256732495511,7573,51,0
003_areaMin__le.csv,3,areaMin,continuous,<=,1800.0,0.1934978456717587,0.17164697706740792,0.22172351885098743,0.8154513082520514,0.7281130331440644,0.5185874135515194,247,1192,5267,867,750.0,0.2845594179466451,0.18362023995826812,0.6319569120287253,7573,51,0
004_areaMax__ge.csv,4,areaMax,continuous,>=,450.0,0.18413926499032882,0.1617946974847043,0.21364452423698385,0.8091035764050163,0.7215106298692724,0.511374050321,238,1233,5226,876,350.0,0.2503181029496819,0.14367281901473908,0.9712746858168761,7573,51,0
004_areaMax__le.csv,4,areaMax,continuous,<=,1450.0,0.39347234814143245,0.3974358974358974,0.3895870736086176,0.8981266449914848,0.8233196883665654,0.6438568593000512,434,658,5801,680,1050.0,0.3381742738589212,0.23778264040846098,0.585278276481149,7573,51,0
005_areaDiff__ge.csv,5,areaDiff,continuous,>=,0.0,0.1654194564789287,0.14736842105263157,0.18850987432675045,0.8118903855085927,0.720190149214314,0.5002001299176716,210,1215,5244,904,0.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
005_areaDiff__le.csv,5,areaDiff,continuous,<=,2050.0,0.35808197989172474,0.31453804347826086,0.4156193895870736,0.8437838674717448,0.7808002112769048,0.6297016285294093,463,1009,5450,651,350.0,0.3057942278034809,0.20262773722627736,0.6229802513464991,7573,51,0
006_perimeterRatio__ge.csv,6,perimeterRatio,ratio,>=,0.14,0.3496719413353917,0.3067027758970887,0.4066427289048474,0.8414615265520978,0.7774990096395088,0.6240521277284726,453,1024,5435,661,0.77,0.28537536010845616,0.17589304365991226,0.755834829443447,7573,51,0
006_perimeterRatio__le.csv,6,perimeterRatio,ratio,<=,1.0,0.14666666666666664,0.13022284122562675,0.16786355475763015,0.8066264127573928,0.7126634094810511,0.48724498375751146,187,1249,5210,927,1.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
007_perimeterMean__ge.csv,7,perimeterMean,continuous,>=,70.0,0.24299802761341224,0.21674876847290642,0.2764811490125673,0.8276823037621923,0.7465997623134821,0.5520817263873798,308,1113,5346,806,70.0,0.24840394660475912,0.1426476469804026,0.9605026929982047,7573,51,0
007_perimeterMean__le.csv,7,perimeterMean,continuous,<=,120.0,0.3580645161290323,0.44638069705093836,0.2989228007181329,0.9360582133457191,0.8423346097979665,0.617490507031926,333,413,6046,781,114.0,0.3182669162877775,0.22666666666666666,0.5341113105924596,7573,51,0
008_perimeterMin__ge.csv,8,perimeterMin,continuous,>=,52.0,0.3271726307510814,0.29111266620014,0.3734290843806104,0.843164576559839,0.774065759936617,0.6082968304702248,416,1013,5446,698,52.0,0.2537988632409233,0.1457306513920341,0.9820466786355476,7573,51,0
008_perimeterMin__le.csv,8,perimeterMin,continuous,<=,220.0,0.18518518518518517,0.16238159675236807,0.21543985637342908,0.808329462765134,0.7211144856727849,0.5118846595692815,240,1238,5221,874,114.0,0.27667235171498955,0.17535431179437905,0.6552962298025135,7573,51,0
009_perimeterMax__ge.csv,9,perimeterMax,continuous,>=,96.0,0.17214397496087636,0.15256588072122051,0.19748653500897667,0.8108066264127574,0.7205862934108015,0.504146580710867,220,1222,5237,894,78.0,0.2482022732544653,0.14251465103889185,0.9605026929982047,7573,51,0
009_perimeterMax__le.csv,9,perimeterMax,continuous,<=,152.0,0.4099099099099099,0.41139240506329117,0.40843806104129265,0.89921040408732,0.8270170342004489,0.6538242325643063,455,651,5808,659,120.0,0.3359123146357189,0.2620724346076459,0.46768402154398564,7573,51,0
010_perimeterDiff__ge.csv,10,perimeterDiff,continuous,>=,4.0,0.1391234418978689,0.1260014566642389,0.15529622980251345,0.8142127264282397,0.7172850917734055,0.4847544781153766,173,1200,5259,941,0.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
010_perimeterDiff__le.csv,10,perimeterDiff,continuous,<=,122.0,0.35907335907335913,0.3150406504065041,0.41741472172351884,0.8434742220157919,0.7808002112769048,0.6304444718696554,465,1011,5448,649,30.0,0.3032670454545454,0.18902169101372288,0.7666068222621185,7573,51,0
011_aspectRatio__ge.csv,11,aspectRatio,ratio,>=,0.33,0.3142087023488641,0.275118004045853,0.36624775583482944,0.8335655674252981,0.7648223953519081,0.5999066616300638,408,1075,5384,706,0.78,0.2789513108614232,0.16741593238626146,0.8357271095152603,7573,51,0
011_aspectRatio__le.csv,11,aspectRatio,ratio,<=,1.0,0.20730270906949352,0.18422889043963714,0.236983842010772,0.8190122309955101,0.733394955763898,0.527998036503141,264,1169,5290,850,1.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
012_aspectMean__ge.csv,12,aspectMean,continuous,>=,1.03,0.24596774193548385,0.2232796486090776,0.2737881508078995,0.8357330856169686,0.7530701175227783,0.554760618212434,305,1061,5398,809,1.02,0.255803156917363,0.14689416155691815,0.9892280071813285,7573,51,0
012_aspectMean__le.csv,12,aspectMean,continuous,<=,1.78,0.2788499409216227,0.24842105263157896,0.3177737881508079,0.8341848583372039,0.7582199920771161,0.5759793232440059,354,1071,5388,760,1.21,0.26131779471089195,0.1741338112305854,0.5233393177737882,7573,51,0
013_aspectMin__ge.csv,13,aspectMin,continuous,>=,1.0,0.28537074148296593,0.25778421433743665,0.31956912028725315,0.8413067038241214,0.7645582992209164,0.5804379120556873,356,1025,5434,758,1.0,0.25647519281685277,0.1471015449623663,1.0,7573,51,0
013_aspectMin__le.csv,13,aspectMin,continuous,<=,1.63,0.21571648690292758,0.18893387314439947,0.2513464991023339,0.8139030809722867,0.7311501386504687,0.5326247900373103,280,1202,5257,834,1.68,0.2527293844367015,0.14514407684098185,0.9766606822262118,7573,51,0
014_aspectMax__ge.csv,14,aspectMax,continuous,>=,1.08,0.21223857474825716,0.18664850136239783,0.2459605026929982,0.8151416627960985,0.7314142347814605,0.5305510827445483,274,1194,5265,840,1.02,0.2562680531484691,0.14706272377668744,0.9955116696588869,7573,51,0
