order,feature,feature_type,range_start,range_end,step,op,output_csv,status,error,elapsed_sec
1,areaRatio,ratio,0.0,1.0,0.01,>=,001_areaRatio__ge.csv,ok,,105.783
1,areaRatio,ratio,0.0,1.0,0.01,<=,001_areaRatio__le.csv,ok,,59.269
2,areaMean,continuous,300.0,3800.0,50.0,>=,002_areaMean__ge.csv,ok,,77.159
2,areaMean,continuous,300.0,3800.0,50.0,<=,002_areaMean__le.csv,ok,,203.915
3,areaMin,continuous,100.0,3300.0,50.0,>=,003_areaMin__ge.csv,ok,,16.784
3,areaMin,continuous,100.0,3300.0,50.0,<=,003_areaMin__le.csv,ok,,80.483
4,areaMax,continuous,350.0,4850.0,50.0,>=,004_areaMax__ge.csv,ok,,25.335
4,areaMax,continuous,350.0,4850.0,50.0,<=,004_areaMax__le.csv,ok,,109.77
5,areaDiff,continuous,0.0,2650.0,50.0,>=,005_areaDiff__ge.csv,ok,,15.612
5,areaDiff,continuous,0.0,2650.0,50.0,<=,005_areaDiff__le.csv,ok,,64.402
6,perimeterRatio,ratio,0.0,1.0,0.01,>=,006_perimeterRatio__ge.csv,ok,,124.247
6,perimeterRatio,ratio,0.0,1.0,0.01,<=,006_perimeterRatio__le.csv,ok,,25.917
7,perimeterMean,continuous,70.0,244.0,2.0,>=,007_perimeterMean__ge.csv,ok,,4036.311
7,perimeterMean,continuous,70.0,244.0,2.0,<=,007_perimeterMean__le.csv,ok,,217.832
8,perimeterMin,continuous,52.0,228.0,2.0,>=,008_perimeterMin__ge.csv,ok,,41.975
8,perimeterMin,continuous,52.0,228.0,2.0,<=,008_perimeterMin__le.csv,ok,,91.719
9,perimeterMax,continuous,78.0,274.0,2.0,>=,009_perimeterMax__ge.csv,ok,,44.488
9,perimeterMax,continuous,78.0,274.0,2.0,<=,009_perimeterMax__le.csv,ok,,122.356
10,perimeterDiff,continuous,0.0,124.0,2.0,>=,010_perimeterDiff__ge.csv,ok,,20.866
10,perimeterDiff,continuous,0.0,124.0,2.0,<=,010_perimeterDiff__le.csv,ok,,85.63
11,aspectRatio,ratio,0.0,1.0,0.01,>=,011_aspectRatio__ge.csv,ok,,145.75
11,aspectRatio,ratio,0.0,1.0,0.01,<=,011_aspectRatio__le.csv,ok,,23.443
12,aspectMean,continuous,1.02,1.8900000000000001,0.01,>=,012_aspectMean__ge.csv,ok,,60.061
12,aspectMean,continuous,1.02,1.8900000000000001,0.01,<=,012_aspectMean__le.csv,ok,,224.484
13,aspectMin,continuous,1.0,1.68,0.01,>=,013_aspectMin__ge.csv,ok,,14.514
13,aspectMin,continuous,1.0,1.68,0.01,<=,013_aspectMin__le.csv,ok,,79.899
14,aspectMax,continuous,1.02,2.32,0.02,>=,014_aspectMax__ge.csv,ok,,24.956
14,aspectMax,continuous,1.02,2.32,0.02,<=,014_aspectMax__le.csv,ok,,80.54
