feature,range_start,range_end,step,feature_type
areaRatio,0.0,1.0,0.01,ratio
areaMean,300.0,3800.0,50.0,continuous
areaMin,100.0,3300.0,50.0,continuous
areaMax,350.0,4850.0,50.0,continuous
areaDiff,0.0,2650.0,50.0,continuous
perimeterRatio,0.0,1.0,0.01,ratio
perimeterMean,70.0,244.0,2.0,continuous
perimeterMin,52.0,228.0,2.0,continuous
perimeterMax,78.0,274.0,2.0,continuous
perimeterDiff,0.0,124.0,2.0,continuous
aspectRatio,0.0,1.0,0.01,ratio
aspectMean,1.02,1.8900000000000001,0.01,continuous
aspectMin,1.0,1.68,0.01,continuous
aspectMax,1.02,2.32,0.02,continuous
aspectDiff,0.0,1.04,0.02,continuous
circularityRatio,0.0,1.0,0.01,ratio
circularityMean,0.0,1.0,0.01,ratio
circularityMin,0.0,1.0,0.01,ratio
circularityMax,0.0,1.0,0.01,ratio
circularityDiff,0.0,1.0,0.01,ratio
solidityRatio,0.0,1.0,0.01,ratio
solidityMean,0.0,1.0,0.01,ratio
solidityMin,0.0,1.0,0.01,ratio
solidityMax,0.0,1.0,0.01,ratio
solidityDiff,0.0,1.0,0.01,ratio
vertexCountRatio,0.0,1.0,0.01,ratio
vertexCountMean,4.5,8.5,0.05,continuous
vertexCountMin,3.0,12.0,1.0,integer
vertexCountMax,4.0,13.0,1.0,integer
vertexCountDiff,0.0,9.0,1.0,integer
centroidDistance,15.0,76.0,1.0,continuous
centroidDistanceNormalized,0.6900000000000001,1.57,0.01,continuous
unionAspectRatio,1.0,2.48,0.02,continuous
unionCircularity,0.0,1.0,0.01,ratio
unionConvexDeficiency,0.0,1.0,0.01,ratio
normalizedSharedEdgeLength,0.12,1.46,0.02,continuous
sharedEdgeLength,4.0,59.0,1.0,continuous
sharedEdgeUnsharedVerticesDistance,13.5,58.0,0.5,continuous
sharedEdgeUnsharedVerticesDistanceNormalized,0.59,1.2,0.01,continuous
centroidSharedEdgeDistance,7.0,37.5,0.5,continuous
centroidSharedEdgeDistanceNormalized,0.335,0.775,0.005,continuous
sharedEdgeUnionCentroidDistance,0.0,24.5,0.5,continuous
sharedEdgeUnionCentroidDistanceNormalized,0.0,0.71,0.01,continuous
sharedEdgeUnionAxisAngleDegrees,0.0,180.0,1.0,angle
junctionAngleAverageDegrees,0.0,180.0,1.0,angle
junctionAngleMaxDegrees,0.0,180.0,1.0,angle
junctionAngleMinDegrees,0.0,180.0,1.0,angle
junctionAngleDifferenceDegrees,0.0,180.0,1.0,angle
junctionAngleRatio,0.0,1.0,0.01,ratio
