job_index,split_index,split_id,model_name,feature_mode,status,elapsed_seconds,worker_pid,worker_log,summary_json,error
1,0,split_001,lr,all,succeeded,192.82752793096006,3101763,output/all_satisfying_primordia_splits/split_001/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_001/models/all/lr/training_summary.json,
2,0,split_001,svm,all,succeeded,162.5035559143871,3101764,output/all_satisfying_primordia_splits/split_001/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_001/models/all/svm/training_summary.json,
3,0,split_001,xgboost,all,succeeded,189.83744448050857,3101765,output/all_satisfying_primordia_splits/split_001/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_001/models/all/xgboost/training_summary.json,
4,0,split_001,lightgbm,all,succeeded,225.35511022433639,3101767,output/all_satisfying_primordia_splits/split_001/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_001/models/all/lightgbm/training_summary.json,
5,0,split_001,lr,selected4,succeeded,200.3515532054007,3101768,output/all_satisfying_primordia_splits/split_001/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_001/models/selected4/lr/training_summary.json,
6,0,split_001,svm,selected4,succeeded,163.83607179112732,3101769,output/all_satisfying_primordia_splits/split_001/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_001/models/selected4/svm/training_summary.json,
7,0,split_001,xgboost,selected4,succeeded,183.21040612459183,3101771,output/all_satisfying_primordia_splits/split_001/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_001/models/selected4/xgboost/training_summary.json,
8,0,split_001,lightgbm,selected4,succeeded,189.38679514825344,3101772,output/all_satisfying_primordia_splits/split_001/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_001/models/selected4/lightgbm/training_summary.json,
9,1,split_002,lr,all,succeeded,196.4975924566388,3101773,output/all_satisfying_primordia_splits/split_002/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_002/models/all/lr/training_summary.json,
10,1,split_002,svm,all,succeeded,162.10492602735758,3101774,output/all_satisfying_primordia_splits/split_002/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_002/models/all/svm/training_summary.json,
11,1,split_002,xgboost,all,succeeded,195.85599436238408,3101775,output/all_satisfying_primordia_splits/split_002/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_002/models/all/xgboost/training_summary.json,
12,1,split_002,lightgbm,all,succeeded,228.189245544374,3101776,output/all_satisfying_primordia_splits/split_002/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_002/models/all/lightgbm/training_summary.json,
13,1,split_002,lr,selected4,succeeded,208.3645275067538,3101777,output/all_satisfying_primordia_splits/split_002/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_002/models/selected4/lr/training_summary.json,
14,1,split_002,svm,selected4,succeeded,162.7597192786634,3101778,output/all_satisfying_primordia_splits/split_002/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_002/models/selected4/svm/training_summary.json,
15,1,split_002,xgboost,selected4,succeeded,184.58568867109716,3101779,output/all_satisfying_primordia_splits/split_002/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_002/models/selected4/xgboost/training_summary.json,
16,1,split_002,lightgbm,selected4,succeeded,199.54811879619956,3101780,output/all_satisfying_primordia_splits/split_002/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_002/models/selected4/lightgbm/training_summary.json,
17,2,split_003,lr,all,succeeded,197.7953186556697,3101781,output/all_satisfying_primordia_splits/split_003/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_003/models/all/lr/training_summary.json,
18,2,split_003,svm,all,succeeded,161.72282945923507,3101782,output/all_satisfying_primordia_splits/split_003/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_003/models/all/svm/training_summary.json,
19,2,split_003,xgboost,all,succeeded,188.7599227875471,3101783,output/all_satisfying_primordia_splits/split_003/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_003/models/all/xgboost/training_summary.json,
20,2,split_003,lightgbm,all,succeeded,230.77766107954085,3101784,output/all_satisfying_primordia_splits/split_003/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_003/models/all/lightgbm/training_summary.json,
21,2,split_003,lr,selected4,succeeded,203.89810240268707,3101785,output/all_satisfying_primordia_splits/split_003/models/selected4/lr/worker.log,output/all_satisfying_primordia_splits/split_003/models/selected4/lr/training_summary.json,
22,2,split_003,svm,selected4,succeeded,162.38715572468936,3101786,output/all_satisfying_primordia_splits/split_003/models/selected4/svm/worker.log,output/all_satisfying_primordia_splits/split_003/models/selected4/svm/training_summary.json,
23,2,split_003,xgboost,selected4,succeeded,180.5061556454748,3101787,output/all_satisfying_primordia_splits/split_003/models/selected4/xgboost/worker.log,output/all_satisfying_primordia_splits/split_003/models/selected4/xgboost/training_summary.json,
24,2,split_003,lightgbm,selected4,succeeded,192.60931812040508,3101788,output/all_satisfying_primordia_splits/split_003/models/selected4/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_003/models/selected4/lightgbm/training_summary.json,
25,3,split_004,lr,all,succeeded,193.69816863909364,3101789,output/all_satisfying_primordia_splits/split_004/models/all/lr/worker.log,output/all_satisfying_primordia_splits/split_004/models/all/lr/training_summary.json,
26,3,split_004,svm,all,succeeded,158.521156989038,3101790,output/all_satisfying_primordia_splits/split_004/models/all/svm/worker.log,output/all_satisfying_primordia_splits/split_004/models/all/svm/training_summary.json,
27,3,split_004,xgboost,all,succeeded,196.00784032978117,3101791,output/all_satisfying_primordia_splits/split_004/models/all/xgboost/worker.log,output/all_satisfying_primordia_splits/split_004/models/all/xgboost/training_summary.json,
28,3,split_004,lightgbm,all,succeeded,224.3824792150408,3101792,output/all_satisfying_primordia_splits/split_004/models/all/lightgbm/worker.log,output/all_satisfying_primordia_splits/split_004/models/all/lightgbm/training_summary.json,
