feature_mode,model_name,n_features,chosen_threshold,selected_hyperparameters,hyperparameter_search_csv,train_cv_pr_auc,train_cv_roc_auc,train_cv_precision_after_matching,train_cv_recall_after_matching,train_cv_F1_after_matching,summary_json,test_precision_after_matching,test_recall_after_matching,test_F1_after_matching,test_TP,test_FP,test_FN,split_index,split_id,split_name,train_csv,test_csv,assignment_csv,train_rows,test_rows,total_rows,total_input_rows,excluded_exception_rows,exception_column,exception_positive_value,train_fraction,test_fraction,n_train_primordia,n_test_primordia,train_set,test_set,train_daughter_pairs,test_daughter_pairs,total_daughter_pairs,train_non_daughter_pairs,test_non_daughter_pairs,train_daughter_pair_frequency,test_daughter_pair_frequency,daughter_pair_frequency_difference
all,lr,49,0.2964824120603015,"{""lr_C"": 1.0}",output/all_satisfying_primordia_splits/split_001/models/all/lr/hyperparameter_search_train_cv.csv,0.9562598638257032,0.9933227925969343,0.9352078239608802,0.9732824427480916,0.9538653366583542,output/all_satisfying_primordia_splits/split_001/models/all/lr/training_summary.json,0.9005681818181818,0.9664634146341464,0.9323529411764704,317,35,11,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
all,svm,49,0.135678391959799,"{""svm_C"": 1.0, ""svm_calib_method"": ""sigmoid""}",output/all_satisfying_primordia_splits/split_001/models/all/svm/hyperparameter_search_train_cv.csv,0.9560089626186926,0.9932991435088604,0.935881627620222,0.965648854961832,0.9505322479649344,output/all_satisfying_primordia_splits/split_001/models/all/svm/training_summary.json,0.8971428571428571,0.9573170731707316,0.9262536873156344,314,36,14,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
all,xgboost,49,0.050251256281407,"{""xgb_colsample_bytree"": 0.8, ""xgb_gamma"": 0.0, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 4, ""xgb_min_child_weight"": 1.0, ""xgb_n_estimators"": 600, ""xgb_reg_alpha"": 0.0, ""xgb_reg_lambda"": 1.0, ""xgb_subsample"": 0.8}",output/all_satisfying_primordia_splits/split_001/models/all/xgboost/hyperparameter_search_train_cv.csv,0.9442247658472518,0.9922644959056108,0.9343246592317224,0.9592875318066156,0.9466415568110484,output/all_satisfying_primordia_splits/split_001/models/all/xgboost/training_summary.json,0.9152046783625732,0.9542682926829268,0.9343283582089552,313,29,15,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
all,lightgbm,49,0.0150753768844221,"{""lgbm_colsample_bytree"": 0.8, ""lgbm_learning_rate"": 0.02, ""lgbm_max_depth"": -1, ""lgbm_min_child_samples"": 20, ""lgbm_n_estimators"": 1500, ""lgbm_num_leaves"": 63, ""lgbm_reg_alpha"": 0.0, ""lgbm_reg_lambda"": 1.0, ""lgbm_subsample"": 0.8}",output/all_satisfying_primordia_splits/split_001/models/all/lightgbm/hyperparameter_search_train_cv.csv,0.9427707862555448,0.9918343077320694,0.9306071871127634,0.955470737913486,0.9428750784682988,output/all_satisfying_primordia_splits/split_001/models/all/lightgbm/training_summary.json,0.911504424778761,0.9420731707317072,0.9265367316341828,309,30,19,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
selected4,lr,4,0.457286432160804,"{""lr_C"": 1.0}",output/all_satisfying_primordia_splits/split_001/models/selected4/lr/hyperparameter_search_train_cv.csv,0.9431537700347388,0.991375965882249,0.9336609336609336,0.9669211195928752,0.95,output/all_satisfying_primordia_splits/split_001/models/selected4/lr/training_summary.json,0.8953488372093024,0.9390243902439024,0.9166666666666666,308,36,20,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
selected4,svm,4,0.1658291457286432,"{""svm_C"": 1.0, ""svm_calib_method"": ""sigmoid""}",output/all_satisfying_primordia_splits/split_001/models/selected4/svm/hyperparameter_search_train_cv.csv,0.9428883971372214,0.9913832858380812,0.935881627620222,0.965648854961832,0.9505322479649344,output/all_satisfying_primordia_splits/split_001/models/selected4/svm/training_summary.json,0.9067055393586004,0.948170731707317,0.9269746646795828,311,32,17,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
selected4,xgboost,4,0.050251256281407,"{""xgb_colsample_bytree"": 0.8, ""xgb_gamma"": 0.0, ""xgb_learning_rate"": 0.05, ""xgb_max_depth"": 4, ""xgb_min_child_weight"": 1.0, ""xgb_n_estimators"": 600, ""xgb_reg_alpha"": 0.0, ""xgb_reg_lambda"": 1.0, ""xgb_subsample"": 0.8}",output/all_satisfying_primordia_splits/split_001/models/selected4/xgboost/hyperparameter_search_train_cv.csv,0.921672713294796,0.9892530379224388,0.9226993865030676,0.9567430025445292,0.9394128669581512,output/all_satisfying_primordia_splits/split_001/models/selected4/xgboost/training_summary.json,0.8461538461538461,0.9054878048780488,0.8748159057437409,297,54,31,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
selected4,lightgbm,4,0.0050251256281407,"{""lgbm_colsample_bytree"": 0.8, ""lgbm_learning_rate"": 0.02, ""lgbm_max_depth"": -1, ""lgbm_min_child_samples"": 20, ""lgbm_n_estimators"": 1500, ""lgbm_num_leaves"": 63, ""lgbm_reg_alpha"": 0.0, ""lgbm_reg_lambda"": 1.0, ""lgbm_subsample"": 0.8}",output/all_satisfying_primordia_splits/split_001/models/selected4/lightgbm/hyperparameter_search_train_cv.csv,0.9121266533979188,0.9876456037752952,0.9154411764705882,0.950381679389313,0.9325842696629212,output/all_satisfying_primordia_splits/split_001/models/selected4/lightgbm/training_summary.json,0.8490028490028491,0.9085365853658536,0.8777614138438882,298,53,30,0,split_001,split_001,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_001/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_001/primordium_assignment.csv,5305,2268,7573,7624,51,exception_label,1,0.7005149874554337,0.2994850125445662,8,4,sample1;sample12;sample2;sample3;sample4;sample5;sample7;sample8,sample10;sample11;sample6;sample9,786,328,1114,4519,1940,0.1481621112158341,0.14462081128747795,0.0035412999283561675
all,lr,49,0.4723618090452261,"{""lr_C"": 1.0}",output/all_satisfying_primordia_splits/split_002/models/all/lr/hyperparameter_search_train_cv.csv,0.951241694697444,0.992198207998168,0.934260429835651,0.9572538860103628,0.945617402431222,output/all_satisfying_primordia_splits/split_002/models/all/lr/training_summary.json,0.9340974212034384,0.953216374269006,0.9435600578871202,326,23,16,1,split_002,split_002,output/all_satisfying_primordia_splits/split_002/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_002/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_002/primordium_assignment.csv,5297,2276,7573,7624,51,exception_label,1,0.699458602931467,0.30054139706853295,8,4,sample1;sample10;sample12;sample2;sample3;sample4;sample5;sample9,sample11;sample6;sample7;sample8,772,342,1114,4525,1934,0.14574287332452332,0.15026362038664323,0.004520747062119912
all,svm,49,0.185929648241206,"{""svm_C"": 1.0, ""svm_calib_method"": ""sigmoid""}",output/all_satisfying_primordia_splits/split_002/models/all/svm/hyperparameter_search_train_cv.csv,0.9519169369859888,0.9922388572410042,0.9254108723135273,0.9481865284974094,0.9366602687140116,output/all_satisfying_primordia_splits/split_002/models/all/svm/training_summary.json,0.9398280802292264,0.95906432748538,0.9493487698986974,328,21,14,1,split_002,split_002,output/all_satisfying_primordia_splits/split_002/neighbor_pairs_train.csv,output/all_satisfying_primordia_splits/split_002/neighbor_pairs_test.csv,output/all_satisfying_primordia_splits/split_002/primordium_assignment.csv,5297,2276,7573,7624,51,exception_label,1,0.699458602931467,0.30054139706853295,8,4,sample1;sample10;sample12;sample2;sample3;sample4;sample5;sample9,sample11;sample6;sample7;sample8,772,342,1114,4525,1934,0.14574287332452332,0.15026362038664323,0.004520747062119912
