repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
1,11,13,sample1_upper_left1,1,0,1,0,-1,0.954322,505.657557,493.838971,517.476143,23.637172,0.933810,90.117093,87.032587,93.201599,6.169012,0.718898,1.224497,1.024247,1.424747,0.400500,0.913739,0.783942,0.748606,0.819278,0.070672,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,21.549601,0.958386,1.469324,0.740052,0.026438,1.093832,24.595124,18.219864,0.810301,10.677384,0.474861,0.359071,0.015969,76.203942,164.911498,167.880442,161.942554,5.937888,0.964630
1,11,14,sample1_upper_left1,1,0,1,0,-1,0.862815,562.113923,520.717625,603.510220,82.792595,0.895867,94.349594,89.167330,99.531858,10.364528,0.713064,1.257005,1.046458,1.467552,0.421094,0.930186,0.794273,0.765544,0.823001,0.057457,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,23.598944,0.996037,1.466432,0.715024,0.040998,1.015833,24.067967,20.033290,0.845542,11.633725,0.491023,1.246723,0.052620,74.349410,167.119925,177.082471,157.157380,19.925090,0.887481
1,11,15,sample1_upper_left1,1,0,1,0,-1,0.871935,716.957072,667.907665,766.006480,98.098815,0.932858,104.408448,100.781570,108.035326,7.253756,0.761191,1.237484,1.069688,1.405281,0.335593,0.998037,0.825539,0.824728,0.826350,0.001622,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,26.272832,0.981781,1.421803,0.746042,0.054077,0.997833,26.702372,22.325839,0.834288,12.893832,0.481826,1.296573,0.048451,71.894728,163.190501,172.686853,153.694150,18.992703,0.890017
1,11,16,sample1_upper_left1,1,0,1,0,-1,0.857460,815.832415,753.225868,878.438962,125.213094,0.923681,111.060001,106.653870,115.466132,8.812263,0.800427,1.188400,1.056668,1.320131,0.263463,0.995017,0.830039,0.827965,0.832112,0.004147,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,27.419185,0.960671,1.334177,0.758899,0.044580,1.011637,28.873865,21.834622,0.765007,13.647517,0.478160,1.809129,0.063385,79.297856,158.534416,160.536290,156.532542,4.003748,0.975060
1,11,17,sample1_upper_left1,1,0,1,0,-1,0.829928,962.593220,873.130440,1052.056000,178.925560,0.924373,118.769019,114.101422,123.436616,9.335194,0.889682,1.141020,1.074408,1.207632,0.133224,0.971284,0.855224,0.842766,0.867682,0.024916,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,29.589439,0.954741,1.229588,0.768143,0.059128,0.969118,30.034993,23.238224,0.749811,14.725152,0.475126,2.547257,0.082191,82.235064,148.178728,149.136799,147.220656,1.916143,0.987152
1,11,18,sample1_upper_left1,1,0,1,0,-1,0.815838,1122.287779,1008.465724,1236.109835,227.644111,0.915684,128.322281,122.674343,133.970219,11.295876,0.875511,1.125305,1.050611,1.199999,0.149387,0.973001,0.853783,0.842100,0.865467,0.023367,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,31.177059,0.931845,1.223956,0.785272,0.052348,1.003091,33.560768,24.480281,0.731686,15.516335,0.463765,2.753146,0.082288,81.475625,147.210105,150.692272,143.727937,6.964335,0.953784
1,22,19,sample1_upper_left1,1,0,1,0,-1,0.513144,961.148770,651.897877,1270.399662,618.501785,0.754277,117.640019,101.162091,134.117947,32.955856,0.988740,1.168396,1.161781,1.175011,0.013230,0.901939,0.844001,0.800486,0.887517,0.087030,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,33.408618,1.092232,1.146794,0.635771,0.148443,0.659686,20.178130,27.351673,0.894211,16.688692,0.545605,6.371675,0.208310,88.161794,120.668620,147.170985,94.166254,53.004730,0.639843
1,22,19,sample1_upper_left1,2,0,2,0,-1,0.285930,816.822249,363.244835,1270.399662,907.154827,0.586180,106.367635,78.617323,134.117947,55.500624,0.908809,1.121436,1.067861,1.175011,0.107151,0.832140,0.813027,0.738538,0.887517,0.148979,1.000000,1.000000,1.000000,1.000000,0.000000,0.625000,6.500000,5.000000,8.000000,3.000000,32.838880,1.200654,1.637167,0.583632,0.191777,0.460433,12.593229,26.450537,0.967084,15.797685,0.577594,11.815170,0.431986,68.742801,119.766135,143.757469,95.774801,47.982669,0.666225
1,21,19,sample1_upper_left1,3,1,2,0,-1,0.557211,507.571356,363.244835,651.897877,288.653042,0.777142,89.889707,78.617323,101.162091,22.544768,0.919158,1.114821,1.067861,1.161781,0.093921,0.922612,0.769512,0.738538,0.800486,0.061948,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,17.824907,0.799480,1.106222,0.829574,0.021607,1.250782,27.886979,16.459668,0.738246,8.799968,0.394695,4.226794,0.189579,75.477175,172.945798,175.832651,170.058945,5.773706,0.967164
1,21,20,sample1_upper_left1,2,1,2,0,-1,0.740418,561.357450,477.631528,645.083371,167.451843,0.864612,95.108485,88.202713,102.014257,13.811543,0.791209,1.158045,1.023058,1.293032,0.269973,0.990456,0.775223,0.771505,0.778940,0.007435,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,18.450458,0.780918,1.044478,0.838219,0.015249,1.279929,30.240415,17.316110,0.732906,9.199894,0.389387,1.918519,0.081202,66.231983,176.559987,179.766947,173.353027,6.413920,0.964321
1,22,20,sample1_upper_left1,3,1,3,0,-1,0.697031,785.277955,645.083371,925.472538,280.389167,0.842525,111.547919,102.014257,121.081582,19.067325,0.895851,1.225697,1.158363,1.293032,0.134669,0.981944,0.786101,0.778940,0.793263,0.014323,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.899076,1.035437,1.129873,0.560020,0.240971,0.633599,17.683770,24.899241,0.892125,14.419693,0.516649,0.260383,0.009329,83.924415,115.049038,144.564483,85.533594,59.030889,0.591664
1,22,20,sample1_upper_left1,4,2,3,0,-1,0.516095,701.552033,477.631528,925.472538,447.841010,0.728457,104.642147,88.202713,121.081582,32.878869,0.883193,1.090711,1.023058,1.158363,0.135305,0.972572,0.782384,0.771505,0.793263,0.021758,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.768372,1.100626,1.618263,0.565001,0.216479,0.624175,16.314794,22.701874,0.868533,13.037677,0.498798,3.852123,0.147375,45.043742,119.883181,138.652983,101.113379,37.539604,0.729255
repeat_i,track,frame,fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
2,11,19,sample1_middle_down1,1,1,0,0,-1,0.913476,759.142249,724.815135,793.469363,68.654228,0.974284,108.100414,106.692355,109.508473,2.816118,0.988651,1.228785,1.221772,1.235797,0.014025,0.962334,0.815807,0.800148,0.831466,0.031318,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,23.243388,0.843818,1.378202,0.855660,0.010521,1.213927,33.438215,19.187255,0.696566,11.618567,0.421796,0.866394,0.031453,77.482220,175.334885,178.749041,171.920730,6.828311,0.961799
2,11,20,sample1_middle_down1,1,1,0,0,-1,0.943351,812.839583,789.145002,836.534165,47.389164,0.987934,111.101054,110.426741,111.775367,1.348627,0.913247,1.130414,1.079157,1.181671,0.102513,0.966533,0.827318,0.813239,0.841398,0.028159,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,24.888528,0.873058,1.533014,0.837445,0.020203,1.157867,33.007687,20.468882,0.718022,12.434266,0.436178,0.417071,0.014630,73.320319,171.221936,173.795969,168.647902,5.148067,0.970379
2,11,21,sample1_middle_down1,1,1,0,0,-1,0.907037,867.433409,825.148496,909.718323,84.569827,0.970773,114.977098,113.271966,116.682230,3.410264,0.943014,1.173091,1.138686,1.207496,0.068811,0.962476,0.823914,0.808160,0.839668,0.031508,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,25.259832,0.857910,1.453177,0.845838,0.019998,1.178701,34.705056,20.793434,0.706216,12.627631,0.428877,0.901984,0.030634,73.157322,170.657068,173.368962,167.945173,5.423788,0.968715
2,11,22,sample1_middle_down1,1,1,0,0,-1,0.933026,937.917777,905.421287,970.414267,64.992980,0.982071,118.978646,117.902429,120.054863,2.152434,0.908127,1.154594,1.099003,1.210186,0.111183,0.967403,0.832283,0.818493,0.846072,0.027579,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,26.711224,0.872322,1.478545,0.829997,0.033545,1.133743,34.716177,21.706059,0.708865,13.349501,0.435961,0.513680,0.016775,73.540517,164.247421,166.833317,161.661526,5.171791,0.969000
2,11,23,sample1_middle_down1,1,1,0,0,-1,0.878324,964.015540,901.567559,1026.463521,124.895962,0.956042,120.123863,117.424357,122.823370,5.399013,0.941681,1.048691,1.017194,1.080189,0.062995,0.960949,0.838354,0.821659,0.855050,0.033390,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,27.143467,0.874685,1.337864,0.821419,0.045453,1.103763,34.252283,22.170073,0.714419,13.569121,0.437258,1.195766,0.038533,89.033658,158.088432,158.794028,157.382835,1.411193,0.991113
2,11,24,sample1_middle_down1,1,1,0,0,-1,0.912671,984.137803,939.203666,1029.071940,89.868274,0.973328,121.571132,119.927938,123.214326,3.286388,0.870391,1.155605,1.075527,1.235683,0.160155,0.963376,0.836193,0.820595,0.851791,0.031196,0.997917,0.998959,0.997917,1.000000,0.002083,1.000000,6.000000,6.000000,6.000000,0.000000,27.513484,0.877265,1.448299,0.823113,0.040735,1.112697,34.897288,23.514134,0.749746,13.756617,0.438629,0.708503,0.022591,82.843468,160.512997,162.397351,158.628643,3.768708,0.976793
