filename,cell_1_id,cell_2_id,cell_1_centroid_x,cell_1_centroid_y,cell_2_centroid_x,cell_2_centroid_y,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
4d-WT-9-polygonal-network.json,0,1,432.615623,117.561503,464.514875,124.820487,-1,0,0,32.714754,1.071648,0.644958,407.086375,0.403604,739.500000,1146.586375,943.043187,0.846781,112.262863,132.576017,122.419440,20.313154,0.880342,0.737354,0.819760,0.778557,0.082406,0.880342,1.183908,1.344828,1.264368,0.160920,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,1.442852,0.580375,21.377558,0.700272,26.921586,0.881879,16.347055,0.535486,6.001250,0.196585,81.227923,0.770860,35.226267,118.506538,153.732805,136.119671
4d-WT-9-polygonal-network.json,0,4,432.615623,117.561503,405.717425,142.716611,-1,0,1,36.827876,1.069034,0.933956,81.080292,0.156119,1146.586375,1227.666667,1187.126521,0.941543,132.576017,140.807189,136.691603,8.231172,0.867802,0.778109,0.819760,0.798935,0.041651,0.867802,1.027397,1.183908,1.105653,0.156511,1.000000,1.000000,1.000000,1.000000,0.000000,0.800000,4.000000,5.000000,4.500000,1.000000,1.040500,0.678824,31.867782,0.925053,33.921366,0.984664,18.157752,0.527080,1.644210,0.047728,77.469234,0.919658,13.220613,151.334308,164.554921,157.944615
4d-WT-9-polygonal-network.json,0,6,432.615623,117.561503,433.522862,161.182886,-1,0,0,43.630816,1.111103,0.574490,849.246958,0.495549,1146.586375,1995.833333,1571.209854,0.725934,132.576017,182.628299,157.602158,50.052282,0.972342,0.751966,0.819760,0.785863,0.067794,0.972342,1.151163,1.183908,1.167535,0.032745,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.665594,0.526087,20.615528,0.524995,36.658140,0.933537,20.715033,0.527529,8.202549,0.208886,48.624439,0.753750,29.026815,88.848695,117.875510,103.362103
4d-WT-9-polygonal-network.json,1,2,464.514875,124.820487,491.973411,136.622857,-1,0,1,29.887575,0.898142,0.477329,809.747167,0.069050,739.500000,1549.247167,1144.373583,0.739734,112.262863,151.761151,132.012007,39.498288,0.981149,0.737354,0.845297,0.791325,0.107943,0.981149,1.319476,1.344828,1.332152,0.025352,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.165605,0.788135,36.496575,1.096747,23.068445,0.693223,14.512616,0.436114,8.042138,0.241672,59.188634,0.984916,2.561162,167.234434,169.795596,168.515015
4d-WT-9-polygonal-network.json,1,6,464.514875,124.820487,433.522862,161.182886,-1,0,0,47.777912,1.329593,0.370522,1256.333333,0.369608,739.500000,1995.833333,1367.666667,0.614707,112.262863,182.628299,147.445581,70.365436,0.855993,0.737354,0.751966,0.744660,0.014612,0.855993,1.151163,1.344828,1.247995,0.193665,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.219626,0.522563,19.209373,0.534570,39.118827,1.088622,23.877410,0.664475,21.810454,0.606954,89.771947,0.696333,37.538635,86.079317,123.617952,104.848635
4d-WT-9-polygonal-network.json,1,8,464.514875,124.820487,459.388626,175.610015,-1,0,0,51.047572,1.495042,0.437876,949.333333,0.771723,739.500000,1688.833333,1214.166667,0.645068,112.262863,174.032682,143.147772,61.769819,0.843952,0.700705,0.737354,0.719029,0.036649,0.843952,1.134969,1.344828,1.239898,0.209858,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,1.742331,0.430319,10.000000,0.292872,37.514415,1.098693,23.848476,0.698456,17.044637,0.499190,63.180655,0.735256,34.462548,95.710593,130.173141,112.941867
4d-WT-9-polygonal-network.json,2,3,491.973411,136.622857,525.794159,137.124235,-1,0,0,33.824464,0.878795,0.913454,134.081583,0.203202,1415.165583,1549.247167,1482.206375,0.993117,151.761151,152.812972,152.287061,1.051822,0.925801,0.761547,0.845297,0.803422,0.083750,0.925801,1.221571,1.319476,1.270524,0.097904,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.413132,0.727129,39.115214,1.016255,28.291046,0.735031,16.879791,0.438555,1.195837,0.031069,64.112869,0.858414,21.609982,131.018037,152.628019,141.823028
4d-WT-9-polygonal-network.json,2,8,491.973411,136.622857,459.388626,175.610015,-1,0,0,50.811088,1.263079,0.917348,139.586167,0.498238,1549.247167,1688.833333,1619.040250,0.872027,151.761151,174.032682,162.896916,22.271531,0.860167,0.700705,0.845297,0.773001,0.144592,0.860167,1.134969,1.319476,1.227223,0.184507,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.141647,0.481196,17.499206,0.435001,38.321528,0.952610,25.038800,0.622423,4.236043,0.105301,71.574729,0.540872,53.132527,62.592425,115.724952,89.158688
4d-WT-9-polygonal-network.json,2,10,491.973411,136.622857,498.748939,190.254827,-1,0,0,54.058265,1.157704,0.530736,1369.808389,0.346490,1549.247167,2919.055556,2234.151361,0.724800,151.761151,209.383368,180.572259,57.622217,0.905968,0.836696,0.845297,0.840997,0.008601,0.905968,1.195402,1.319476,1.257439,0.124074,1.000000,1.000000,1.000000,1.000000,0.000000,0.750000,6.000000,8.000000,7.000000,2.000000,1.554905,0.570202,23.669014,0.506892,41.249681,0.883397,26.861036,0.575252,11.002151,0.235620,85.443939,0.977762,2.551095,112.166346,114.717441,113.441893
4d-WT-9-polygonal-network.json,3,5,525.794159,137.124235,547.210008,155.968778,-1,0,1,28.526398,0.739579,0.905931,146.945528,0.061702,1415.165583,1562.111111,1488.638347,0.961168,152.812972,158.986819,155.899895,6.173847,0.905359,0.761547,0.776604,0.769075,0.015057,0.905359,1.105960,1.221571,1.163766,0.115611,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,1.097720,0.858849,51.541785,1.336279,24.375726,0.631968,14.237527,0.369124,1.127422,0.029230,18.320509,0.862760,23.759599,149.364582,173.124181,161.244382
