filename,cell_1_id,cell_2_id,cell_1_centroid_x,cell_1_centroid_y,cell_2_centroid_x,cell_2_centroid_y,division_timing,observed_division,estimated_division,distance,distance_normalized,area_ratio,area_diff,convex_deficiency,area_min,area_max,area_mean,perimeter_ratio,perimeter_min,perimeter_max,perimeter_mean,perimeter_diff,aspect_ratio,compactness_min,compactness_max,compactness_mean,compactness_diff,elongation_ratio,elongation_min,elongation_max,elongation_mean,elongation_diff,solidity_ratio,solidity_min,solidity_max,solidity_mean,solidity_diff,vertex_count_ratio,vertex_count_min,vertex_count_max,vertex_count_mean,vertex_count_diff,union_aspect_ratio,union_circularity,shared_edge_length,shared_edge_length_normalized,shared_edge_vertex_distance,shared_edge_vertex_distance_normalized,centroid_shared_edge_distance,centroid_shared_edge_distance_normalized,union_centroid_edge_distance,union_centroid_edge_distance_normalized,union_axis_shared_edge_angle,junction_angle_ratio,junction_angle_diff,junction_angle_min,junction_angle_max,junction_angle_mean
4.5d-rpl4d-3-6-polygonal-network.json,0,4,569.289467,126.162986,527.051532,161.665117,-1,0,0,55.176486,0.939066,0.373839,3329.987000,0.206064,1988.111111,5318.098111,3653.104611,0.609760,172.701534,283.228539,227.965036,110.527005,0.870036,0.833091,0.837641,0.835366,0.004551,0.870036,1.056604,1.214436,1.135520,0.157833,0.999781,0.999781,1.000000,0.999890,0.000219,1.000000,6.000000,6.000000,6.000000,0.000000,1.033757,0.673762,43.392268,0.738507,42.596794,0.724968,27.548278,0.468853,19.107265,0.325193,79.537347,0.791230,23.645474,89.615212,113.260686,101.437949
4.5d-rpl4d-3-6-polygonal-network.json,0,6,569.289467,126.162986,602.907750,186.031475,-1,0,0,68.661670,1.142782,0.419636,3086.431445,0.295309,2231.666667,5318.098111,3774.882389,0.656623,185.974289,283.228539,234.601414,97.254250,0.938208,0.810837,0.833091,0.821964,0.022254,0.938208,1.139394,1.214436,1.176915,0.075042,0.999781,0.999781,1.000000,0.999890,0.000219,0.833333,5.000000,6.000000,5.500000,1.000000,1.215298,0.649202,43.461349,0.723356,53.683500,0.893490,34.278785,0.570525,25.536463,0.425020,89.538486,0.994268,0.873206,151.454298,152.327504,151.890901
4.5d-rpl4d-3-6-polygonal-network.json,0,10,569.289467,126.162986,558.152686,199.493705,-1,0,0,74.171573,1.258060,0.380587,3294.098111,0.430637,2024.000000,5318.098111,3671.049056,0.624586,176.900463,283.228539,230.064501,106.328075,0.888456,0.812760,0.833091,0.822925,0.020330,0.888456,1.214436,1.366906,1.290671,0.152470,0.999781,0.999781,1.000000,0.999890,0.000219,1.000000,6.000000,6.000000,6.000000,0.000000,1.822770,0.522950,20.047167,0.340030,53.180445,0.902020,32.188591,0.545966,18.018352,0.305618,42.112460,0.841983,16.933952,90.231102,107.165053,98.698078
4.5d-rpl4d-3-6-polygonal-network.json,1,3,419.524960,104.964081,408.865861,144.639155,-1,0,1,41.081965,0.803932,0.607213,1296.021723,0.016909,2003.533833,3299.555556,2651.544694,0.835822,187.580852,224.426854,206.003853,36.846002,0.783511,0.715533,0.823220,0.769376,0.107687,0.783511,1.314607,1.677841,1.496224,0.363235,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,4.000000,6.000000,5.000000,2.000000,1.137872,0.830647,64.381674,1.259883,36.176934,0.707945,20.299398,0.397238,8.881893,0.173810,42.606865,0.967196,5.840687,172.207462,178.048149,175.127805
4.5d-rpl4d-3-6-polygonal-network.json,2,3,478.101511,147.887174,408.865861,144.639155,-1,0,0,69.311795,1.312690,0.702966,980.078813,0.457121,2319.476743,3299.555556,2809.516149,0.853797,191.614907,224.426854,208.020880,32.811947,0.881859,0.793855,0.823220,0.808537,0.029364,0.881859,1.159298,1.314607,1.236952,0.155309,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,2.345480,0.464607,13.097922,0.248060,51.363641,0.972771,34.077855,0.645397,9.753918,0.184729,70.764110,0.690965,25.921433,57.957199,83.878633,70.917916
4.5d-rpl4d-3-6-polygonal-network.json,2,4,478.101511,147.887174,527.051532,161.665117,-1,0,0,50.852102,1.096551,0.857138,331.365632,0.461196,1988.111111,2319.476743,2153.793927,0.901295,172.701534,191.614907,182.158220,18.913373,0.911417,0.793855,0.837641,0.815748,0.043786,0.911417,1.056604,1.159298,1.107951,0.102694,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.592953,0.557915,26.415484,0.569611,42.753067,0.921907,25.307082,0.545710,5.742930,0.123838,86.063490,0.712593,36.168814,89.676298,125.845113,107.760706
4.5d-rpl4d-3-6-polygonal-network.json,2,8,478.101511,147.887174,415.299316,192.178724,-1,0,0,76.849575,1.522411,0.832099,468.023257,0.479198,2319.476743,2787.500000,2553.488371,0.905306,191.614907,211.657692,201.636299,20.042786,0.927610,0.781910,0.793855,0.787882,0.011945,0.927610,1.075377,1.159298,1.117337,0.083921,0.996544,0.996544,1.000000,0.998272,0.003456,0.857143,6.000000,7.000000,6.500000,1.000000,1.143052,0.468053,16.492423,0.326719,55.777407,1.104966,36.521933,0.723509,4.189002,0.082985,66.675928,0.956855,5.388843,119.512331,124.901174,122.206752
4.5d-rpl4d-3-6-polygonal-network.json,2,9,478.101511,147.887174,475.278598,192.305581,-1,0,1,44.508019,0.859402,0.755243,751.689924,0.101493,2319.476743,3071.166667,2695.321705,0.895356,191.614907,214.009774,202.812340,22.394867,0.991062,0.793855,0.842648,0.818251,0.048792,0.991062,1.148936,1.159298,1.154117,0.010362,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.491055,0.805956,57.855183,1.117121,34.393824,0.664108,21.468337,0.414530,5.344524,0.103197,50.891630,0.934205,10.429497,148.085060,158.514557,153.299808
4.5d-rpl4d-3-6-polygonal-network.json,3,5,408.865861,144.639155,359.932807,192.453955,-1,0,0,68.415634,1.247714,0.826575,572.225865,0.355696,2727.329691,3299.555556,3013.442623,0.945327,212.156694,224.426854,218.291774,12.270159,0.775383,0.761437,0.823220,0.792328,0.061782,0.775383,1.019324,1.314607,1.166965,0.295283,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.179245,0.547412,32.312708,0.589295,56.899314,1.037688,34.197194,0.623663,3.444042,0.062810,84.281468,0.821287,27.628053,126.966303,154.594356,140.780329
4.5d-rpl4d-3-6-polygonal-network.json,3,8,408.865861,144.639155,415.299316,192.178724,-1,0,0,47.972910,0.870347,0.844811,512.055556,0.174158,2787.500000,3299.555556,3043.527778,0.943103,211.657692,224.426854,218.042273,12.769161,0.818022,0.781910,0.823220,0.802565,0.041310,0.818022,1.075377,1.314607,1.194992,0.239230,0.996544,0.996544,1.000000,0.998272,0.003456,0.857143,6.000000,7.000000,6.500000,1.000000,1.415254,0.729211,56.103080,1.017849,36.536489,0.662862,23.422340,0.424939,2.900750,0.052627,49.428623,0.795406,30.938726,120.281468,151.220194,135.750831
4.5d-rpl4d-3-6-polygonal-network.json,4,9,527.051532,161.665117,475.278598,192.305581,-1,0,0,60.160408,1.203132,0.647347,1083.055556,0.375394,1988.111111,3071.166667,2529.638889,0.806980,172.701534,214.009774,193.355654,41.308240,0.919637,0.837641,0.842648,0.840145,0.005006,0.919637,1.056604,1.148936,1.102770,0.092332,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.300725,0.575680,27.194771,0.543861,44.759510,0.895133,28.388314,0.567730,12.972624,0.259436,69.425695,0.935707,7.682464,111.809145,119.491609,115.650377
4.5d-rpl4d-3-6-polygonal-network.json,4,10,527.051532,161.665117,558.152686,199.493705,-1,0,0,48.972277,1.093410,0.982268,35.888889,0.223961,1988.111111,2024.000000,2006.055556,0.976264,172.701534,176.900463,174.800999,4.198929,0.772989,0.812760,0.837641,0.825201,0.024881,0.772989,1.056604,1.366906,1.211755,0.310303,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,1.261062,0.626955,33.011782,0.737058,40.833254,0.911689,24.428333,0.545415,1.463804,0.032683,84.884006,0.553392,80.320813,99.525500,179.846314,139.685907
4.5d-rpl4d-3-6-polygonal-network.json,4,12,527.051532,161.665117,522.382430,207.598794,-1,0,0,46.170372,1.154677,0.629716,736.166667,0.456371,1251.944444,1988.111111,1620.027778,0.793571,137.050845,172.701534,154.876189,35.650689,0.992974,0.837590,0.837641,0.837616,0.000051,0.992974,1.049180,1.056604,1.052892,0.007423,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.647399,0.591779,23.725280,0.593347,38.319144,0.958325,22.746101,0.568858,8.027863,0.200769,85.012932,0.836504,23.417064,119.809659,143.226722,131.518191
4.5d-rpl4d-3-6-polygonal-network.json,5,8,359.932807,192.453955,415.299316,192.178724,-1,0,0,55.367193,1.054406,0.978414,60.170309,0.482255,2727.329691,2787.500000,2757.414845,0.997648,211.657692,212.156694,211.907193,0.499002,0.947876,0.761437,0.781910,0.771673,0.020473,0.947876,1.019324,1.075377,1.047350,0.056053,0.996544,0.996544,1.000000,0.998272,0.003456,0.857143,6.000000,7.000000,6.500000,1.000000,1.660793,0.543886,33.428198,0.636603,44.521586,0.847864,26.460710,0.503915,0.728941,0.013882,55.827663,0.931058,7.773362,104.978868,112.752230,108.865549
4.5d-rpl4d-3-6-polygonal-network.json,5,15,359.932807,192.453955,371.346340,233.669757,-1,0,0,42.766940,0.930781,0.577040,1153.551913,0.350530,1573.777778,2727.329691,2150.553734,0.751841,159.508170,212.156694,185.832432,52.648524,0.952582,0.761437,0.777298,0.769367,0.015861,0.952582,1.019324,1.070064,1.044694,0.050740,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.509009,0.639051,40.421391,0.879733,37.533579,0.816882,21.274136,0.463011,7.762110,0.168935,70.025655,0.975361,3.127607,123.809864,126.937471,125.373667
4.5d-rpl4d-3-6-polygonal-network.json,5,18,359.932807,192.453955,335.839978,256.664104,-1,0,0,68.581394,1.300025,0.960605,111.850338,0.399692,2727.329691,2839.180029,2783.254860,0.951993,201.971629,212.156694,207.064162,10.185065,0.838608,0.761437,0.874625,0.818031,0.113188,0.838608,1.019324,1.215495,1.117409,0.196171,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.000000,7.000000,6.500000,1.000000,1.664932,0.509463,21.791946,0.413087,53.003277,1.004727,34.285493,0.649914,1.357660,0.025736,78.706469,0.493264,85.895416,83.611732,169.507148,126.559440
4.5d-rpl4d-3-6-polygonal-network.json,6,7,602.907750,186.031475,651.066477,187.697518,-1,0,0,48.187536,1.113503,0.692458,686.332145,0.595460,1545.334522,2231.666667,1888.500594,0.859034,159.758234,185.974289,172.866261,26.216054,0.731033,0.760862,0.810837,0.785849,0.049975,0.731033,1.139394,1.558608,1.349001,0.419214,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.556701,0.509268,20.223748,0.467324,39.004087,0.901294,23.689387,0.547407,9.563411,0.220988,84.102175,0.780207,24.130311,85.656193,109.786504,97.721349
4.5d-rpl4d-3-6-polygonal-network.json,6,10,602.907750,186.031475,558.152686,199.493705,-1,0,0,46.735933,1.013471,0.906945,207.666667,0.412783,2024.000000,2231.666667,2127.833333,0.951209,176.900463,185.974289,181.437376,9.073825,0.833557,0.810837,0.812760,0.811798,0.001924,0.833557,1.139394,1.366906,1.253150,0.227513,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.000000,6.000000,5.500000,1.000000,1.393519,0.605402,32.831218,0.711947,38.639997,0.837911,23.360637,0.506577,5.851349,0.126887,88.275077,0.946646,5.664716,100.507443,106.172159,103.339801
4.5d-rpl4d-3-6-polygonal-network.json,6,13,602.907750,186.031475,610.992134,225.227562,-1,0,1,40.021126,0.832692,0.933882,158.000000,0.108771,2231.666667,2389.666667,2310.666667,0.958760,185.974289,193.973856,189.974072,7.999567,0.755779,0.798106,0.810837,0.804472,0.012730,0.755779,1.139394,1.507576,1.323485,0.368182,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,5.000000,7.000000,6.000000,2.000000,1.250000,0.793919,54.744863,1.139038,31.754893,0.660702,19.995923,0.416041,0.227776,0.004739,87.454443,0.991851,1.297915,157.984024,159.281939,158.632982
4.5d-rpl4d-3-6-polygonal-network.json,7,11,651.066477,187.697518,676.964543,199.488310,-1,0,1,28.455800,0.764950,0.796717,314.139820,0.000000,1231.194701,1545.334522,1388.264611,0.925811,147.905881,159.758234,153.832058,11.852353,0.739194,0.707238,0.760862,0.734050,0.053624,0.739194,1.152114,1.558608,1.355361,0.406494,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,4.000000,6.000000,5.000000,2.000000,1.029308,0.856955,52.942317,1.423197,26.322248,0.707596,14.189359,0.381439,1.568120,0.042154,82.549927,0.902321,17.412369,160.847869,178.260237,169.554053
