genotype,primordium_id,source_file,cell_1_id,cell_2_id,pair_centroid_x,pair_centroid_y,x_norm,y_norm,region,angle,junction_angle_mean
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,0,1,539.806841,73.0576795,0.6181117408891884,0.008137196732252074,basal,24.42719408434929,157.158643
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,2,3,482.75761450000005,79.032637,0.4680166908905736,0.015251798261667933,basal,25.463876803898305,158.672066
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,6,8,471.7921825,145.249983,0.4391669208714057,0.09409922623508195,basal,26.256351006446238,160.050544
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,7,9,555.6812864999999,151.1758615,0.6598769993721021,0.1011553875950971,basal,34.713639069480486,160.92809
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,10,11,431.3776665,194.570637,0.33283736704844835,0.15282714193660638,basal,19.72313604628147,176.167639
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,13,14,593.9264735,204.52817149999998,0.7604991043005782,0.16468394429593886,basal,39.45605846555492,151.815547
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,15,18,480.26811050000003,232.3650645,0.46146686979261786,0.19783035605066446,basal,68.78847040645543,160.943638
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,16,19,372.6173935,233.5810885,0.17824059764497063,0.1992783205274338,basal,54.04844182442761,166.565351
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,17,29,551.2435965,295.00921900000003,0.6482015509341053,0.2724230535576617,basal,82.9899594487733,153.820231
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,22,30,605.2377859999999,308.066037,0.7902588770336483,0.28797028670737107,basal,86.00692471362625,157.748998
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,23,24,348.49082250000004,286.803773,0.11476420887149394,0.26265252738050654,basal,17.1238850237812,160.504247
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,25,28,667.1937405,317.75192,0.953263402404197,0.29950362363998406,basal,2.1408487484474126,149.405896
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,26,33,414.9418865,336.570435,0.28959525191010843,0.3219115212024915,basal,87.06254483219672,165.913467
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,27,36,487.9056915,380.6815195,0.48156114928409294,0.37443621100118757,basal,83.95246047141714,152.191609
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,32,37,360.692747,367.1863865,0.1468671589072288,0.3583670600689056,basal,82.34864679951906,170.79178
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,34,35,663.4760145,374.3226555,0.9434821607628026,0.3668644778901575,basal,11.224465078434111,166.008701
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,38,46,611.3059875,445.18719999999996,0.8062241593595039,0.4512454959444381,basal,84.01614453525241,151.782419
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,39,45,556.465315,444.651591,0.6619397582231419,0.45060772661962384,basal,85.83703173351759,151.250447
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,40,48,427.6372245,453.651629,0.3229963601943604,0.46132440269967984,basal,83.30942359337412,169.719423
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,41,49,386.2857215,466.675617,0.21420161763456638,0.47683254396158736,basal,88.97441010894173,165.390674
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,42,44,332.26808800000003,441.73789250000004,0.07208261097302361,0.44713827871068784,basal,46.19341041874862,166.649184
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,50,59,495.621937,548.8901950000001,0.5018623930551034,0.5747284641215351,apical,87.86292764642815,164.108894
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,51,55,649.952053,529.8683315,0.9079009653276312,0.552078432025166,apical,62.015147628883376,165.064627
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,53,58,315.60873300000003,553.7506075,0.028252275750692786,0.58051593594976,apical,59.34596509372218,155.983589
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,54,62,434.6581565,572.7250835,0.3414682520012875,0.6031095420079563,apical,79.90262937595838,166.224808
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,56,57,586.7587635,579.326356,0.7416410433446495,0.610969919830659,apical,10.500503388098736,159.550919
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,60,64,404.351619,627.7148575,0.26173253005688213,0.6685878872853299,apical,58.64548810641151,164.540126
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,61,65,647.3216155,622.9282685000001,0.9009803518100978,0.6628883198122416,apical,70.49230638457041,158.155944
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,63,71,549.9720669999999,670.878974,0.644856189470226,0.7199849874767178,apical,40.34600907870566,150.904497
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,66,67,468.853486,680.9463874999999,0.43143528584041607,0.7319726268004053,apical,26.473228601303497,170.031594
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,70,72,659.0217035000001,706.8411699999999,0.9317629829006036,0.7628064961925125,apical,46.763372321516414,160.051699
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,74,82,551.309252,774.8422065,0.6483742888686886,0.8437778300111656,apical,77.72249813281628,152.182825
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,75,79,592.6786555000001,764.0000035,0.75721612718433,0.8308676203492498,apical,81.6974253234375,172.027302
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,76,80,497.6588635,774.6742155,0.507221494371946,0.8435777969522646,apical,58.90144329473414,165.221759
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,77,81,407.6665875,802.022381,0.2704541270578744,0.8761422629075486,apical,37.60979509986879,170.244357
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,78,84,634.0686095000001,788.538125,0.8661120333377705,0.8600860636189955,apical,80.67278880317185,171.677955
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,83,85,462.2509275,817.414689,0.4140641239689001,0.8944704498508097,apical,69.91903559901581,161.087272
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,86,88,493.959207,889.421133,0.49748779312105873,0.9802111696149585,apical,31.417624779773192,153.245119
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,87,89,415.3201435,886.302809,0.2905904363641399,0.9764980666013195,apical,86.66401239482933,175.245715
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,0,4,499.052725,84.77258900000001,0.4154042819732954,0.031525899552776036,basal,60.75885572218972,167.079907
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,1,2,436.54879200000005,80.84819999999999,0.2843443701592818,0.02478477716037842,basal,27.47711575584291,168.135584
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,3,6,597.8179685,101.61196699999999,0.6224978756420263,0.060451754790329465,basal,0.519650755119018,171.001893
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,8,13,441.838036,139.1512395,0.2954349978835051,0.12493487061907753,basal,75.3509575443895,169.476885
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,10,18,550.8260585,171.730547,0.5239639868934245,0.18089800254026486,basal,35.312247952950436,158.28304
