genotype,primordium_id,source_file
WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json
WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json
WT,WT__4d-WT-11-polygonal-network,4d-WT-11-polygonal-network.json
WT,WT__4d-WT-2-polygonal-network,4d-WT-2-polygonal-network.json
WT,WT__4d-WT-3-polygonal-network,4d-WT-3-polygonal-network.json
WT,WT__4d-WT-4-polygonal-network,4d-WT-4-polygonal-network.json
WT,WT__4d-WT-5-polygonal-network,4d-WT-5-polygonal-network.json
WT,WT__4d-WT-7-polygonal-network,4d-WT-7-polygonal-network.json
WT,WT__4d-WT-8-polygonal-network,4d-WT-8-polygonal-network.json
WT,WT__4d-WT-9-polygonal-network,4d-WT-9-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-1-polygonal-network,4.5d-rpl4d-3-1-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-10-polygonal-network,4.5d-rpl4d-3-10-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-5-polygonal-network,4.5d-rpl4d-3-5-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-6-polygonal-network,4.5d-rpl4d-3-6-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-7-polygonal-network,4.5d-rpl4d-3-7-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-8-polygonal-network,4.5d-rpl4d-3-8-polygonal-network.json
rpl4d-3,rpl4d-3__4.5d-rpl4d-3-9-polygonal-network,4.5d-rpl4d-3-9-polygonal-network.json
