junction_threshold_deg,apical_boundary_y,genotype,primordium_id,source_file,apical_inferred_divisions,vertical_n,vertical_prop
140.0,0.4,WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,24,13,0.5416666666666666
140.0,0.4,WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,30,16,0.5333333333333333
140.0,0.4,WT,WT__4d-WT-11-polygonal-network,4d-WT-11-polygonal-network.json,42,23,0.5476190476190477
140.0,0.4,WT,WT__4d-WT-2-polygonal-network,4d-WT-2-polygonal-network.json,21,15,0.7142857142857143
140.0,0.4,WT,WT__4d-WT-3-polygonal-network,4d-WT-3-polygonal-network.json,18,10,0.5555555555555556
140.0,0.4,WT,WT__4d-WT-4-polygonal-network,4d-WT-4-polygonal-network.json,14,8,0.5714285714285714
140.0,0.4,WT,WT__4d-WT-5-polygonal-network,4d-WT-5-polygonal-network.json,35,17,0.4857142857142857
140.0,0.4,WT,WT__4d-WT-7-polygonal-network,4d-WT-7-polygonal-network.json,30,17,0.5666666666666667
140.0,0.4,WT,WT__4d-WT-8-polygonal-network,4d-WT-8-polygonal-network.json,39,22,0.5641025641025641
140.0,0.4,WT,WT__4d-WT-9-polygonal-network,4d-WT-9-polygonal-network.json,31,12,0.3870967741935484
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-1-polygonal-network,4.5d-rpl4d-3-1-polygonal-network.json,29,26,0.896551724137931
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-10-polygonal-network,4.5d-rpl4d-3-10-polygonal-network.json,56,35,0.625
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,35,29,0.8285714285714286
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,20,12,0.6
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-4-polygonal-network,4.5d-rpl4d-3-4-polygonal-network.json,44,31,0.7045454545454546
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-5-polygonal-network,4.5d-rpl4d-3-5-polygonal-network.json,30,17,0.5666666666666667
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-6-polygonal-network,4.5d-rpl4d-3-6-polygonal-network.json,41,23,0.5609756097560976
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-7-polygonal-network,4.5d-rpl4d-3-7-polygonal-network.json,31,21,0.6774193548387096
140.0,0.4,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-8-polygonal-network,4.5d-rpl4d-3-8-polygonal-network.json,44,25,0.5681818181818182
