junction_threshold_deg,apical_boundary_y,mean_vertical_prop_WT,mean_vertical_prop_rpl4d_3,difference_rpl4d_minus_WT,difference_percentage_points,apical_inferred_divisions_WT,apical_inferred_divisions_rpl4d_3,primordia_WT,primordia_rpl4d_3,p_exact,significant_p_lt_0_05
140.0,0.4,0.5467469179565954,0.6795353917163223,0.1327884737597269,13.278847375972692,284,373,10,10,0.007534261404230445,True
140.0,0.42,0.543808997515894,0.6801554601550632,0.13634646263916927,13.634646263916927,274,362,10,10,0.006960531728333586,True
140.0,0.44,0.5381857386281894,0.6921228812804356,0.15393714265224623,15.393714265224624,268,350,10,10,0.002197492909567213,True
140.0,0.46,0.5443835683202609,0.6881675344891554,0.14378396616889444,14.378396616889443,255,332,10,10,0.005899673082335621,True
140.0,0.48,0.5303146625476345,0.6894179443381429,0.15910328179050837,15.910328179050836,242,318,10,10,0.003983632466604603,True
140.0,0.5,0.537089030236476,0.6943368253618624,0.15724779512538634,15.724779512538634,232,304,10,10,0.005791422200090931,True
140.0,0.52,0.543201556594042,0.6992691985339043,0.15606764193986233,15.606764193986233,221,294,10,10,0.006462577670008011,True
140.0,0.54,0.5458095653324856,0.7016630424638536,0.155853477131368,15.585347713136798,209,279,10,10,0.007490961051332568,True
140.0,0.56,0.5385961628465377,0.7068118686868687,0.16821570584033108,16.821570584033108,200,269,10,10,0.004481586524930178,True
140.0,0.58,0.5330641637917181,0.7089153119703404,0.17585114817862235,17.585114817862234,186,249,10,10,0.0035506289376258417,True
140.0,0.6,0.5185516194331984,0.7164681169906962,0.19791649755749785,19.791649755749784,175,235,10,10,0.0009634328519777436,True
141.0,0.4,0.5495709820528332,0.6779064130430825,0.12833543099024936,12.833543099024936,280,371,10,10,0.010132282578103011,True
141.0,0.42,0.5468388752439746,0.6784663656779115,0.13162749043393696,13.162749043393696,270,360,10,10,0.009969906254735976,True
141.0,0.44,0.541226794144217,0.6904549241246736,0.14922812998045654,14.922812998045654,264,348,10,10,0.0031284504968715496,True
141.0,0.46,0.5475356461275112,0.6864808553146713,0.13894520918716013,13.894520918716013,251,330,10,10,0.00803221546255602,True
141.0,0.48,0.5334621889000292,0.6877061006262991,0.15424391172626994,15.424391172626994,238,316,10,10,0.0053584186711121695,True
141.0,0.5,0.5401910567502672,0.692438042133156,0.15224698538288872,15.224698538288873,228,302,10,10,0.007577561757128321,True
141.0,0.52,0.5464679874811627,0.697473934973935,0.1510059474927723,15.10059474927723,217,292,10,10,0.008097165991902834,True
141.0,0.54,0.5495181530410732,0.6995945648181263,0.1500764117770531,15.007641177705311,205,277,10,10,0.009287925696594427,True
141.0,0.56,0.5424189986258952,0.7047000814432357,0.16228108281734055,16.228108281734055,196,267,10,10,0.0054558444651323906,True
141.0,0.58,0.5343722759693954,0.7065187978091204,0.172146521839725,17.2146521839725,183,247,10,10,0.003983632466604603,True
141.0,0.6,0.5196167823404666,0.7138042993268786,0.194187516986412,19.418751698641202,172,233,10,10,0.0011691095282426551,True
142.0,0.4,0.5498090772909285,0.6784620565865309,0.12865297929560238,12.865297929560239,278,369,10,10,0.009634328519777436,True
142.0,0.42,0.5469665891647919,0.6790539970984928,0.13208740793370088,13.208740793370088,268,358,10,10,0.00949360237285934,True
142.0,0.44,0.5413545080650344,0.6910205349844021,0.1496660269193677,14.966602691936771,262,346,10,10,0.0028578232912598238,True
142.0,0.46,0.5476837942756593,0.6871051357960947,0.1394213415204354,13.94213415204354,249,328,10,10,0.007393535257312347,True
142.0,0.48,0.5334621889000292,0.6883636189527788,0.1549014300527496,15.490143005274959,236,314,10,10,0.00502284093615363,True
142.0,0.5,0.540017143706789,0.6931603818089839,0.15314323810219488,15.314323810219488,226,300,10,10,0.006982181904782524,True
142.0,0.52,0.5466750268186368,0.6967163592163591,0.15004133239772233,15.004133239772234,215,291,10,10,0.008281192491718808,True
142.0,0.54,0.5499726984956186,0.6987899671169769,0.14881726862135836,14.881726862135835,203,276,10,10,0.009558552902206153,True
142.0,0.56,0.5426696251923111,0.7038380124777184,0.16116838728540728,16.116838728540728,194,266,10,10,0.005629045876723895,True
142.0,0.58,0.5343722759693954,0.7055216468119695,0.1711493708425741,17.11493708425741,181,246,10,10,0.004081058260624824,True
