region,genotype,primordium_id,source_file,total_inferred_divisions,horizontal_n,diagonal_n,vertical_n,horizontal_prop,diagonal_prop,vertical_prop,median_angle
whole,WT,WT__4d-WT-1-polygonal-network,4d-WT-1-polygonal-network.json,39,9,11,19,0.23076923076923078,0.28205128205128205,0.48717948717948717,59.34596509372218
whole,WT,WT__4d-WT-10-polygonal-network,4d-WT-10-polygonal-network.json,45,14,9,22,0.3111111111111111,0.2,0.4888888888888889,56.72994382916743
whole,WT,WT__4d-WT-11-polygonal-network,4d-WT-11-polygonal-network.json,65,28,7,30,0.4307692307692308,0.1076923076923077,0.46153846153846156,52.6139284431932
whole,WT,WT__4d-WT-2-polygonal-network,4d-WT-2-polygonal-network.json,35,9,3,23,0.2571428571428571,0.08571428571428572,0.6571428571428571,78.44897650987204
whole,WT,WT__4d-WT-3-polygonal-network,4d-WT-3-polygonal-network.json,38,10,7,21,0.2631578947368421,0.18421052631578946,0.5526315789473685,63.55994103955568
whole,WT,WT__4d-WT-4-polygonal-network,4d-WT-4-polygonal-network.json,37,10,9,18,0.2702702702702703,0.24324324324324326,0.4864864864864865,59.637411701467144
whole,WT,WT__4d-WT-5-polygonal-network,4d-WT-5-polygonal-network.json,51,17,9,25,0.3333333333333333,0.17647058823529413,0.49019607843137253,58.253430774824075
whole,WT,WT__4d-WT-7-polygonal-network,4d-WT-7-polygonal-network.json,44,10,4,30,0.22727272727272727,0.09090909090909091,0.6818181818181818,74.97468740641264
whole,WT,WT__4d-WT-8-polygonal-network,4d-WT-8-polygonal-network.json,59,18,9,32,0.3050847457627119,0.15254237288135594,0.5423728813559322,70.96217072530602
whole,WT,WT__4d-WT-9-polygonal-network,4d-WT-9-polygonal-network.json,47,19,12,16,0.40425531914893614,0.2553191489361702,0.3404255319148936,35.725836214190764
whole,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-1-polygonal-network,4.5d-rpl4d-3-1-polygonal-network.json,45,5,1,39,0.1111111111111111,0.022222222222222223,0.8666666666666667,83.76908547162077
whole,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-10-polygonal-network,4.5d-rpl4d-3-10-polygonal-network.json,78,9,22,47,0.11538461538461539,0.28205128205128205,0.6025641025641025,68.78045486821333
whole,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-11-polygonal-network,4.5d-rpl4d-3-11-polygonal-network.json,52,6,5,41,0.11538461538461539,0.09615384615384616,0.7884615384615384,79.68200374799125
whole,rpl4d-3,rpl4d-3__4.5d-rpl4d-3-2-polygonal-network,4.5d-rpl4d-3-2-polygonal-network.json,27,4,7,16,0.14814814814814814,0.25925925925925924,0.5925925925925926,70.80659328249824
