junction_threshold_deg,apical_boundary_y,mean_vertical_prop_WT,mean_vertical_prop_rpl4d_3,difference_rpl4d_minus_WT,difference_percentage_points,apical_inferred_divisions_WT,apical_inferred_divisions_rpl4d_3,primordia_WT,primordia_rpl4d_3,p_exact,significant_p_lt_0_05
145.0,0.4,0.5567689087786933,0.6809168551871855,0.12414794640849214,12.414794640849214,264,359,10,10,0.016692286042131244,True
145.0,0.42,0.554044411860004,0.6814642981420114,0.1274198862820074,12.74198862820074,254,348,10,10,0.016605685336335493,True
145.0,0.44,0.5455374563566784,0.6951047178399095,0.14956726148323107,14.956726148323106,248,337,10,10,0.004005282643053541,True
145.0,0.46,0.5528253901241518,0.6912457713630997,0.13842038123894795,13.842038123894795,235,319,10,10,0.011344692459243542,True
145.0,0.48,0.5385497009142752,0.692776696107919,0.1542269951936438,15.42269951936438,222,305,10,10,0.006278551170192037,True
145.0,0.5,0.54491994478951,0.697886512628263,0.15296656783875295,15.296656783875296,212,291,10,10,0.00903894866743164,True
145.0,0.52,0.5563246568246568,0.7017015392015391,0.1453768823768823,14.53768823768823,203,282,10,10,0.012243174781874472,True
145.0,0.54,0.5615628280101964,0.7045195415239186,0.1429567135137222,14.295671351372219,192,267,10,10,0.015133473337807703,True
145.0,0.56,0.5544359347223125,0.7098314567164845,0.15539552199417206,15.539552199417205,183,257,10,10,0.007837363874515578,True
145.0,0.58,0.5464801556073934,0.7135018468664728,0.1670216912590794,16.70216912590794,170,238,10,10,0.006148650111498409,True
145.0,0.6,0.5326041772984498,0.7158995104882662,0.1832953331898164,18.32953331898164,159,225,10,10,0.0016670635865682305,True
