junction_threshold_deg,apical_boundary_y,mean_vertical_prop_WT,mean_vertical_prop_rpl4d_3,difference_rpl4d_minus_WT,difference_percentage_points,apical_inferred_divisions_WT,apical_inferred_divisions_rpl4d_3,primordia_WT,primordia_rpl4d_3,p_exact,significant_p_lt_0_05
140.0,0.5,0.537089030236476,0.6943368253618624,0.15724779512538634,15.724779512538634,232,304,10,10,0.005791422200090931,True
141.0,0.5,0.5401910567502672,0.692438042133156,0.15224698538288872,15.224698538288873,228,302,10,10,0.007577561757128321,True
142.0,0.5,0.540017143706789,0.6931603818089839,0.15314323810219488,15.314323810219488,226,300,10,10,0.006982181904782524,True
143.0,0.5,0.5401909976306428,0.6914937151423173,0.15130271751167446,15.130271751167445,222,299,10,10,0.008649245491350755,True
144.0,0.5,0.5435385546435226,0.6951401453723435,0.15160159072882085,15.160159072882085,218,295,10,10,0.011647794929528676,True
145.0,0.5,0.54491994478951,0.697886512628263,0.15296656783875295,15.296656783875296,212,291,10,10,0.00903894866743164,True
146.0,0.5,0.5425866114561766,0.6972160659388921,0.15462945448271548,15.462945448271547,211,285,10,10,0.009980731342960444,True
147.0,0.5,0.5485295815295815,0.7009139026004384,0.15238432107085687,15.238432107085686,206,283,10,10,0.008768321461819913,True
148.0,0.5,0.5509035409035408,0.7001411340335522,0.1492375931300114,14.923759313001138,201,279,10,10,0.009266275520145488,True
149.0,0.5,0.5493650793650793,0.7023251197979459,0.1529600404328666,15.29600404328666,195,271,10,10,0.010760137695122214,True
150.0,0.5,0.5514869131850115,0.7014968545946807,0.15000994140966917,15.000994140966917,191,262,10,10,0.008757496373595445,True
