geometry_col,op,threshold,selected_pairs,selected_pairs_evaluated,TP,FP,FN,TN,precision,recall,specificity,f1,accuracy,balanced_accuracy,support_pos,support_neg,evaluated_pairs,skipped_missing_observed,skipped_exception
junctionAngleAverageDegrees (threshold + MWM),>=,120.0,399,399,382,17,4,1933,0.9573934837092731,0.9896373056994818,0.9912820512820513,0.973248407643312,0.9910102739726028,0.9904596784907665,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,121.0,398,398,383,15,3,1935,0.9623115577889447,0.9922279792746114,0.9923076923076923,0.9770408163265306,0.9922945205479452,0.9922678357911519,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,122.0,398,398,383,15,3,1935,0.9623115577889447,0.9922279792746114,0.9923076923076923,0.9770408163265306,0.9922945205479452,0.9922678357911519,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,123.0,398,398,383,15,3,1935,0.9623115577889447,0.9922279792746114,0.9923076923076923,0.9770408163265306,0.9922945205479452,0.9922678357911519,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,124.0,398,398,383,15,3,1935,0.9623115577889447,0.9922279792746114,0.9923076923076923,0.9770408163265306,0.9922945205479452,0.9922678357911519,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,125.0,398,398,383,15,3,1935,0.9623115577889447,0.9922279792746114,0.9923076923076923,0.9770408163265306,0.9922945205479452,0.9922678357911519,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,126.0,397,397,383,14,3,1936,0.964735516372796,0.9922279792746114,0.9928205128205129,0.9782886334610472,0.992722602739726,0.9925242460475621,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,127.0,397,397,383,14,3,1936,0.964735516372796,0.9922279792746114,0.9928205128205129,0.9782886334610472,0.992722602739726,0.9925242460475621,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,128.0,397,397,383,14,3,1936,0.964735516372796,0.9922279792746114,0.9928205128205129,0.9782886334610472,0.992722602739726,0.9925242460475621,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,129.0,397,397,383,14,3,1936,0.964735516372796,0.9922279792746114,0.9928205128205129,0.9782886334610472,0.992722602739726,0.9925242460475621,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,130.0,396,396,383,13,3,1937,0.9671717171717171,0.9922279792746114,0.9933333333333333,0.979539641943734,0.9931506849315068,0.9927806563039723,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,131.0,396,396,383,13,3,1937,0.9671717171717171,0.9922279792746114,0.9933333333333333,0.979539641943734,0.9931506849315068,0.9927806563039723,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,132.0,395,395,383,12,3,1938,0.9696202531645569,0.9922279792746114,0.9938461538461538,0.9807938540332907,0.9935787671232876,0.9930370665603826,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,133.0,394,394,383,11,3,1939,0.9720812182741116,0.9922279792746114,0.9943589743589744,0.982051282051282,0.9940068493150684,0.9932934768167929,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,134.0,393,393,382,11,4,1939,0.9720101781170484,0.9896373056994818,0.9943589743589744,0.9807445442875482,0.9935787671232876,0.9919981400292281,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,135.0,391,391,381,10,5,1940,0.9744245524296675,0.9870466321243523,0.9948717948717949,0.9806949806949806,0.9935787671232876,0.9909592134980736,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,136.0,391,391,381,10,5,1940,0.9744245524296675,0.9870466321243523,0.9948717948717949,0.9806949806949806,0.9935787671232876,0.9909592134980736,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,137.0,390,390,381,9,5,1941,0.9769230769230769,0.9870466321243523,0.9953846153846154,0.9819587628865978,0.9940068493150684,0.9912156237544838,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,138.0,389,389,380,9,6,1941,0.9768637532133676,0.9844559585492227,0.9953846153846154,0.9806451612903226,0.9935787671232876,0.989920286966919,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,139.0,388,388,379,9,7,1941,0.9768041237113402,0.9818652849740933,0.9953846153846154,0.979328165374677,0.9931506849315068,0.9886249501793544,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,140.0,387,387,378,9,8,1941,0.9767441860465116,0.9792746113989638,0.9953846153846154,0.9780077619663649,0.992722602739726,0.9873296133917896,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,141.0,386,386,378,8,8,1942,0.9792746113989638,0.9792746113989638,0.9958974358974358,0.9792746113989638,0.9931506849315068,0.9875860236481998,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,142.0,384,384,377,7,9,1943,0.9817708333333334,0.9766839378238342,0.9964102564102564,0.9792207792207793,0.9931506849315068,0.9865470971170454,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,143.0,383,383,377,6,9,1944,0.9843342036553525,0.9766839378238342,0.9969230769230769,0.9804941482444733,0.9935787671232876,0.9868035073734556,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,144.0,382,382,376,6,10,1944,0.9842931937172775,0.9740932642487047,0.9969230769230769,0.9791666666666667,0.9931506849315068,0.9855081705858908,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,145.0,381,381,375,6,11,1944,0.984251968503937,0.9715025906735751,0.9969230769230769,0.9778357235984355,0.992722602739726,0.984212833798326,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,146.0,366,366,361,5,25,1945,0.9863387978142076,0.9352331606217616,0.9974358974358974,0.9601063829787233,0.9871575342465754,0.9663345290288295,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,147.0,356,356,351,5,35,1945,0.9859550561797753,0.9093264248704663,0.9974358974358974,0.9460916442048517,0.9828767123287672,0.9533811611531819,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,148.0,350,350,345,5,41,1945,0.9857142857142858,0.8937823834196891,0.9974358974358974,0.9374999999999999,0.9803082191780822,0.9456091404277933,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,149.0,337,337,332,5,54,1945,0.9851632047477745,0.8601036269430051,0.9974358974358974,0.9183955739972337,0.9747431506849316,0.9287697621894513,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,150.0,326,326,322,4,64,1946,0.9877300613496932,0.8341968911917098,0.997948717948718,0.9044943820224719,0.9708904109589042,0.9160728045702139,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,151.0,315,315,311,4,75,1946,0.9873015873015873,0.805699481865285,0.997948717948718,0.8873038516405135,0.966181506849315,0.9018240999070015,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,152.0,293,293,290,3,96,1947,0.9897610921501706,0.7512953367875648,0.9984615384615385,0.8541973490427097,0.9576198630136986,0.8748784376245516,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,153.0,281,281,278,3,108,1947,0.9893238434163701,0.7202072538860104,0.9984615384615385,0.8335832083958021,0.9524828767123288,0.8593343961737745,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,154.0,266,266,263,3,123,1947,0.9887218045112782,0.6813471502590673,0.9984615384615385,0.8067484662576687,0.9460616438356164,0.8399043443603029,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,155.0,254,254,252,2,134,1948,0.9921259842519685,0.6528497409326425,0.9989743589743589,0.7875,0.9417808219178082,0.8259120499535006,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,156.0,236,236,234,2,152,1948,0.9915254237288136,0.6062176165803109,0.9989743589743589,0.752411575562701,0.9340753424657534,0.802595987777335,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,157.0,218,218,216,2,170,1948,0.9908256880733946,0.5595854922279793,0.9989743589743589,0.7152317880794703,0.9263698630136986,0.7792799256011691,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,158.0,202,202,200,2,186,1948,0.9900990099009901,0.5181347150259067,0.9989743589743589,0.6802721088435373,0.9195205479452054,0.7585545370001328,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,159.0,182,182,180,2,206,1948,0.989010989010989,0.46632124352331605,0.9989743589743589,0.6338028169014085,0.910958904109589,0.7326478012488375,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,160.0,168,168,166,2,220,1948,0.9880952380952381,0.43005181347150256,0.9989743589743589,0.5992779783393501,0.9049657534246576,0.7145130862229307,386,1950,2336,0,0
junctionAngleAverageDegrees (threshold + MWM),>=,161.0,149,149,147,2,239,1948,0.9865771812080537,0.38082901554404147,0.9989743589743589,0.5495327102803739,0.896832191780822,0.6899016872592002,386,1950,2336,0,0
