file,best_threshold,best_mwm_f1,row_number_1based,plot_label_all,plot_label_top,best_mwm_f1_percent
045_junctionAngleAverageDegrees__ge.csv,133.0,0.982051282051282,134,junction_angle_mean ≥,junction_angle_mean,98.2051282051282
035_unionConvexDeficiency__le.csv,0.12,0.9744245524296676,13,convex_deficiency ≤,convex_deficiency,97.44245524296676
047_junctionAngleMinDegrees__ge.csv,126.0,0.9743589743589745,127,junction_angle_min ≥,junction_angle_min,97.43589743589745
036_normalizedSharedEdgeLength__ge.csv,0.84,0.9717223650385604,37,shared_edge_length_normalized ≥,shared_edge_length_normalized,97.17223650385604
034_unionCircularity__ge.csv,0.7,0.9673202614379084,71,union_circularity ≥,union_circularity,96.73202614379083
037_sharedEdgeLength__ge.csv,17.0,0.9489795918367346,14,shared_edge_length ≥,shared_edge_length,94.89795918367346
046_junctionAngleMaxDegrees__ge.csv,136.0,0.9260204081632653,137,junction_angle_max ≥,junction_angle_max,92.60204081632652
031_centroidDistance__le.csv,25.0,0.8880308880308879,11,centroid_distance ≤,centroid_distance,88.8030888030888
041_centroidSharedEdgeDistanceNormalized__le.csv,0.49,0.8777923784494087,32,centroid_shared_edge_distance_normalized ≤,centroid_shared_edge_distance_normalized,87.77923784494087
040_centroidSharedEdgeDistance__le.csv,12.5,0.8703465982028241,12,centroid_shared_edge_distance ≤,centroid_shared_edge_distance,87.03465982028241
032_centroidDistanceNormalized__le.csv,1.0,0.8683181225554106,32,centroid_distance_normalized ≤,centroid_distance_normalized,86.83181225554107
038_sharedEdgeUnsharedVerticesDistance__le.csv,19.0,0.8386243386243386,12,shared_edge_vertex_distance ≤,shared_edge_vertex_distance,83.86243386243386
039_sharedEdgeUnsharedVerticesDistanceNormalized__le.csv,0.82,0.8270481144343304,24,shared_edge_vertex_distance_normalized ≤,shared_edge_vertex_distance_normalized,82.70481144343303
049_junctionAngleRatio__ge.csv,0.67,0.5165238678090576,68,junction_angle_ratio ≥,junction_angle_ratio,51.65238678090576
044_sharedEdgeUnionAxisAngleDegrees__le.csv,115.0,0.442002442002442,116,union_axis_shared_edge_angle ≤,union_axis_shared_edge_angle,44.2002442002442
048_junctionAngleDifferenceDegrees__le.csv,76.0,0.3990267639902676,77,junction_angle_diff ≤,junction_angle_diff,39.90267639902676
033_unionAspectRatio__le.csv,1.52,0.3895131086142323,27,union_aspect_ratio ≤,union_aspect_ratio,38.951310861423224
043_sharedEdgeUnionCentroidDistanceNormalized__le.csv,0.4,0.338235294117647,41,union_centroid_edge_distance_normalized ≤,union_centroid_edge_distance_normalized,33.8235294117647
011_aspectRatio__ge.csv,0.0,0.3187347931873479,1,aspect_ratio ≥,aspect_ratio,31.873479318734788
042_sharedEdgeUnionCentroidDistance__le.csv,8.5,0.3137254901960784,18,union_centroid_edge_distance ≤,union_centroid_edge_distance,31.372549019607842
013_aspectMin__ge.csv,1.0,0.3133757961783439,1,aspect_min ≥,aspect_min,31.337579617834386
015_aspectDiff__le.csv,1.04,0.3118148599269184,53,aspect_diff ≤,aspect_diff,31.181485992691837
014_aspectMax__le.csv,2.32,0.3024390243902439,66,aspect_max ≤,aspect_max,30.24390243902439
010_perimeterDiff__le.csv,58.0,0.3,30,perimeter_diff ≤,perimeter_diff,30.0
007_perimeterMean__le.csv,94.0,0.2921686746987951,13,perimeter_mean ≤,perimeter_mean,29.21686746987951
