file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
2025_04_25_IC_small_1,481,484,1,662.846,1100.4,642.941,1114.91
2025_04_25_IC_small_1,356,373,1,857.941,914.473,859.462,938.366
2025_04_25_IC_small_1,581,582,1,843.515,1406.35,832.078,1432.45
2025_04_25_IC_small_1,387,395,1,415.391,961.415,429.579,974.024
2025_04_25_IC_small_1,370,378,1,463.81,932.104,470.804,947.033
2025_04_25_IC_small_1,88,97,1,791.989,497.741,809.572,526.21
2025_04_25_IC_small_1,476,501,1,958.368,1102.55,946.118,1143.78
2025_04_25_IC_small_1,536,544,1,850.576,1206.06,843.983,1236.1
2025_04_25_IC_small_1,402,410,1,398.489,986.784,414.977,997.212
2025_04_25_IC_small_1,103,115,1,766.413,529.348,780.452,554.304
2025_04_25_IC_small_1,3,6,1,595.19,225.523,609.145,242.339
2025_04_25_IC_small_1,33,38,1,553.439,334.503,545.361,352.072
2025_04_25_IC_small_1,181,188,1,451.744,670.375,438.178,680.943
2025_04_25_IC_small_1,381,388,1,488.672,942.942,494.655,958.295
2025_04_25_IC_small_1,469,486,1,872.596,1082.97,864.864,1106.3
2025_04_25_IC_small_1,101,95,1,846.578,527.409,851.56,504.746
2025_04_25_IC_small_1,47,59,1,536.56,383.775,532.325,407.352
2025_04_25_IC_small_1,243,233,1,839.21,756.096,816.101,750.418
2025_04_25_IC_small_1,65,70,1,551.987,433.733,537.204,447.072
2025_04_25_IC_small_1,137,140,1,725.112,595.712,703.331,602.45
2025_04_25_IC_small_1,110,116,1,707.612,549.502,688.384,563.783
2025_04_25_IC_small_1,491,461,1,923.209,1116.94,929.442,1082.41
2025_04_25_IC_small_1,418,417,1,762.801,1016.8,784.016,1018.4
2025_04_25_IC_small_1,451,468,1,826.266,1055.67,817.904,1081.1
2025_04_25_IC_small_1,117,125,1,546.313,551.131,540.398,570.234
2025_04_25_IC_small_1,405,393,1,562.886,987.094,559.398,968.802
2025_04_25_IC_small_1,201,202,1,702.032,691.535,718.616,698.175
2025_04_25_IC_small_1,52,61,1,627.097,396.966,620.54,418.501
2025_04_25_IC_small_1,72,79,1,786.43,446.433,793.034,466.162
2025_04_25_IC_small_1,231,240,1,490.049,737.493,512.451,758.816
2025_04_25_IC_small_1,324,341,1,760.143,873.93,751.081,899.386
2025_04_25_IC_small_1,487,488,1,837.838,1108.89,821.483,1121.9
2025_04_25_IC_small_1,409,431,1,706.789,996.981,706.134,1019.71
2025_04_25_IC_small_1,222,229,1,600.047,722.981,609.713,736.956
2025_04_25_IC_small_1,13,20,1,573.735,273.768,566.232,289.669
2025_04_25_IC_small_1,340,363,1,526.221,896.731,529.075,916.834
2025_04_25_IC_small_1,303,292,1,688.187,844.229,667.875,832.099
2025_04_25_IC_small_1,256,263,1,568.992,772.304,559.731,785.625
2025_04_25_IC_small_1,253,275,1,859.861,772.953,866.213,796.682
2025_04_25_IC_small_1,406,432,1,946.552,996.962,949.245,1023.46
2025_04_25_IC_small_1,143,160,1,888.424,608.305,900.417,637.454
2025_04_25_IC_small_1,490,509,1,390.673,1116.44,385.165,1139.43
2025_04_25_IC_small_1,317,300,1,355.065,855.124,355.097,833.046
2025_04_25_IC_small_1,550,551,1,787.337,1250.73,800.248,1261.28
2025_04_25_IC_small_1,497,520,1,884.62,1128.77,872.077,1159.68
2025_04_25_IC_small_1,548,538,1,767.547,1239.69,777.267,1214.59
2025_04_25_IC_small_1,27,26,1,721.036,317.661,742.277,319.533
2025_04_25_IC_small_1,483,500,1,620.192,1102.25,619.047,1127.63
2025_04_25_IC_small_1,305,314,1,431.217,846.329,412.241,860.609
2025_04_25_IC_small_1,176,193,1,914.268,662.553,919.346,686.081
2025_04_25_IC_small_1,460,453,1,623.631,1074.53,652.831,1066.68
2025_04_25_IC_small_1,102,104,1,569.245,516.546,558.384,530.832
2025_04_25_IC_small_1,495,512,1,412.753,1122.13,402.824,1145.52
2025_04_25_IC_small_1,217,223,1,765.652,727.638,789.116,734.319
2025_04_25_IC_small_1,120,133,1,860.456,558.359,874.441,580.597
2025_04_25_IC_small_1,224,225,1,502.622,722.293,520.14,729.868
2025_04_25_IC_small_1,475,493,1,506.322,1092.7,510.351,1118.41
2025_04_25_IC_small_1,205,204,1,473.914,697.058,453.132,701.897
2025_04_25_IC_small_1,85,93,1,730.509,486.677,746.722,509.657
2025_04_25_IC_small_1,11,14,1,629.689,264.465,607.582,280.921
2025_04_25_IC_small_1,561,565,1,710.254,1283.97,686.163,1304.85
2025_04_25_IC_small_1,163,168,1,793.692,634.113,803.891,655.515
2025_04_25_IC_small_1,83,89,1,538.884,477.463,534.381,499.774
2025_04_25_IC_small_1,212,226,1,693.605,714.268,709.208,730.37
2025_04_25_IC_small_1,364,380,1,962.608,926.436,959.9,959.234
2025_04_25_IC_small_1,322,311,1,470.335,869.958,460.137,851.179
2025_04_25_IC_small_1,521,499,1,751.304,1168.73,755.15,1128.35
2025_04_25_IC_small_1,477,479,1,715.336,1103.07,737.298,1103.8
2025_04_25_IC_small_1,526,514,1,786.711,1177.67,788.488,1147.62
2025_04_25_IC_small_1,214,218,1,486.478,712.746,469.321,719.491
2025_04_25_IC_small_1,111,126,1,738.052,552.569,756.252,582.095
2025_04_25_IC_small_1,454,473,1,462.407,1064.31,464.865,1088.55
2025_04_25_IC_small_1,75,80,1,706.221,448.559,704.53,468.959
2025_04_25_IC_small_1,496,518,1,677.714,1126.09,678.247,1153.55
2025_04_25_IC_small_1,572,573,1,693.768,1331.54,677.013,1346.95
2025_04_25_IC_small_1,347,361,1,721.259,903.575,725.617,931.849
2025_04_25_IC_small_1,528,524,1,416.888,1186.48,400.708,1172.68
