"filename","cell_1_id","cell_2_id","area_min","area_max","area_mean","perimeter_min","perimeter_max","perimeter_mean","elongation_min","elongation_max","elongation_mean","circularity_min","circularity_max","circularity_mean","solidity_min","solidity_max","solidity_mean","vertex_count_min","vertex_count_max","vertex_count_mean","area_ratio","perimeter_ratio","circularity_ratio","solidity_ratio","vertex_count_ratio","convex_deficiency","distance","distance_normalized","shared_edge_length","shared_edge_length_normalized","junction_angle","junction_angle_min","junction_angle_max","junction_angle_mean","union_centroid_edge_distance","union_centroid_edge_distance_normalized","union_axis_shared_edge_angle","shared_edge_vertex_distance","shared_edge_vertex_distance_normalized"
"2025_04_25_IC_small_1_cell_contour.jpg",0,1,873.834,1914.064,1393.949,114.159,172.197,143.178,1.464,1.941,1.702,0.811,0.843,0.827,1.000,1.000,1.000,6,7,6.5,0.457,0.663,0.963,1.000,0.857,0.144,36.291,0.990,26.077,0.711,107.316,89.938,124.695,107.316,9.162,0.250,15.769,27.667,0.750
"2025_04_25_IC_small_1_cell_contour.jpg",0,2,641.500,1914.064,1277.782,107.517,172.197,139.857,1.172,1.941,1.556,0.697,0.811,0.754,1.000,1.000,1.000,5,7,6.0,0.335,0.624,0.860,1.000,0.714,0.157,35.924,1.040,22.361,0.647,111.345,72.078,150.611,111.345,14.335,0.415,48.710,30.419,0.875
"2025_04_25_IC_small_1_cell_contour.jpg",0,5,746.833,1914.064,1330.449,109.895,172.197,141.046,1.801,1.941,1.871,0.777,0.811,0.794,1.000,1.000,1.000,6,7,6.5,0.390,0.638,0.958,1.000,0.857,0.062,29.308,0.825,37.537,1.056,138.229,130.601,145.856,138.229,9.723,0.274,10.776,22.382,0.627
"2025_04_25_IC_small_1_cell_contour.jpg",0,7,676.500,1914.064,1295.282,103.554,172.197,137.875,1.651,1.941,1.796,0.793,0.811,0.802,1.000,1.000,1.000,5,7,6.0,0.353,0.601,0.977,1.000,0.714,0.131,43.311,1.242,15.811,0.453,113.024,103.577,122.471,113.024,19.057,0.546,85.521,33.788,0.959
"2025_04_25_IC_small_1_cell_contour.jpg",0,10,782.667,1914.064,1348.365,108.618,172.197,140.407,1.655,1.941,1.798,0.811,0.834,0.822,1.000,1.000,1.000,6,7,6.5,0.409,0.631,0.973,1.000,0.857,0.158,45.095,1.257,16.492,0.460,111.444,105.195,117.692,111.444,15.055,0.420,71.689,34.131,0.952
"2025_04_25_IC_small_1_cell_contour.jpg",1,4,873.834,893.667,883.750,114.159,123.877,119.018,1.464,2.164,1.814,0.732,0.843,0.787,1.000,1.000,1.000,6,6,6.0,0.978,0.922,0.869,1.000,1.000,0.180,38.585,1.298,13.454,0.453,120.023,100.305,139.740,120.023,2.805,0.094,78.977,30.497,1.025
"2025_04_25_IC_small_1_cell_contour.jpg",1,7,676.500,873.834,775.167,103.554,114.159,108.857,1.464,1.651,1.558,0.793,0.843,0.818,1.000,1.000,1.000,5,6,5.5,0.774,0.907,0.941,1.000,0.833,0.246,30.845,1.110,13.000,0.468,117.258,112.834,121.682,117.258,1.875,0.067,85.174,26.462,0.960
"2025_04_25_IC_small_1_cell_contour.jpg",2,3,583.944,641.500,612.722,97.966,107.517,102.741,1.172,1.306,1.239,0.697,0.765,0.731,1.000,1.000,1.000,4,5,4.5,0.910,0.911,0.912,1.000,0.800,0.155,24.751,1.000,24.046,0.972,123.207,99.267,147.147,123.207,0.789,0.032,64.013,23.822,0.967
"2025_04_25_IC_small_1_cell_contour.jpg",2,5,641.500,746.833,694.167,107.517,109.895,108.706,1.172,1.801,1.487,0.697,0.777,0.737,1.000,1.000,1.000,5,6,5.5,0.859,0.978,0.897,1.000,0.833,0.302,33.665,1.279,15.670,0.595,138.812,135.559,142.065,138.812,2.462,0.094,59.997,26.578,1.007
"2025_04_25_IC_small_1_cell_contour.jpg",2,6,641.500,692.000,666.750,101.999,107.517,104.758,1.172,1.409,1.290,0.697,0.836,0.767,1.000,1.000,1.000,5,6,5.5,0.927,0.949,0.834,1.000,0.833,0.296,28.654,1.110,13.487,0.522,117.606,84.623,150.589,117.606,3.240,0.126,57.005,24.590,0.952
"2025_04_25_IC_small_1_cell_contour.jpg",3,6,583.944,692.000,637.972,97.966,101.999,99.982,1.306,1.409,1.357,0.765,0.836,0.800,1.000,1.000,1.000,4,6,5.0,0.844,0.960,0.915,1.000,0.667,0.032,23.790,0.943,28.599,1.133,173.312,170.514,176.110,173.312,1.361,0.054,85.617,20.526,0.816
"2025_04_25_IC_small_1_cell_contour.jpg",3,8,583.944,841.722,712.833,97.966,119.742,108.854,1.306,1.545,1.425,0.738,0.765,0.751,1.000,1.000,1.000,4,5,4.5,0.694,0.818,0.965,1.000,0.800,0.194,27.720,1.043,18.187,0.684,136.147,98.947,173.347,136.147,1.424,0.054,74.190,27.091,1.030
"2025_04_25_IC_small_1_cell_contour.jpg",4,7,676.500,893.667,785.083,103.554,123.877,113.716,1.651,2.164,1.908,0.732,0.793,0.762,1.000,1.000,1.000,5,6,5.5,0.757,0.836,0.923,1.000,0.833,0.088,23.190,0.830,33.541,1.200,142.869,138.013,147.724,142.869,1.895,0.068,17.308,18.557,0.665
"2025_04_25_IC_small_1_cell_contour.jpg",4,9,893.667,1046.403,970.035,123.877,129.025,126.451,1.694,2.164,1.929,0.732,0.790,0.761,1.000,1.000,1.000,6,6,6.0,0.854,0.960,0.926,1.000,1.000,0.193,29.975,0.963,24.267,0.780,98.945,86.987,110.902,98.945,2.515,0.081,49.998,23.584,0.755
"2025_04_25_IC_small_1_cell_contour.jpg",4,15,328.667,893.667,611.167,74.507,123.877,99.192,1.605,2.164,1.885,0.732,0.744,0.738,1.000,1.000,1.000,5,6,5.5,0.368,0.601,0.984,1.000,0.833,0.157,32.880,1.369,13.454,0.560,139.807,123.690,155.925,139.807,12.814,0.534,74.522,26.166,1.087
"2025_04_25_IC_small_1_cell_contour.jpg",4,16,810.167,893.667,851.917,108.494,123.877,116.186,1.579,2.164,1.872,0.732,0.865,0.798,1.000,1.000,1.000,6,7,6.5,0.907,0.876,0.846,1.000,0.857,0.196,30.918,1.060,17.889,0.613,108.147,85.406,130.888,108.147,2.765,0.095,80.538,24.923,0.851
"2025_04_25_IC_small_1_cell_contour.jpg",5,6,692.000,746.833,719.417,101.999,109.895,105.947,1.409,1.801,1.605,0.777,0.836,0.806,1.000,1.000,1.000,6,6,6.0,0.927,0.928,0.930,1.000,1.000,0.241,28.455,1.061,13.732,0.512,95.514,73.852,117.176,95.514,0.283,0.011,54.826,24.033,0.896
"2025_04_25_IC_small_1_cell_contour.jpg",5,10,746.833,782.667,764.750,108.618,109.895,109.257,1.655,1.801,1.728,0.777,0.834,0.805,1.000,1.000,1.000,6,6,6.0,0.954,0.988,0.932,1.000,1.000,0.326,34.873,1.261,8.944,0.323,102.726,81.249,124.203,102.726,0.040,0.001,79.909,28.570,1.033
"2025_04_25_IC_small_1_cell_contour.jpg",5,11,746.833,825.000,785.917,109.895,112.492,111.194,1.375,1.801,1.588,0.777,0.819,0.798,1.000,1.000,1.000,5,6,5.5,0.905,0.977,0.949,1.000,0.833,0.143,23.314,0.832,23.279,0.831,117.812,117.506,118.118,117.812,1.095,0.039,88.624,19.802,0.705
"2025_04_25_IC_small_1_cell_contour.jpg",5,12,429.667,746.833,588.250,87.543,109.895,98.719,1.801,1.942,1.872,0.705,0.777,0.741,1.000,1.000,1.000,5,6,5.5,0.575,0.797,0.907,1.000,0.833,0.271,31.270,1.301,10.734,0.447,126.907,126.027,127.787,126.907,5.852,0.244,89.784,25.850,1.093
"2025_04_25_IC_small_1_cell_contour.jpg",6,8,692.000,841.722,766.861,101.999,119.742,110.871,1.409,1.545,1.477,0.738,0.836,0.787,1.000,1.000,1.000,5,6,5.5,0.822,0.852,0.883,1.000,0.833,0.239,26.251,0.949,19.610,0.709,117.000,90.539,143.461,117.000,0.567,0.020,80.375,22.981,0.835
"2025_04_25_IC_small_1_cell_contour.jpg",6,11,692.000,825.000,758.500,101.999,112.492,107.245,1.375,1.409,1.392,0.819,0.836,0.828,1.000,1.000,1.000,5,6,5.5,0.839,0.907,0.980,1.000,0.833,0.179,28.593,1.039,18.028,0.655,114.155,103.604,124.706,114.155,4.230,0.154,82.776,24.145,0.869
"2025_04_25_IC_small_1_cell_contour.jpg",6,14,692.000,1095.167,893.583,101.999,126.650,114.324,1.391,1.409,1.400,0.836,0.858,0.847,1.000,1.000,1.000,6,7,6.5,0.632,0.805,0.974,1.000,0.857,0.283,37.714,1.270,8.544,0.288,102.413,89.530,115.296,102.413,8.417,0.283,75.337,29.160,0.976
"2025_04_25_IC_small_1_cell_contour.jpg",7,10,676.500,782.667,729.583,103.554,108.618,106.086,1.651,1.655,1.653,0.793,0.834,0.813,1.000,1.000,1.000,5,6,5.5,0.864,0.953,0.951,1.000,0.833,0.138,23.857,0.884,24.452,0.906,125.632,112.532,138.731,125.632,1.269,0.047,83.397,19.594,0.727
"2025_04_25_IC_small_1_cell_contour.jpg",7,16,676.500,810.167,743.333,103.554,108.494,106.024,1.579,1.651,1.615,0.793,0.865,0.829,1.000,1.000,1.000,5,7,6.0,0.835,0.954,0.917,1.000,0.714,0.248,33.272,1.222,16.750,0.615,131.218,126.870,135.566,131.218,0.354,0.013,84.707,26.622,0.986
"2025_04_25_IC_small_1_cell_contour.jpg",8,13,660.833,841.722,751.278,106.388,119.742,113.065,1.545,1.756,1.651,0.734,0.738,0.736,1.000,1.000,1.000,5,5,5.0,0.785,0.888,0.995,1.000,1.000,0.024,25.786,0.942,34.655,1.267,161.614,155.841,167.387,161.614,2.535,0.093,73.644,20.023,0.726
