file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
sample2,264,259,1,438.571,717.562,446.851,706.782
sample2,325,319,1,707.638,818.891,699.089,795.892
sample2,24,23,1,522.591,208.646,505.14,210.765
sample2,714,709,1,619.373,1357.84,632.745,1349.11
sample2,674,667,1,757.848,1291.1,768.333,1275
sample2,566,553,1,480.524,1145.08,483.037,1133.2
sample2,563,557,1,340.701,1144.11,344.169,1130.96
sample2,71,60,1,392.502,355.009,396.878,328.985
sample2,279,269,1,536.72,746.527,522.26,734.39
sample2,603,575,1,663.104,1189.99,659.991,1162.4
sample2,490,476,1,260.461,1045.96,261.3,1027.38
sample2,92,77,1,654.383,404.146,650.192,373.37
sample2,120,112,1,371.093,454.94,368.527,435.907
sample2,362,356,1,240.674,885.053,228.516,871.788
sample2,400,389,1,175.982,930.439,173.96,912.28
sample2,292,290,1,386.001,769.994,400.16,758.342
sample2,501,495,1,249.539,1067.13,236.786,1056.44
sample2,244,241,1,380.386,689.371,364.171,683.371
sample2,72,63,1,446.046,351.531,448.33,331.797
sample2,775,769,1,550.997,1479.05,553.802,1455.22
sample2,89,85,1,518.644,392.874,538.125,386.517
sample2,549,543,1,463.993,1131.5,459.559,1117.88
sample2,173,164,1,584.939,563.658,591.947,540.283
sample2,270,252,1,697.751,735.78,703.988,712.158
sample2,554,552,1,250.586,1139.39,268.685,1132.43
sample2,145,137,1,554.819,503.86,557.58,489.196
sample2,237,225,1,701.953,680.44,716.03,664.464
sample2,694,675,1,718.321,1318.69,732.38,1294.68
sample2,602,598,1,719.685,1192.53,737.8,1178.57
sample2,447,433,1,689.913,991.159,666.294,982.636
sample2,219,218,1,396.081,645.632,378.062,640.123
sample2,508,503,1,718.317,1075.73,705.35,1065.52
sample2,162,152,1,619.732,546.153,630.603,527.707
sample2,47,45,1,398.867,291.465,410.554,281.795
sample2,55,48,1,505.883,307.948,502.771,291.523
sample2,523,514,1,401.842,1091.43,395.817,1078.61
sample2,347,338,1,712.057,862.74,736.587,848.561
sample2,305,301,1,617.222,782.922,596.756,777.209
sample2,96,90,1,359.856,414.112,355.225,392.019
sample2,21,14,1,549.67,213.514,540.637,186.741
sample2,20,18,1,444.293,208.639,426.129,207.059
sample2,101,93,1,431.714,415.155,423.628,400.857
sample2,175,169,1,495.468,567.592,491.462,549.805
sample2,123,110,1,348.351,462.714,348.725,439.171
sample2,114,98,1,593.98,436.582,593.232,415.661
sample2,58,50,1,628.224,323.688,612.848,302.236
sample2,121,111,1,444.705,457.382,434.751,438.848
sample2,42,34,1,399.497,267.207,400.496,249.59
sample2,154,147,1,508.739,527.748,498.609,512.968
sample2,722,715,1,391.724,1371.76,380.593,1357.67
sample2,79,73,1,345.963,369.107,361.806,359.601
sample2,396,376,1,500.097,925.323,506.463,903.258
sample2,28,22,1,397.399,230.383,401.041,210.525
sample2,302,284,1,485.361,771.67,479.901,755.942
sample2,66,52,1,374.924,333.486,381.92,311.878
sample2,276,271,1,501.213,740.333,486.877,731.871
sample2,16,13,1,510.754,187.608,514.517,175.69
sample2,70,64,1,618.996,350.397,609.266,332.088
sample2,257,242,1,736.131,710.491,730.344,691.247
sample2,135,129,1,641.647,504.41,653.628,486.955
sample2,517,505,1,611.247,1082.06,614.07,1064.25
sample2,540,533,1,499.981,1126.91,521.944,1122.29
sample2,474,473,1,215.847,1024.23,232.922,1030.47
sample2,631,624,1,579.735,1235.06,560.019,1230.37
sample2,109,94,1,503.533,430.196,501.675,411.908
sample2,691,681,1,566.516,1321.71,549.164,1305.49
sample2,529,521,1,449.044,1102.25,458.816,1085.11
sample2,737,730,1,657.67,1393.58,676.025,1387.62
sample2,36,29,1,520.432,249.614,520.598,231.035
sample2,539,538,1,762.23,1131.79,747.797,1116.53
sample2,91,81,1,487.512,394.522,487.799,373.654
sample2,483,464,1,650.116,1039.28,640.628,1014.38
sample2,650,633,1,728.439,1257.57,742,1233
sample2,597,587,1,498.208,1185.5,483.264,1173.35
sample2,346,343,1,373.952,859.516,352.705,851.514
sample2,437,408,1,759.741,976.42,754.09,943.595
sample2,753,747,1,359.583,1420.48,376.162,1409.87
sample2,352,336,1,682.434,870.398,676.706,839.417
sample2,205,197,1,287.961,619.98,297.758,609.947
sample2,328,321,1,245.738,820.399,259.585,806.357
sample2,410,401,1,255.346,942.272,238.352,927.874
sample2,653,642,1,145.032,1257.92,143.46,1238.47
sample2,3,0,1,456.283,135.745,459.258,104.326
sample2,550,542,1,173.254,1134.3,183.531,1122.67
sample2,450,448,1,739.17,998.405,716.346,994.254
sample2,771,765,1,354.325,1459.01,349.877,1444.66
sample2,214,209,1,268.764,643.641,282.223,637.296
sample2,756,751,1,411.579,1429.31,428.47,1421.42
sample2,8,5,1,468.499,169.901,488.544,157.252
sample2,67,61,1,482.949,344.798,495.14,326.017
sample2,375,355,1,626.221,896.98,631.222,873.84
sample2,365,361,1,550.521,891.331,565.185,882.716
sample2,105,99,1,411.156,424.637,401.27,410.444
sample2,297,295,1,456.171,775.625,441.325,762.069
sample2,600,599,1,326.693,1191.38,308.79,1183.62
sample2,226,211,1,349.115,662.748,350.302,639.951
sample2,170,163,1,388.966,558.269,400.369,549.016
sample2,746,743,1,572.57,1420.59,561.964,1400.67
sample2,106,95,1,452.998,422.715,453.811,407.081
sample2,176,174,1,523.938,568.983,539.469,564.551
sample2,335,333,1,601.131,830.926,619.222,844.33
sample2,494,482,1,779.905,1058.1,786.864,1037.96
sample2,37,31,1,557.843,271.744,553.757,241.967
sample2,491,475,1,544.129,1051.22,529.63,1033.77
sample2,752,741,1,510.297,1417.57,508.589,1397.57
sample2,493,492,1,454.25,1059.21,470.849,1059.83
sample2,86,84,1,399.649,388.667,379.31,388.555
sample2,738,731,1,345.484,1394.25,367.627,1387.77
sample2,372,366,1,397.516,895.127,384.221,884.435
sample2,537,526,1,243.184,1114.98,244.043,1095.14
sample2,414,391,1,785.749,951.048,777.042,922.875
sample2,615,605,1,199.767,1215.96,189.237,1198.09
sample2,144,136,1,611.027,514.556,602.817,493.076
sample2,6,4,1,544.46,156.985,535.076,134.3
sample2,755,745,1,640.27,1427.05,630.861,1406.7
sample2,462,439,1,585.266,1005.05,592.256,981.291
sample2,721,717,1,478.316,1365.2,496.295,1361.32
sample2,734,713,1,572.876,1383.97,567.853,1357.2
sample2,407,399,1,437.667,934.241,427.147,925.846
sample2,32,25,1,585.987,245.481,581.563,217.42
sample2,161,151,1,561.712,545.953,552.913,522.965
sample2,133,131,1,344.201,488.33,359.901,487.131
sample2,107,97,1,536.594,432.431,535.364,413.682
sample2,768,762,1,582.365,1461.46,590.753,1443.58
sample2,720,708,1,601.213,1377.64,585.77,1347.96
sample2,445,436,1,500.996,980.816,506.49,965.399
sample2,384,383,1,261.253,913.237,281.945,906.331
sample2,520,513,1,217.493,1085.71,229.832,1077.46
sample2,88,78,1,464.438,389.467,467.652,366.53
sample2,465,460,1,760.339,1024.88,777.943,1009.27
sample2,247,236,1,516.667,692.535,521.348,676.133
sample2,7,2,1,516.481,156.483,510.814,127.904
sample2,229,217,1,502.457,659.677,497.422,643.579
sample2,418,402,1,358.139,945.722,353.619,928.444
sample2,635,620,1,219.839,1238.54,223.777,1211.54
sample2,637,622,1,249.05,1239.08,244.556,1216.81
sample2,651,648,1,599.16,1254.91,621.009,1260.42
sample2,643,626,1,393.167,1244.59,388.919,1223.28
sample2,777,776,1,489.345,1501.88,496.155,1484.56
sample2,589,580,1,352.342,1179.47,337.223,1161.02
sample2,488,481,1,435.268,1045.89,418.617,1038.29
sample2,480,466,1,395.537,1038.78,377.961,1016.57
sample2,232,220,1,546.373,668.326,551.585,648.789
sample2,56,43,1,586.517,313.305,584.439,283.989
sample2,139,124,1,389.026,502.88,384.077,475.227
sample2,679,660,1,674.008,1300.43,675.604,1272.68
sample2,108,100,1,645.758,443.782,626.555,423.244
sample2,40,35,1,617.031,271.848,605.415,254.705
sample2,249,245,1,316.86,702.048,300.311,695.284
sample2,725,718,1,546.187,1374.77,522.709,1367.99
sample2,340,330,1,520.76,844.81,516.306,824.447
sample2,44,33,1,447.056,281.584,462.834,260.142
sample2,15,11,1,413.157,188.094,418.762,166.468
sample2,363,360,1,356.746,883.437,334.699,876.902
sample2,251,250,1,649.304,708.934,626.307,703.438
sample2,240,234,1,338.44,689.932,319.513,674.637
sample2,623,609,1,172.821,1221.1,166.762,1197.75
sample2,379,370,1,304.953,905.352,318.438,892.013
sample2,545,532,1,575.48,1134.78,553.157,1115.78
sample2,255,253,1,281.35,715.812,261.559,705.6
sample2,324,310,1,759.308,819.88,768.624,789.798
sample2,83,76,1,442.238,383.071,421.701,370.653
sample2,478,472,1,590.608,1034.15,566.527,1029.32
