file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
IC_small_3_278um_cells,330,321,1,193.134,842.971,181.801,830.013
IC_small_3_278um_cells,357,353,1,422.226,929.55,414.383,909.933
IC_small_3_278um_cells,36,31,1,472.509,270.021,479.186,243.969
IC_small_3_278um_cells,24,18,1,437.694,212.702,438.979,190.476
IC_small_3_278um_cells,313,309,1,260.158,812.684,242.855,807.767
IC_small_3_278um_cells,254,248,1,157.004,700.043,175.221,696.419
IC_small_3_278um_cells,92,84,1,392.691,436.073,385.238,417.269
IC_small_3_278um_cells,325,324,1,424.203,844.787,412.63,831.804
IC_small_3_278um_cells,277,267,1,78.7215,744.826,76.2825,726.701
IC_small_3_278um_cells,168,157,1,151.465,585.86,165.698,570.53
IC_small_3_278um_cells,335,327,1,273.885,851.797,260.199,833.782
IC_small_3_278um_cells,50,43,1,463.081,313.685,461.112,292.954
IC_small_3_278um_cells,11,7,1,512.082,179.057,520.65,156.113
IC_small_3_278um_cells,34,27,1,506.929,266.027,505.63,237.073
IC_small_3_278um_cells,75,70,1,326.603,395.714,341.289,382.292
IC_small_3_278um_cells,224,217,1,331.189,666.414,318.072,653.707
IC_small_3_278um_cells,257,245,1,440.907,702.012,428.76,692.577
IC_small_3_278um_cells,33,28,1,375.159,258.618,375.033,234.081
IC_small_3_278um_cells,193,186,1,569.76,629.267,583.321,613.281
IC_small_3_278um_cells,80,76,1,414.032,410.554,403.307,394.639
IC_small_3_278um_cells,175,171,1,407.153,604.024,419.577,590.45
IC_small_3_278um_cells,278,276,1,251.492,751.436,271.871,748.462
IC_small_3_278um_cells,219,209,1,127.375,660.629,145.668,652.269
IC_small_3_278um_cells,96,85,1,555.856,449.398,547.194,422.735
IC_small_3_278um_cells,30,23,1,535.94,236.727,524.281,214.607
IC_small_3_278um_cells,55,44,1,479.124,332.886,490.378,302.452
IC_small_3_278um_cells,82,77,1,454.902,413.206,441.541,400.032
IC_small_3_278um_cells,128,125,1,267.637,518.111,285.274,510.53
IC_small_3_278um_cells,190,189,1,199.661,623.817,181.023,619.054
IC_small_3_278um_cells,215,213,1,278.949,652.585,263.153,655.559
IC_small_3_278um_cells,69,65,1,458.09,381.76,464.317,361.088
IC_small_3_278um_cells,63,54,1,493.525,358.256,509.248,331.842
IC_small_3_278um_cells,169,167,1,182.562,591.399,205.679,590.313
IC_small_3_278um_cells,112,110,1,308.932,491.57,291.667,484.578
IC_small_3_278um_cells,204,194,1,392.645,644.667,399.043,626.869
IC_small_3_278um_cells,344,343,1,280.776,880.942,265.475,880.087
IC_small_3_278um_cells,151,138,1,632.592,568.186,629.415,537.113
IC_small_3_278um_cells,263,236,1,651.527,726.551,632.813,691.043
IC_small_3_278um_cells,307,294,1,522.164,812.372,502.466,784.906
IC_small_3_278um_cells,48,38,1,533.534,308.71,523.461,288.167
IC_small_3_278um_cells,4,2,1,439,127.886,456.382,118.669
IC_small_3_278um_cells,78,71,1,500.036,407.053,488.435,385.229
IC_small_3_278um_cells,280,270,1,486.888,759.573,471.418,735.03
IC_small_3_278um_cells,87,73,1,579.209,428.058,566.465,395.799
IC_small_3_278um_cells,184,183,1,155.89,617.106,136.842,610.768
IC_small_3_278um_cells,312,297,1,479.168,809.045,471.597,786.034
IC_small_3_278um_cells,315,302,1,226.471,817.542,200.474,798.563
IC_small_3_278um_cells,26,17,1,410.209,229.893,409.037,195.049
IC_small_3_278um_cells,288,287,1,96.9741,769.351,70.742,769.932
IC_small_3_278um_cells,25,22,1,351.528,222.718,350.764,205.629
IC_small_3_278um_cells,46,41,1,355.205,298.797,361.565,282.968
IC_small_3_278um_cells,260,258,1,224.342,710.856,245.535,713.706
IC_small_3_278um_cells,227,208,1,223.668,668.012,214.574,647.807
