fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
IC_small_3_278um_cells,1,357,355,0,-1,0.455441,775.750000,485.500000,1066.000000,580.500000,0.662480,113.902982,90.778205,137.027758,46.249553,0.752098,1.468670,1.260870,1.676471,0.415601,0.963638,0.726888,0.713428,0.740348,0.026920,0.995796,0.997898,0.995796,1.000000,0.004204,0.571429,5.500000,4.000000,7.000000,3.000000,25.066980,0.916799,1.117647,0.583065,0.274573,0.821897,22.472205,22.810726,0.834279,11.684305,0.427341,5.523544,0.202018,21.295005,122.410433,131.987212,112.833654,19.153558,0.854883
IC_small_3_278um_cells,2,357,353,0,-1,0.757410,563.250000,485.500000,641.000000,155.500000,0.899456,95.851950,90.778205,100.925695,10.147490,0.920094,1.315620,1.260870,1.370370,0.109501,0.936206,0.765572,0.740348,0.790796,0.050448,1.000000,1.000000,1.000000,1.000000,0.000000,0.800000,4.500000,4.000000,5.000000,1.000000,21.127148,0.892344,1.210526,0.775181,0.004439,1.194638,28.284271,19.442717,0.821199,10.264699,0.433548,1.771104,0.074806,61.605642,178.099280,178.688112,177.510447,1.177665,0.993409
IC_small_3_278um_cells,3,356,355,0,-1,0.790807,954.500000,843.000000,1066.000000,223.000000,0.832267,125.535745,114.043732,137.027758,22.984026,0.719903,1.441684,1.206897,1.676471,0.469574,0.875902,0.763967,0.713428,0.814507,0.101079,0.995796,0.997898,0.995796,1.000000,0.004204,0.714286,6.000000,5.000000,7.000000,2.000000,28.075158,0.910288,1.140351,0.647222,0.185437,0.949177,29.274562,23.057882,0.747612,14.006715,0.454143,0.799971,0.025938,82.350710,122.491553,133.264295,111.718811,21.545484,0.838325
IC_small_3_278um_cells,4,356,354,0,-1,0.959590,860.750000,843.000000,878.500000,35.500000,0.995625,114.294296,114.043732,114.544860,0.501128,0.905172,1.270115,1.206897,1.333333,0.126437,0.968042,0.827951,0.814507,0.841396,0.026889,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,37.951258,1.293632,1.622222,0.528688,0.240198,0.448340,13.152946,28.893196,0.984873,18.433025,0.628320,0.942831,0.032138,73.124001,125.225815,131.223578,119.228052,11.995527,0.908587
IC_small_3_278um_cells,5,356,350,0,-1,0.742731,989.000000,843.000000,1135.000000,292.000000,0.878409,121.936813,114.043732,129.829895,15.786163,0.918291,1.260591,1.206897,1.314286,0.107389,0.962583,0.830337,0.814507,0.846167,0.031661,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,28.362394,0.904352,1.369565,0.785889,0.055359,1.052708,33.015148,24.485286,0.780728,14.091208,0.449307,2.999116,0.095629,68.949593,154.080144,167.870207,140.290081,27.580126,0.835706
IC_small_3_278um_cells,6,355,353,0,-1,0.601313,853.500000,641.000000,1066.000000,425.000000,0.736535,118.976727,100.925695,137.027758,36.102063,0.817414,1.523420,1.370370,1.676471,0.306100,0.902164,0.752112,0.713428,0.790796,0.077368,0.995796,0.997898,0.995796,1.000000,0.004204,0.714286,6.000000,5.000000,7.000000,2.000000,29.623271,1.022062,1.320000,0.520702,0.198008,0.603539,17.492856,23.408485,0.807640,14.323868,0.494202,2.568192,0.088608,47.297311,84.945351,104.036243,65.854458,38.181785,0.632995
IC_small_3_278um_cells,7,355,350,0,-1,0.939207,1100.500000,1066.000000,1135.000000,69.000000,0.947471,133.428826,129.829895,137.027758,7.197863,0.783960,1.495378,1.314286,1.676471,0.362185,0.843128,0.779798,0.713428,0.846167,0.132740,0.995796,0.997898,0.995796,1.000000,0.004204,1.000000,7.000000,7.000000,7.000000,0.000000,46.188034,1.392476,1.111111,0.466677,0.237846,0.352873,11.704700,34.044336,1.026368,23.327233,0.703269,4.629731,0.139577,59.356952,124.380341,168.349701,80.410982,87.938718,0.477643
IC_small_3_278um_cells,8,355,348,0,-1,0.780488,949.000000,832.000000,1066.000000,234.000000,0.864383,127.736120,118.444482,137.027758,18.583276,0.715789,1.438235,1.200000,1.676471,0.476471,0.957296,0.729340,0.713428,0.745253,0.031825,0.995796,0.997898,0.995796,1.000000,0.004204,0.857143,6.500000,6.000000,7.000000,1.000000,47.673513,1.550508,1.745098,0.401238,0.469178,0.189643,5.830952,31.133164,1.012558,22.021014,0.716200,7.016172,0.228190,44.663509,108.333596,112.630949,104.036243,8.594706,0.923691
IC_small_3_278um_cells,9,354,351,0,-1,0.914058,840.750000,803.000000,878.500000,75.500000,0.962747,112.411274,110.277688,114.544860,4.267172,0.822581,1.215054,1.096774,1.333333,0.236559,0.986165,0.835576,0.829755,0.841396,0.011641,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,32.754174,1.129907,1.369565,0.614554,0.135296,0.679504,19.697716,26.715784,0.921603,16.281085,0.561642,2.549667,0.087955,82.744872,133.705337,158.404690,109.005984,49.398705,0.688149
IC_small_3_278um_cells,10,354,350,0,-1,0.774009,1006.750000,878.500000,1135.000000,256.500000,0.882269,122.187377,114.544860,129.829895,15.285035,0.985714,1.323810,1.314286,1.333333,0.019048,0.994361,0.843782,0.841396,0.846167,0.004771,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,33.859338,1.069311,1.604167,0.577103,0.187733,0.552441,17.492856,25.931385,0.818938,16.790436,0.530258,3.626824,0.114539,73.978431,97.129144,100.481867,93.776422,6.705445,0.933267
