file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
left,55,48,1,533.785,353.678,521.667,337.032
left,190,179,1,230.391,609.191,243.382,594.119
left,213,202,1,734.094,639.888,717.732,628.361
left,377,369,1,782.159,913.647,768.144,894.756
left,428,427,1,407.295,1118.83,429.529,1114.46
left,136,125,1,277.79,520.724,294.772,506.624
left,363,355,1,253.567,885.557,240.501,870.296
left,216,215,1,288.782,659.519,272.512,644.854
left,203,193,1,192.13,631.332,202.5,609.854
left,184,173,1,493.339,604.234,478.439,587.363
left,111,105,1,716.246,472.873,734.488,457.706
left,310,291,1,869.077,797.743,876.611,770.206
left,418,415,1,329.808,1032.55,343.63,1018.05
left,3,2,1,651.049,185.466,626.582,184.5
left,22,18,1,817.072,263.742,830.612,245.86
left,275,264,1,223.057,744.729,205.999,727.688
left,93,84,1,418.055,427.165,424.06,407.889
left,54,43,1,558.352,347.371,569.174,325.493
left,122,108,1,265.881,493.693,281.488,470.671
left,50,49,1,462.964,339.254,491.729,336.814
left,214,207,1,614.952,646.036,595.317,633.624
left,276,272,1,342.218,755.412,359.331,742.374
left,109,97,1,353.117,462.47,344.654,443.576
left,167,158,1,426.018,579.934,407.753,562.146
left,285,262,1,317.115,756.195,318.208,729.513
left,375,370,1,626.391,906.241,650.637,906.621
left,98,96,1,391.447,443.652,373.37,443.393
left,278,273,1,532.426,751.369,512.184,741.799
left,419,417,1,477.23,1036.18,445.224,1025.26
left,152,140,1,485.226,542.696,466.216,527.544
left,104,103,1,412.717,456.711,434.322,452.887
left,134,130,1,444.786,514.554,420.899,507.037
left,303,296,1,205.347,789.488,224.354,777.935
left,235,225,1,688.829,678.72,675.133,662.699
left,78,68,1,749.459,403.505,738.201,382.723
left,150,135,1,532.022,532.479,532.002,512.055
left,120,118,1,467.47,490.125,438.41,481.947
left,189,180,1,365.029,608.853,348.637,595.002
left,88,81,1,501.128,424.202,514.498,404.897
left,407,405,1,521.284,994.503,501.629,978.075
left,263,250,1,660.323,726.111,640.631,708.155
left,187,172,1,622.27,606.92,606.109,585.62
left,77,75,1,480.811,403.794,457.599,394.557
left,160,156,1,538.573,564.598,515.624,548.677
left,113,106,1,646.026,473.041,621.982,460.779
left,92,91,1,300.155,433.322,322.674,431.501
left,99,89,1,652.286,446.474,657.338,423.382
left,299,295,1,753.393,780.826,783.698,778.435
left,401,396,1,316.531,969.809,310.438,952.629
left,421,416,1,425.934,1045.35,405.444,1031.16
left,294,292,1,600.084,772.257,626.194,775.659
left,58,46,1,723.01,357.358,700.822,335.9
left,169,154,1,213.319,580.997,201.468,555.511
left,384,381,1,307.761,927.205,301.278,911.105
left,301,298,1,536.483,788.485,508.946,778.161
left,182,175,1,719.578,595.487,692.022,596.426
left,1,0,1,738.223,180.157,711.067,173.936
left,145,137,1,374.603,545.052,393.671,523.04
left,385,374,1,415.223,929.288,417.476,903.486
left,234,224,1,250.789,686.218,241.549,661.112
left,326,304,1,329.501,816.486,334.608,791.347
left,45,40,1,805.28,335.59,779.268,315.296
left,66,64,1,339.421,376.936,364.915,372.765
left,161,148,1,666.564,559.88,669.436,535.386
left,386,379,1,724.97,933.519,705.146,916.178
left,35,28,1,684.68,306.141,666.36,289.039
left,209,200,1,322.112,641.204,340.779,628.091
left,112,107,1,594.523,475.033,566.906,465.196
left,426,425,1,384.193,1107.6,396.698,1085.56
left,327,323,1,534.206,826.201,503.596,817.978
left,240,232,1,445.208,690.305,424.093,679.514
left,288,280,1,575.358,766.292,556.703,753.191
left,274,257,1,477.606,752.992,451.806,724.721
left,196,188,1,757.545,625.027,741.754,603.242
left,334,319,1,346.229,835.579,363.553,813.737
left,37,26,1,552.165,302.988,552.702,276.07
left,20,19,1,603.812,253.635,576.894,254.171
left,284,269,1,251.343,770.145,265.484,744.394
left,341,335,1,839.87,845.267,818.687,840.363
left,290,281,1,447.818,775.047,424.228,757.088
left,32,29,1,762.059,291.253,740.284,283.158
left,141,138,1,693.017,522.253,729.671,531.748
left,228,212,1,459.043,668.008,443.781,645.141
left,178,170,1,393.642,597.86,377.925,579.209
left,343,329,1,761.135,854.353,735.707,831.48
left,266,265,1,615.045,737.484,586.876,728.826
left,72,70,1,427.706,384.649,397.991,381.075
left,208,204,1,367.789,637.082,386.407,628.303
left,397,389,1,603.934,961.37,632.524,943.788
left,366,357,1,452.724,894.355,467.82,874.243
left,21,14,1,729.284,256.274,752.907,250.721
left,247,239,1,345.704,708.439,325.364,693.929
left,358,347,1,542.157,872.135,531.121,854.22
left,176,163,1,521.222,590.726,500.566,569.004
left,133,127,1,598.913,514.263,570.757,505.879
left,289,270,1,816.692,764.757,796.732,742.461
left,345,333,1,216.34,857.433,199.792,838.429
left,57,51,1,650.996,357.246,673.304,343.019
left,185,171,1,584.461,604.856,566.595,582.538
left,13,7,1,786.902,236.732,750.325,214.563
left,59,53,1,428.093,356.442,397.21,347.057
left,195,181,1,460.166,617.994,449.947,595.544
left,360,346,1,303.544,885.287,278.027,864.591
left,41,36,1,740.989,323.693,718.304,305.09
left,256,236,1,495.405,717.735,478.858,690.434
left,31,25,1,832.753,289.123,850.867,274.822
left,230,220,1,368.425,674.916,345.93,662.681
left,23,17,1,706.873,271.93,678.062,253.842
left,336,314,1,248.022,837.174,250.328,809.971
left,252,237,1,776.511,714.23,744.632,696.26
left,316,309,1,302.15,808.127,277.452,799.558
left,211,197,1,536.077,638.434,514.286,622.61
left,12,8,1,696.455,230.111,718.773,216.094
left,251,246,1,271.298,715.956,291.141,700.524
left,231,223,1,618.753,676.184,643.489,668.195
left,350,342,1,577.524,864.55,565.388,843.644
left,318,307,1,700.494,810.068,722.139,795.153
left,233,226,1,207.472,689.143,190.298,668.56
