file_name,first_cell_id,second_cell_id,divided,first_cell_centroid_x,first_cell_centroid_y,second_cell_centroid_x,second_cell_centroid_y
right,331,328,1,1421.15,820.889,1438.7,810.808
right,381,377,1,1369.63,966.195,1387.65,954.039
right,297,286,1,1539.45,751.71,1540.31,727.56
right,167,159,1,1175.44,526.794,1198.04,514.48
right,282,274,1,1341.98,723.652,1369.37,714.174
right,112,103,1,1083.6,423.709,1106.97,412.902
right,294,285,1,1106.52,741.13,1086.31,734.767
right,155,154,1,1012.43,504.686,981.046,507.475
right,324,310,1,1502.63,806.325,1518.1,781.325
right,251,240,1,1534.91,668.338,1544.23,646.193
right,189,179,1,1140.47,563.155,1154.68,545.539
right,85,76,1,1200.22,377.832,1220.99,355.694
right,71,70,1,1305.45,340.173,1285.79,345.93
right,212,211,1,1393.03,602.548,1416.03,600.876
right,362,359,1,1150.78,896.759,1174.6,883.392
right,353,345,1,1143.93,866.925,1149.92,848.039
right,372,371,1,1260.55,933.106,1286.68,924.788
right,121,117,1,1396.46,444.831,1416.89,437.562
right,229,222,1,1449.48,633.768,1437.53,617.78
right,246,237,1,1418.77,662.428,1429.64,646.399
right,277,273,1,1225.55,714.778,1201.34,712.629
right,365,357,1,1419.1,896.185,1436.4,884.973
right,178,170,1,1344.26,542.725,1359.87,532.701
right,318,311,1,1175.16,795.579,1201.41,780.853
right,55,50,1,992.223,321.441,1012.62,310.521
right,376,370,1,1411.91,941.537,1433.44,921.375
right,18,15,1,1160.93,241.766,1143.57,234.277
right,219,208,1,1532.01,619.276,1538.78,593.389
right,291,288,1,1247.68,732.725,1273.09,738.023
right,268,261,1,1068.16,703.321,1088.85,686.202
right,140,130,1,1249.11,475.658,1268.28,465.261
right,127,120,1,1439.09,454.187,1448.97,435.005
right,176,169,1,1071.32,545.255,1094.62,529.804
right,134,132,1,1156.22,471.405,1181.53,467.7
right,13,10,1,1215.57,235.006,1235.89,220.349
right,350,343,1,1203.64,865.064,1183.57,851.056
right,227,217,1,1144.57,623.945,1161.24,607.864
right,378,375,1,1290.83,956.117,1313.01,938.408
right,279,270,1,1525.54,710.595,1528.82,691.358
right,254,250,1,1302.75,678.333,1331.03,665.162
right,115,109,1,1164.87,437.59,1195.51,419.868
right,290,287,1,1138.96,744.899,1170.15,732.018
right,344,340,1,1418.3,854.338,1444.26,838.178
right,339,335,1,1285.71,836.568,1312.78,824.667
right,131,128,1,1302.57,467.952,1326.13,451.813
right,269,262,1,1397.07,698.69,1413.46,686.075
right,194,186,1,1307.09,571.288,1328.96,559.21
right,64,57,1,1329.03,332.952,1343.25,315.646
right,53,49,1,1141.93,314.639,1122.74,306.379
right,278,271,1,1492.84,716.152,1499.53,694.38
right,41,32,1,1152.09,289.673,1170.38,275.712
right,119,116,1,1058.99,445.537,1035.75,440.022
right,313,309,1,1436.64,782.948,1456.9,774.447
right,301,300,1,1347.02,759.042,1367.44,747.332
right,319,315,1,1236.77,796.379,1263.31,785.75
right,209,205,1,1319.19,600.402,1337.88,588.477
right,337,333,1,1054.14,832.939,1086.79,827.843
right,259,249,1,979.214,689.923,1005.73,661.893
right,244,236,1,1114.91,661.032,1137.59,642.807
right,34,26,1,1033.01,288.118,1053.53,261.175
right,43,42,1,918.588,295.38,942.867,290.379
right,367,366,1,1463.9,910.197,1484.35,896.784
