fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
left,1,193,192,0,-1,0.790184,1723.500000,1521.500000,1925.500000,404.000000,0.889063,160.554714,151.126025,169.983403,18.857379,0.833654,1.168505,1.062500,1.274510,0.212010,0.999684,0.837282,0.837150,0.837414,0.000264,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,38.577412,0.930844,1.338462,0.806626,0.014070,1.078284,44.687806,30.673264,0.740123,19.046795,0.459585,3.824225,0.092276,84.201984,172.707833,174.130400,171.285267,2.845132,0.983661
left,2,193,190,0,-1,0.692409,1287.500000,1053.500000,1521.500000,468.000000,0.857993,140.395542,129.665059,151.126025,21.460965,0.994681,1.065341,1.062500,1.068182,0.005682,0.940579,0.812278,0.787406,0.837150,0.049744,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,37.739503,1.056181,1.147059,0.619002,0.157670,0.729788,26.076810,31.146718,0.871675,18.752498,0.524809,6.905311,0.193253,78.604055,116.542736,142.361774,90.723698,51.638077,0.637276
left,3,192,190,0,-1,0.547131,1489.500000,1053.500000,1925.500000,872.000000,0.762810,149.824231,129.665059,169.983403,40.318344,0.838112,1.171346,1.068182,1.274510,0.206328,0.940282,0.812410,0.787406,0.837414,0.050009,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,51.416276,1.347066,1.625000,0.483035,0.325613,0.278501,10.630146,38.482490,1.008211,23.247234,0.609059,11.157568,0.292319,60.168217,103.549706,109.108376,97.991035,11.117341,0.898107
left,4,192,188,0,-1,0.570241,1511.750000,1098.000000,1925.500000,827.500000,0.759933,149.579679,129.175954,169.983403,40.807449,0.863077,1.187255,1.100000,1.274510,0.174510,0.987435,0.832153,0.826892,0.837414,0.010522,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,44.554102,1.157000,1.037037,0.563290,0.190342,0.512177,19.723083,33.751589,0.876476,22.088650,0.573607,8.063071,0.209385,82.417334,95.471063,109.330123,81.612004,27.718119,0.746473
left,5,192,187,0,-1,0.989466,1935.750000,1925.500000,1946.000000,20.500000,0.990483,170.800027,169.983403,171.616652,1.633249,0.825199,1.163117,1.051724,1.274510,0.222786,0.991502,0.833856,0.830298,0.837414,0.007117,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,48.153416,1.094470,1.137931,0.651870,0.117267,0.777445,34.205263,37.340349,0.848702,23.329778,0.530258,2.428744,0.055202,74.601740,143.227655,157.445155,129.010154,28.435001,0.819397
left,6,192,184,0,-1,0.981044,1907.250000,1889.000000,1925.500000,36.500000,0.995912,170.332283,169.983403,170.681163,0.697760,0.784615,1.137255,1.000000,1.274510,0.274510,0.973039,0.826126,0.814837,0.837414,0.022577,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,53.125952,1.216488,1.452055,0.484355,0.338314,0.298556,13.038405,41.957444,0.960750,26.432601,0.605259,3.295359,0.075458,80.772757,95.000126,105.534128,84.466124,21.068004,0.800368
left,7,191,189,0,-1,0.682290,1337.000000,1084.500000,1589.500000,505.000000,0.872977,143.782430,134.031302,153.533558,19.502256,0.775954,1.318511,1.152174,1.484848,0.332675,0.895289,0.802988,0.758625,0.847352,0.088727,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,34.926460,0.959514,1.708333,0.735244,0.063201,1.013505,36.891733,28.488697,0.782653,16.345018,0.449037,4.738388,0.130175,57.963991,156.176828,178.163846,134.189811,43.974035,0.753182
left,8,191,186,0,-1,0.775934,963.000000,841.500000,1084.500000,243.000000,0.923447,128.901043,123.770784,134.031302,10.260517,0.891357,1.404189,1.323529,1.484848,0.161319,0.909915,0.724454,0.690284,0.758625,0.068341,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,31.139969,1.005482,1.178571,0.571648,0.182762,0.840138,26.019224,26.639034,0.860151,14.954911,0.482881,3.400201,0.109789,60.076832,126.036452,146.888658,105.184246,41.704412,0.716081
left,9,190,188,0,-1,0.959472,1075.750000,1053.500000,1098.000000,44.500000,0.996228,129.420507,129.175954,129.665059,0.489105,0.971074,1.084091,1.068182,1.100000,0.031818,0.952247,0.807149,0.787406,0.826892,0.039487,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,30.750688,0.937610,1.049180,0.765733,0.009063,1.081454,35.468296,25.508904,0.777785,15.300952,0.466537,0.259055,0.007899,77.504538,174.085404,178.891188,169.279620,9.611568,0.946271
left,10,189,187,0,-1,0.816804,1767.750000,1589.500000,1946.000000,356.500000,0.894631,162.575105,153.533558,171.616652,18.083094,0.912817,1.101949,1.051724,1.152174,0.100450,0.979874,0.838825,0.830298,0.847352,0.017054,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,45.991995,1.095282,1.827586,0.558406,0.202800,0.512983,21.540659,32.977801,0.785354,21.924572,0.522125,3.624215,0.086309,55.103067,88.911364,108.120297,69.702430,38.417867,0.644675
left,11,189,186,0,-1,0.529412,1215.500000,841.500000,1589.500000,748.000000,0.806148,138.652171,123.770784,153.533558,29.762774,0.870531,1.237852,1.152174,1.323529,0.171355,0.814637,0.768818,0.690284,0.847352,0.157068,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,49.218808,1.429177,1.390625,0.487233,0.250926,0.390656,13.453624,38.485863,1.117522,23.773397,0.690313,10.216569,0.296661,77.074000,119.957304,120.625944,119.288664,1.337279,0.988914
left,12,189,185,0,-1,0.579427,1255.250000,921.000000,1589.500000,668.500000,0.786437,137.139023,120.744489,153.533558,32.789069,0.901701,1.214976,1.152174,1.277778,0.125604,0.936852,0.820598,0.793843,0.847352,0.053508,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,30.750655,0.875881,1.169492,0.698397,0.115117,0.879300,30.870698,23.359581,0.665359,15.277304,0.435148,6.475371,0.184440,32.889903,106.608209,115.173525,98.042894,17.130630,0.851262
left,13,189,182,0,-1,0.722240,1368.750000,1148.000000,1589.500000,441.500000,0.908696,146.524437,139.515317,153.533558,14.018241,0.967826,1.171325,1.152174,1.190476,0.038302,0.874670,0.794252,0.741153,0.847352,0.106199,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,54.897829,1.488741,1.036145,0.457604,0.303562,0.255834,9.433981,38.694523,1.049333,27.221698,0.738209,3.397401,0.092132,76.790772,107.792999,138.867258,76.718740,62.148518,0.552461
left,14,188,184,0,-1,0.581260,1493.500000,1098.000000,1889.000000,791.000000,0.756826,149.928558,129.175954,170.681163,41.505209,0.909091,1.050000,1.000000,1.100000,0.100000,0.985421,0.820864,0.814837,0.826892,0.012055,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,41.526279,1.084255,1.415385,0.663997,0.092400,0.810676,31.048349,32.741443,0.854882,20.500687,0.535275,9.867004,0.257628,67.247407,142.552745,145.135750,139.969741,5.166009,0.964406
left,15,188,183,0,-1,0.782332,978.500000,859.000000,1098.000000,239.000000,0.892151,122.210227,115.244499,129.175954,13.931455,0.939024,1.135714,1.100000,1.171429,0.071429,0.982910,0.819826,0.812761,0.826892,0.014132,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,31.377904,1.004981,1.489796,0.625732,0.198518,0.739431,23.086793,26.519616,0.849378,15.504395,0.496579,3.627621,0.116187,89.617957,120.900087,121.731592,120.068583,1.663009,0.986339
left,16,187,185,0,-1,0.473279,1433.500000,921.000000,1946.000000,1025.000000,0.703571,146.180570,120.744489,171.616652,50.872163,0.823088,1.164751,1.051724,1.277778,0.226054,0.956095,0.812071,0.793843,0.830298,0.036454,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,44.390088,1.192297,1.291667,0.570384,0.143007,0.551111,20.518285,33.830517,0.908672,22.003348,0.591000,11.984394,0.321895,86.225910,116.876845,136.706178,97.047511,39.658667,0.709899
left,17,187,184,0,-1,0.970709,1917.500000,1889.000000,1946.000000,57.000000,0.994549,171.148907,170.681163,171.616652,0.935489,0.950820,1.025862,1.000000,1.051724,0.051724,0.981379,0.822567,0.814837,0.830298,0.015461,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,35.562360,0.812147,1.064935,0.833641,0.054237,1.163133,50.931326,29.033548,0.663047,17.736467,0.405053,1.424906,0.032541,82.263607,148.424371,150.325020,146.523722,3.801298,0.974713
left,18,187,181,0,-1,0.575026,1532.500000,1119.000000,1946.000000,827.000000,0.750109,150.173901,128.731151,171.616652,42.885501,0.997201,1.050252,1.048780,1.051724,0.002944,0.978501,0.839419,0.830298,0.848541,0.018243,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,48.525784,1.251230,1.446154,0.518450,0.267863,0.358214,13.892444,36.168805,0.932607,23.463769,0.605010,9.900265,0.255277,77.561404,103.096772,106.522557,99.670986,6.851572,0.935680
left,19,186,182,0,-1,0.733014,994.750000,841.500000,1148.000000,306.500000,0.887148,131.643050,123.770784,139.515317,15.744532,0.899471,1.257003,1.190476,1.323529,0.133053,0.931365,0.715719,0.690284,0.741153,0.050869,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,21.534268,0.684815,1.000000,0.890930,0.011812,1.522808,47.885280,17.292940,0.549936,10.719534,0.340894,2.595294,0.082533,15.626508,169.276132,174.559668,163.992596,10.567072,0.939464
left,20,185,182,0,-1,0.802265,1034.500000,921.000000,1148.000000,227.000000,0.865457,130.129903,120.744489,139.515317,18.770828,0.931677,1.234127,1.190476,1.277778,0.087302,0.933626,0.767498,0.741153,0.793843,0.052690,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,46.914998,1.460841,1.840000,0.449279,0.275737,0.306674,9.848858,34.793363,1.083397,21.702489,0.675773,0.379377,0.011813,41.985734,107.812883,123.089848,92.535918,30.553930,0.751775
left,21,185,181,0,-1,0.823056,1020.000000,921.000000,1119.000000,198.000000,0.937959,124.737820,120.744489,128.731151,7.986662,0.820785,1.163279,1.048780,1.277778,0.228997,0.935540,0.821192,0.793843,0.848541,0.054697,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,31.260185,0.979952,1.189655,0.662744,0.159314,0.827617,26.400758,26.487480,0.830336,15.573649,0.488206,1.433343,0.044933,88.472634,135.979102,163.281503,108.676702,54.604801,0.665579
left,22,185,180,0,-1,0.860346,995.750000,921.000000,1070.500000,149.500000,0.957687,123.411885,120.744489,126.079282,5.334793,0.821739,1.163889,1.050000,1.277778,0.227778,0.938050,0.820057,0.793843,0.846270,0.052427,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,29.179511,0.925357,1.068966,0.767180,0.065780,1.049873,33.105891,24.791610,0.786206,14.519681,0.460456,1.604369,0.050879,80.254954,162.722960,176.409677,149.036243,27.373434,0.844830
left,23,184,183,0,-1,0.454738,1374.000000,859.000000,1889.000000,1030.000000,0.675203,142.962831,115.244499,170.681163,55.436663,0.853659,1.085714,1.000000,1.171429,0.171429,0.997452,0.813799,0.812761,0.814837,0.002076,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,38.606330,1.061031,1.312500,0.556267,0.275473,0.505275,18.384776,32.059520,0.881103,17.752129,0.487888,8.406457,0.231038,35.358245,105.714664,111.467651,99.961676,11.505975,0.896777
left,24,184,181,0,-1,0.592377,1504.000000,1119.000000,1889.000000,770.000000,0.754220,149.706157,128.731151,170.681163,41.950012,0.953488,1.024390,1.000000,1.048780,0.048780,0.960280,0.831689,0.814837,0.848541,0.033704,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,47.167325,1.226494,1.178082,0.579021,0.148438,0.570884,21.954498,35.535607,0.924034,23.581262,0.613184,11.966753,0.311172,82.568299,119.076211,135.000000,103.152423,31.847577,0.764092
left,25,184,179,0,-1,0.666226,1573.750000,1258.500000,1889.000000,630.500000,0.801036,153.701499,136.721836,170.681163,33.959327,0.978723,1.010870,1.000000,1.021739,0.021739,0.963126,0.830435,0.814837,0.846033,0.031196,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,40.830035,1.034484,1.318841,0.581713,0.155044,0.590940,23.323808,32.581027,0.825484,20.247544,0.512999,2.939432,0.074474,64.030066,97.883591,113.198591,82.568592,30.629998,0.729414
left,26,184,176,0,-1,0.555850,1469.500000,1050.000000,1889.000000,839.000000,0.726256,147.319677,123.958191,170.681163,46.722972,0.863636,1.078947,1.000000,1.157895,0.157895,0.948903,0.836776,0.814837,0.858714,0.043878,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,49.811899,1.313149,1.612903,0.504229,0.225247,0.316346,12.000000,37.253249,0.982076,23.843462,0.628565,9.672678,0.254993,64.336535,101.348292,104.931417,97.765166,7.166251,0.931705
