fileName,pairIndex,firstPolygonId,secondPolygonId,is_real_division,divided_how_many_hours_ago,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
right,1,475,474,0,-1,0.966278,758.000000,745.000000,771.000000,26.000000,0.999988,107.775655,107.775034,107.776276,0.001243,0.931034,1.287356,1.241379,1.333333,0.091954,0.966300,0.820045,0.805990,0.834100,0.028109,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,29.905719,1.086265,1.700000,0.626922,0.140501,0.748817,20.615528,23.783316,0.863881,14.925986,0.542156,0.817283,0.029686,85.901287,121.887322,128.659808,115.114835,13.544973,0.894723
right,2,475,276,0,-1,0.683511,949.500000,771.000000,1128.000000,357.000000,0.828444,118.935534,107.776276,130.094791,22.318515,0.880491,1.167201,1.093023,1.241379,0.148356,0.995907,0.835814,0.834100,0.837528,0.003428,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,31.416931,1.024143,1.416667,0.670339,0.119537,0.801816,24.596748,24.815458,0.808946,15.661413,0.510538,4.332720,0.141240,83.922869,119.814018,133.451842,106.176193,27.275649,0.795614
right,3,475,268,0,-1,0.716543,923.500000,771.000000,1076.000000,305.000000,0.852410,117.106739,107.776276,126.437203,18.660926,0.931034,1.287356,1.241379,1.333333,0.091954,0.986156,0.839954,0.834100,0.845809,0.011710,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,33.078523,1.092253,1.521739,0.584423,0.174337,0.576670,17.464249,26.602466,0.878414,16.520464,0.545506,5.245470,0.173205,87.789172,121.722234,166.759480,76.684987,90.074493,0.459854
right,4,475,265,0,-1,0.673951,957.500000,771.000000,1144.000000,373.000000,0.840858,117.975199,107.776276,128.174122,20.397846,0.888177,1.171972,1.102564,1.241379,0.138815,0.953197,0.854577,0.834100,0.875055,0.040955,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,34.275850,1.113034,1.581395,0.590051,0.218538,0.552038,17.000000,27.279233,0.885834,16.939901,0.550086,5.052219,0.164060,70.394695,114.244822,118.506538,109.983107,8.523431,0.928076
right,5,475,263,0,-1,0.662776,641.000000,511.000000,771.000000,260.000000,0.845264,99.437835,91.099393,107.776276,16.676884,0.960470,1.216844,1.192308,1.241379,0.049072,0.927645,0.803924,0.773748,0.834100,0.060351,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,27.480743,1.091108,1.380952,0.639845,0.172387,0.798049,20.099751,22.720140,0.902090,13.206251,0.524347,2.881598,0.114412,76.601847,147.110017,161.565051,132.654984,28.910067,0.821062
right,6,475,247,0,-1,0.725306,917.000000,771.000000,1063.000000,292.000000,0.848952,117.364187,107.776276,126.952097,19.175821,0.846866,1.146331,1.051282,1.241379,0.190097,0.993678,0.831463,0.828826,0.834100,0.005274,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,37.670340,1.247970,1.666667,0.481725,0.320065,0.265030,8.000000,30.392876,1.006877,18.415356,0.610077,4.461378,0.147800,84.086283,95.221587,102.724356,87.718819,15.005536,0.853924
right,7,474,265,0,-1,0.651224,944.500000,745.000000,1144.000000,399.000000,0.840849,117.974578,107.775034,128.174122,20.399088,0.826923,1.217949,1.102564,1.333333,0.230769,0.921074,0.840522,0.805990,0.875055,0.069064,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,38.091696,1.246502,1.293103,0.536552,0.226310,0.419068,12.806248,28.340170,0.927396,18.946888,0.620013,7.532842,0.246503,79.069735,113.016122,113.198591,112.833654,0.364936,0.996776
right,8,474,259,0,-1,0.630201,607.250000,469.500000,745.000000,275.500000,0.817256,97.927428,88.079822,107.775034,19.695212,0.780000,1.186667,1.040000,1.333333,0.293333,0.943545,0.783239,0.760488,0.805990,0.045502,1.000000,1.000000,1.000000,1.000000,0.000000,0.666667,5.000000,4.000000,6.000000,2.000000,24.115536,0.985059,1.317073,0.583004,0.219844,0.695607,17.029386,19.348056,0.790319,12.000700,0.490198,3.250035,0.132756,66.896136,115.670096,116.565051,114.775141,1.789911,0.984645
right,9,474,247,0,-1,0.700847,904.000000,745.000000,1063.000000,318.000000,0.848943,117.363565,107.775034,126.952097,19.177063,0.788462,1.192308,1.051282,1.333333,0.282051,0.972448,0.817408,0.805990,0.828826,0.022836,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,24.859514,0.830056,1.191489,0.844274,0.023507,1.180039,35.341194,19.710811,0.658142,12.418461,0.414651,3.486970,0.116430,77.192624,164.225806,171.285267,157.166346,14.118921,0.917571
right,10,474,243,0,-1,0.787943,845.250000,745.000000,945.500000,200.500000,0.914812,112.793078,107.775034,117.811123,10.036089,0.909091,1.272727,1.212121,1.333333,0.121212,0.941523,0.831020,0.805990,0.856049,0.050059,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,36.005884,1.240648,1.137931,0.492450,0.285714,0.308191,8.944272,28.387100,0.978129,17.813949,0.613812,5.291565,0.182330,77.547148,90.072047,93.366461,86.777634,6.588827,0.929430
