file_name,first_cell_id,second_cell_id,divided
left,470,459,1
left,508,506,1
left,624,622,1
left,367,364,1
left,426,423,1
left,96,85,1
left,242,230,1
left,105,101,1
left,545,542,1
left,539,531,1
left,659,657,1
left,694,687,1
left,554,549,1
left,650,648,1
left,333,321,1
left,398,395,1
left,504,499,1
left,651,644,1
left,440,427,1
left,602,593,1
left,199,185,1
left,270,261,1
left,104,91,1
left,570,566,1
left,54,41,1
left,243,231,1
left,489,471,1
left,157,152,1
left,580,579,1
left,334,323,1
left,560,556,1
left,83,81,1
left,609,608,1
left,551,537,1
left,612,610,1
left,615,613,1
left,656,649,1
left,484,476,1
left,277,273,1
left,193,182,1
left,629,626,1
left,254,248,1
left,435,434,1
left,619,618,1
left,383,372,1
left,707,705,1
left,606,605,1
left,192,184,1
left,677,674,1
left,59,53,1
left,138,126,1
left,287,274,1
left,355,352,1
left,172,162,1
left,501,492,1
left,444,441,1
left,690,688,1
left,479,453,1
left,693,692,1
left,697,696,1
left,245,229,1
left,116,112,1
left,36,30,1
left,668,663,1
left,82,68,1
left,584,583,1
left,711,709,1
left,86,61,1
left,483,482,1
left,472,464,1
left,118,110,1
left,52,43,1
left,424,419,1
left,562,558,1
left,203,198,1
left,577,576,1
left,676,669,1
left,227,218,1
left,527,526,1
left,487,475,1
left,190,168,1
left,717,716,1
left,62,57,1
left,548,547,1
left,50,44,1
left,276,263,1
left,574,568,1
left,511,494,1
left,89,67,1
left,516,498,1
left,290,288,1
left,544,543,1
left,177,171,1
left,317,300,1
left,63,58,1
left,26,25,1
left,134,127,1
left,571,564,1
left,598,597,1
left,652,646,1
left,410,401,1
left,655,647,1
left,589,586,1
left,213,202,1
left,452,448,1
left,223,210,1
left,670,662,1
left,74,65,1
left,149,143,1
left,32,18,1
left,12,11,1
left,460,456,1
left,529,517,1
left,328,316,1
left,241,240,1
left,513,509,1
left,186,183,1
left,154,148,1
left,299,291,1
left,695,686,1
left,565,563,1
left,90,70,1
left,324,308,1
left,621,620,1
left,442,438,1
left,521,500,1
left,340,332,1
left,528,505,1
left,56,51,1
left,136,119,1
left,653,645,1
left,319,315,1
left,523,519,1
left,272,268,1
left,628,625,1
left,376,354,1
left,211,206,1
left,437,433,1
left,60,45,1
left,195,173,1
left,55,40,1
left,201,187,1
left,515,510,1
left,639,631,1
left,461,445,1
left,457,443,1
left,303,293,1
left,215,207,1
left,481,465,1
left,313,307,1
left,467,463,1
left,302,285,1
left,391,368,1
left,408,407,1
left,46,38,1
left,265,251,1
left,378,353,1
left,339,329,1
left,209,191,1
left,236,222,1
left,212,180,1
left,204,196,1
left,286,284,1
left,617,614,1
left,37,28,1
left,675,664,1
left,22,13,1
left,412,405,1
left,253,246,1
left,447,439,1
left,553,552,1
left,681,679,1
left,267,250,1
left,363,356,1
left,480,477,1
left,588,581,1
left,385,377,1
left,572,567,1
left,532,502,1
left,497,496,1
left,281,269,1
left,114,108,1
left,422,413,1
left,708,706,1
left,247,238,1
left,616,611,1
left,9,7,1
left,672,666,1
left,271,260,1
left,382,380,1
left,165,145,1
left,189,178,1
left,390,384,1
left,140,130,1
left,252,226,1
left,94,76,1
left,371,358,1
left,264,257,1
left,141,129,1
left,312,296,1
left,322,306,1
left,170,167,1
left,73,72,1
left,31,29,1
left,550,534,1
left,389,381,1
left,346,341,1
left,375,366,1
left,533,522,1
left,704,701,1
left,590,582,1
left,320,310,1
left,536,530,1
left,468,458,1
left,337,330,1
left,66,64,1
left,414,411,1
left,350,347,1
left,158,142,1
left,19,16,1
left,298,294,1
left,174,146,1
left,155,153,1
left,14,10,1
left,478,454,1
left,712,710,1
left,35,27,1
left,386,379,1
left,429,402,1
left,573,569,1
left,421,409,1
left,144,135,1
left,546,535,1
left,295,262,1
left,256,234,1
left,34,15,1
left,200,181,1
left,237,221,1
left,525,495,1
left,314,301,1
left,244,232,1
left,634,633,1
left,369,349,1
left,197,179,1
left,23,17,1
left,514,490,1
left,133,106,1
left,600,592,1
left,512,493,1
left,325,311,1
left,79,78,1
left,331,326,1
left,228,216,1
left,703,699,1
left,84,75,1
left,123,103,1
left,156,151,1
left,365,362,1
left,164,147,1
left,24,21,1
left,345,327,1
left,292,279,1
left,150,131,1
left,88,77,1
left,555,540,1
left,98,80,1
left,113,87,1
left,239,224,1
left,249,233,1
left,641,637,1
left,702,698,1
left,595,587,1
left,685,680,1
left,428,415,1
left,400,387,1
left,351,338,1
left,714,713,1
left,671,667,1
left,691,683,1
left,194,176,1
left,370,343,1
left,658,654,1
left,4,3,1
left,636,635,1
left,561,538,1
left,357,344,1
left,111,107,1
