fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
left,1,717,716,0,-1,0.788408,1126.250000,993.000000,1259.500000,266.500000,0.901664,132.548234,125.694108,139.402360,13.708252,0.973085,1.035870,1.021739,1.050000,0.028261,0.969754,0.802139,0.789822,0.814456,0.024634,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,27.626633,0.824659,1.392157,0.831773,0.019978,1.203298,40.311289,21.819127,0.651304,13.769263,0.411015,2.754896,0.082234,84.002554,164.748367,179.035516,150.461218,28.574298,0.840399
left,2,717,714,0,-1,0.671400,1236.000000,993.000000,1479.000000,486.000000,0.833683,138.231897,125.694108,150.769686,25.075578,0.991254,1.045408,1.040816,1.050000,0.009184,0.966005,0.803720,0.789822,0.817617,0.027795,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,46.291393,1.323185,1.607143,0.505775,0.268002,0.409258,14.317821,36.247784,1.036100,23.134870,0.661283,6.931059,0.198116,83.077463,111.997457,115.746596,108.248318,7.498277,0.935218
left,3,716,715,0,-1,0.928492,1308.000000,1259.500000,1356.500000,97.000000,0.988469,140.215465,139.402360,141.028570,1.626209,0.794686,1.153727,1.021739,1.285714,0.263975,0.950282,0.835762,0.814456,0.857068,0.042612,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,32.622933,0.902181,1.209677,0.768000,0.056766,1.016855,36.769553,25.635527,0.708946,16.089242,0.444945,1.642798,0.045431,87.459710,148.994916,158.226190,139.763642,18.462548,0.883315
left,4,716,714,0,-1,0.851589,1369.250000,1259.500000,1479.000000,219.500000,0.924605,145.086023,139.402360,150.769686,11.367325,0.981671,1.031278,1.021739,1.040816,0.019077,0.996134,0.816037,0.814456,0.817617,0.003161,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,51.816443,1.401444,1.023529,0.486037,0.228592,0.325681,12.041595,37.905657,1.025209,25.835361,0.698752,3.448022,0.093256,88.180391,106.545937,111.801409,101.290464,10.510946,0.905986
left,5,716,713,0,-1,0.953156,1230.000000,1200.500000,1259.500000,59.000000,0.999366,139.446584,139.402360,139.490807,0.088447,0.978723,1.010870,1.000000,1.021739,0.021739,0.951948,0.794888,0.775320,0.814456,0.039137,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,45.881930,1.308339,1.568966,0.476115,0.253659,0.343370,12.041595,36.655368,1.045241,22.713662,0.647688,0.050823,0.001449,77.027062,97.534244,105.068488,90.000000,15.068488,0.856584
left,6,715,713,0,-1,0.884998,1278.500000,1200.500000,1356.500000,156.000000,0.989096,140.259689,139.490807,141.028570,1.537762,0.777778,1.142857,1.000000,1.285714,0.285714,0.904618,0.816194,0.775320,0.857068,0.081749,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,44.881709,1.255803,1.211268,0.553592,0.195542,0.553981,19.798990,34.289413,0.959427,22.103464,0.618461,0.989774,0.027694,82.963757,123.252271,130.236358,116.268185,13.968174,0.892748
left,7,715,711,0,-1,0.824917,1237.750000,1119.000000,1356.500000,237.500000,0.973264,142.965658,141.028570,144.902747,3.874177,0.744361,1.506494,1.285714,1.727273,0.441558,0.781396,0.763389,0.669710,0.857068,0.187358,0.983304,0.991652,0.983304,1.000000,0.016696,0.857143,6.500000,6.000000,7.000000,1.000000,46.951922,1.336098,1.655172,0.462852,0.426984,0.379660,13.341664,34.119175,0.970920,23.472056,0.667938,3.014553,0.085784,86.022801,109.017283,111.389529,106.645038,4.744490,0.957406
left,8,715,709,0,-1,0.911014,1422.750000,1356.500000,1489.000000,132.500000,0.898328,149.009313,141.028570,156.990057,15.961487,0.871671,1.380357,1.285714,1.475000,0.189286,0.885819,0.808138,0.759207,0.857068,0.097861,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,49.860915,1.322251,1.571429,0.470573,0.398700,0.296489,11.180340,38.747807,1.027545,24.816906,0.658114,6.578045,0.174442,83.492105,97.540697,98.426969,96.654425,1.772544,0.981991
left,9,714,713,0,-1,0.811697,1339.750000,1200.500000,1479.000000,278.500000,0.925191,145.130247,139.490807,150.769686,11.278878,0.960784,1.020408,1.000000,1.040816,0.040816,0.948268,0.796468,0.775320,0.817617,0.042297,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,28.401570,0.776997,1.315789,0.834948,0.025564,1.223466,44.721360,20.841357,0.570168,14.036052,0.383992,2.517159,0.068863,38.570739,146.762826,150.395549,143.130102,7.265447,0.951691
left,10,714,710,0,-1,0.766520,1704.250000,1479.000000,1929.500000,450.500000,0.914023,157.860708,150.769686,164.951730,14.182044,0.925170,1.082908,1.040816,1.125000,0.084184,0.917506,0.854373,0.817617,0.891130,0.073513,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,7.000000,7.000000,7.000000,0.000000,49.366760,1.198457,1.036585,0.557013,0.162682,0.466338,19.209373,37.138895,0.901606,24.411668,0.592632,2.689715,0.065297,89.141461,98.910232,104.884791,92.935673,11.949118,0.886074
