fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
right,1,1477,1475,0,-1,0.652991,836.000000,660.500000,1011.500000,351.000000,0.842049,115.349229,105.458327,125.240130,19.781803,0.976331,1.167832,1.153846,1.181818,0.027972,0.920942,0.778346,0.746313,0.810380,0.064067,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,5.000000,5.000000,5.000000,0.000000,22.132078,0.769754,1.019231,0.853330,0.019438,1.283095,36.891733,19.653393,0.683545,11.066022,0.384876,4.284391,0.149011,30.689884,170.621615,179.309723,161.933508,17.376215,0.903094
right,2,1477,1474,0,-1,0.361225,1244.500000,660.500000,1828.500000,1168.000000,0.645182,134.456689,105.458327,163.455051,57.996723,0.927515,1.138986,1.096154,1.181818,0.085664,0.867786,0.803166,0.746313,0.860019,0.113706,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,41.062074,1.199573,1.246154,0.543954,0.226195,0.425357,14.560220,32.247800,0.942076,20.216355,0.590593,14.740893,0.430635,68.019226,100.652372,103.786318,97.518427,6.267891,0.939608
right,3,1477,1472,0,-1,0.520489,964.750000,660.500000,1269.000000,608.500000,0.759890,122.119647,105.458327,138.780966,33.322639,0.882160,1.112186,1.042553,1.181818,0.139265,0.901383,0.787139,0.746313,0.827964,0.081652,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,41.563845,1.355566,1.596154,0.484757,0.334024,0.335782,10.295630,31.500211,1.027350,20.165221,0.657670,7.640841,0.249199,81.938301,115.887064,127.481573,104.292555,23.189019,0.818099
right,4,1476,1474,0,-1,0.591195,1454.750000,1081.000000,1828.500000,747.500000,0.813524,148.214797,132.974543,163.455051,30.480508,0.977007,1.109053,1.096154,1.121951,0.025797,0.893286,0.814131,0.768243,0.860019,0.091776,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,31.994319,0.845968,1.140625,0.838856,0.010998,1.158897,43.829214,25.654297,0.678330,15.996274,0.422961,6.850039,0.181123,59.413970,165.311788,177.188626,153.434949,23.753678,0.865941
right,5,1476,1473,0,-1,0.828670,1192.750000,1081.000000,1304.500000,223.500000,0.930031,137.976616,132.974543,142.978688,10.004145,0.945959,1.153999,1.121951,1.186047,0.064095,0.958048,0.785063,0.768243,0.801884,0.033641,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,42.018896,1.218002,1.144928,0.556515,0.132886,0.635735,21.931712,33.841624,0.980967,20.818445,0.603464,4.041810,0.117160,83.419944,117.266295,132.003782,102.528808,29.474974,0.776711
right,6,1476,1470,0,-1,0.966905,1099.500000,1081.000000,1118.000000,37.000000,0.998858,133.050530,132.974543,133.126517,0.151974,0.994944,1.119115,1.116279,1.121951,0.005672,0.969117,0.780484,0.768243,0.792725,0.024482,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,48.096598,1.450548,1.957447,0.430174,0.410414,0.190743,6.324555,37.491091,1.130696,23.465214,0.707689,0.469884,0.014171,87.984907,106.867086,107.850318,105.883854,1.966465,0.981767
right,7,1475,1472,0,-1,0.797084,1140.250000,1011.500000,1269.000000,257.500000,0.902430,132.010548,125.240130,138.780966,13.540836,0.903546,1.098200,1.042553,1.153846,0.111293,0.978762,0.819172,0.810380,0.827964,0.017584,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,40.316854,1.195865,1.056338,0.562017,0.147994,0.566685,19.104973,30.296247,0.898637,20.147976,0.597622,1.540262,0.045687,88.243954,103.579579,113.385221,93.773938,19.611283,0.827038
right,8,1475,1471,0,-1,0.717376,1210.750000,1011.500000,1410.000000,398.500000,0.868263,134.741165,125.240130,144.242199,19.002069,0.998521,1.154701,1.153846,1.155556,0.001709,0.951578,0.830999,0.810380,0.851617,0.041237,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,34.588635,0.997451,1.362069,0.715422,0.082180,0.911923,31.622777,27.908195,0.804804,17.055568,0.491841,6.020002,0.173602,64.991837,148.331648,148.431029,148.232268,0.198761,0.998661
right,9,1474,1472,0,-1,0.694011,1548.750000,1269.000000,1828.500000,559.500000,0.849047,151.118008,138.780966,163.455051,24.674084,0.951101,1.069354,1.042553,1.096154,0.053601,0.962728,0.843992,0.827964,0.860019,0.032055,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,34.955217,0.891897,1.013333,0.768637,0.059241,0.984908,38.600518,25.945884,0.662020,17.451081,0.445272,4.687710,0.119609,72.147593,140.147160,145.294320,135.000000,10.294320,0.929149
right,10,1474,1470,0,-1,0.611430,1473.250000,1118.000000,1828.500000,710.500000,0.814453,148.290784,133.126517,163.455051,30.328534,0.981971,1.106216,1.096154,1.116279,0.020125,0.921753,0.826372,0.792725,0.860019,0.067294,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,45.747486,1.200761,1.075949,0.586191,0.119124,0.593915,22.627417,36.937044,0.969508,22.867650,0.600221,8.477722,0.222520,84.662963,106.158007,113.601281,98.714733,14.886548,0.868958
