fileName,pairIndex,firstPolygonId,secondPolygonId,observed_division,division_timing,areaRatio,areaMean,areaMin,areaMax,areaDiff,perimeterRatio,perimeterMean,perimeterMin,perimeterMax,perimeterDiff,aspectRatio,aspectMean,aspectMin,aspectMax,aspectDiff,circularityRatio,circularityMean,circularityMin,circularityMax,circularityDiff,solidityRatio,solidityMean,solidityMin,solidityMax,solidityDiff,vertexCountRatio,vertexCountMean,vertexCountMin,vertexCountMax,vertexCountDiff,centroidDistance,centroidDistanceNormalized,unionAspectRatio,unionCircularity,unionConvexDeficiency,normalizedSharedEdgeLength,sharedEdgeLength,sharedEdgeUnsharedVerticesDistance,sharedEdgeUnsharedVerticesDistanceNormalized,centroidSharedEdgeDistance,centroidSharedEdgeDistanceNormalized,sharedEdgeUnionCentroidDistance,sharedEdgeUnionCentroidDistanceNormalized,sharedEdgeUnionAxisAngleDegrees,junctionAngleAverageDegrees,junctionAngleMaxDegrees,junctionAngleMinDegrees,junctionAngleDifferenceDegrees,junctionAngleRatio
sample2_12h,1,0,1,1,2,0.653052,3457.083333,2731.500000,4182.666667,1451.166667,0.840968,225.052958,205.611757,244.494159,38.882402,0.950226,1.052503,1.025641,1.079365,0.053724,0.923398,0.845601,0.811924,0.879278,0.067354,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,52.939146,0.905428,1.092784,0.811043,0.092371,1.050141,61.400326,45.293313,0.774660,26.462642,0.452595,9.113617,0.155872,86.225446,159.863401,167.589291,152.137511,15.451780,0.907800
sample2_12h,2,0,2,0,-1,0.687083,3353.500000,2731.500000,3975.500000,1244.000000,0.856196,222.878715,205.611757,240.145673,34.533917,0.804315,1.210667,1.079365,1.341969,0.262604,0.937266,0.839096,0.811924,0.866268,0.054344,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,64.178694,1.113099,1.045317,0.572686,0.447095,0.538774,31.064449,51.296781,0.889679,31.956533,0.554246,5.941706,0.103051,88.673594,116.542375,120.611568,112.473182,8.138386,0.932524
sample2_12h,3,1,2,0,-1,0.950470,4079.083333,3975.500000,4182.666667,207.166667,0.982214,242.319916,240.145673,244.494159,4.348485,0.764281,1.183805,1.025641,1.341969,0.316328,0.985203,0.872773,0.866268,0.879278,0.013010,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,75.460923,1.181615,1.591696,0.563586,0.404217,0.455179,29.068884,57.827565,0.905500,37.348485,0.584826,3.144477,0.049238,77.925235,94.466773,95.266356,93.667189,1.599167,0.983214
sample2_12h,4,1,5,0,-1,0.964588,4259.444444,4182.666667,4336.222222,153.555556,0.962616,249.241730,244.494159,253.989302,9.495143,0.976410,1.038031,1.025641,1.050420,0.024779,0.960648,0.861977,0.844677,0.879278,0.034601,1.000000,1.000000,1.000000,1.000000,0.000000,1.000000,6.000000,6.000000,6.000000,0.000000,67.480222,1.033993,1.794574,0.654941,0.261771,0.721642,47.095647,51.199580,0.784526,33.624797,0.515230,1.221040,0.018710,83.002848,128.596904,138.322323,118.871486,19.450837,0.859380
sample2_12h,5,2,4,0,-1,0.557750,3096.416667,2217.333333,3975.500000,1758.166667,0.786631,214.525852,188.906031,240.145673,51.239643,0.982995,1.330559,1.319149,1.341969,0.022820,0.901358,0.823542,0.780817,0.866268,0.085451,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,66.990009,1.216450,1.336842,0.515968,0.559141,0.369425,20.344259,53.498953,0.971471,32.998991,0.599218,18.814787,0.341652,77.506614,99.072950,113.739551,84.406349,29.333202,0.742102
sample2_12h,6,2,5,0,-1,0.916812,4155.861111,3975.500000,4336.222222,360.722222,0.945495,247.067488,240.145673,253.989302,13.843628,0.782746,1.196195,1.050420,1.341969,0.291549,0.975076,0.855472,0.844677,0.866268,0.021591,1.000000,1.000000,1.000000,1.000000,0.000000,0.857143,6.500000,6.000000,7.000000,1.000000,84.947904,1.318028,1.302452,0.523380,0.458736,0.367788,23.704196,62.213893,0.965293,42.307784,0.656436,2.193825,0.034039,85.415890,113.070511,128.031485,98.109538,29.921946,0.766292
sample2_12h,7,2,6,1,12,0.681424,3342.250000,2709.000000,3975.500000,1266.500000,0.891185,227.079966,214.014258,240.145673,26.131415,0.804024,1.505517,1.341969,1.669065,0.327096,0.857988,0.804758,0.743247,0.866268,0.123020,1.000000,1.000000,1.000000,1.000000,0.000000,0.714286,6.000000,5.000000,7.000000,2.000000,44.916394,0.780479,1.220077,0.849692,0.094298,1.214088,69.870515,38.030978,0.660836,22.437457,0.389879,7.995117,0.138925,51.561373,160.555611,161.887528,159.223693,2.663834,0.983545
sample2_12h,8,3,4,1,6,0.737431,2612.083333,2217.333333,3006.833333,789.500000,0.841334,206.718859,188.906031,224.531687,35.625656,0.830762,1.453514,1.319149,1.587879,0.268730,0.959875,0.765152,0.749487,0.780817,0.031330,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,42.293541,0.829910,1.007547,0.787661,0.098197,1.223860,62.369865,38.159110,0.748782,20.624305,0.404703,5.011801,0.098345,54.530038,165.308671,171.650378,158.966963,12.683414,0.926109
sample2_12h,9,3,9,0,-1,0.764903,3468.916667,3006.833333,3931.000000,924.166667,0.927942,233.249589,224.531687,241.967492,17.435805,0.651068,1.310848,1.033816,1.587879,0.554062,0.888311,0.796604,0.749487,0.843721,0.094234,0.992301,0.996150,0.992301,1.000000,0.007699,0.714286,6.000000,5.000000,7.000000,2.000000,79.466402,1.352248,1.843137,0.484249,0.498427,0.358966,21.095023,61.595208,1.048141,37.999668,0.646625,1.781541,0.030316,66.306398,120.036211,156.335073,83.737349,72.597724,0.535627
sample2_12h,10,4,6,0,-1,0.818506,2463.166667,2217.333333,2709.000000,491.666667,0.882680,201.460144,188.906031,214.014258,25.108227,0.790352,1.494107,1.319149,1.669065,0.349916,0.951884,0.762032,0.743247,0.780817,0.037569,1.000000,1.000000,1.000000,1.000000,0.000000,0.833333,5.500000,5.000000,6.000000,1.000000,59.131226,1.192924,1.663594,0.540525,0.396734,0.650598,32.249031,46.078325,0.929592,29.407381,0.593270,11.399914,0.229984,82.925435,115.370101,126.862671,103.877530,22.985142,0.818819
