file_name,first_cell_id,second_cell_id,divided
sample2_54h,138,136,1
sample2_54h,137,135,1
sample2_54h,134,132,1
sample2_54h,133,123,1
sample2_54h,131,119,1
sample2_54h,130,124,1
sample2_54h,129,126,1
sample2_54h,127,120,1
sample2_54h,125,116,1
sample2_54h,122,117,1
sample2_54h,121,115,1
sample2_54h,118,109,1
sample2_54h,114,113,1
sample2_54h,112,111,1
sample2_54h,108,105,1
sample2_54h,107,102,1
sample2_54h,104,92,1
sample2_54h,103,100,1
sample2_54h,101,97,1
sample2_54h,98,96,1
sample2_54h,95,94,1
sample2_54h,91,87,1
sample2_54h,89,86,1
sample2_54h,85,79,1
sample2_54h,82,72,1
sample2_54h,81,77,1
sample2_54h,80,78,1
sample2_54h,76,74,1
sample2_54h,75,71,1
sample2_54h,73,67,1
sample2_54h,70,57,1
sample2_54h,69,61,1
sample2_54h,68,63,1
sample2_54h,65,60,1
sample2_54h,64,48,1
sample2_54h,62,54,1
sample2_54h,59,51,1
sample2_54h,58,56,1
sample2_54h,55,50,1
sample2_54h,52,46,1
sample2_54h,49,40,1
sample2_54h,45,43,1
sample2_54h,44,31,1
sample2_54h,41,37,1
sample2_54h,38,32,1
sample2_54h,36,34,1
sample2_54h,35,29,1
sample2_54h,30,28,1
sample2_54h,26,20,1
sample2_54h,18,15,1
sample2_54h,17,16,1
sample2_54h,12,7,1
sample2_54h,11,8,1
sample2_54h,10,9,1
sample2_54h,5,1,1
sample2_54h,2,0,1
