file_name,first_cell_id,second_cell_id,hours_ago,divided
sample2_54h,0,2,6,1
sample2_54h,1,5,6,1
sample2_54h,16,17,8,1
sample2_54h,9,10,8,1
sample2_54h,8,11,12,1
sample2_54h,15,18,8,1
sample2_54h,28,30,4,1
sample2_54h,34,36,6,1
sample2_54h,37,41,8,1
sample2_54h,47,53,8,1
sample2_54h,43,45,2,1
sample2_54h,56,58,4,1
sample2_54h,71,75,4,1
sample2_54h,65,60,8,1
sample2_54h,87,91,6,1
sample2_54h,93,99,10,1
sample2_54h,136,138,10,1
sample2_54h,132,134,10,1
sample2_54h,124,130,8,1
sample2_54h,123,133,14,1
sample2_54h,110,116,4,1
sample2_54h,125,128,6,1
sample2_54h,109,118,14,1
sample2_54h,86,89,6,1
sample2_54h,96,98,14,1
sample2_54h,78,80,14,1
sample2_54h,105,108,10,1
sample2_54h,111,112,12,1
sample2_54h,94,95,14,1
sample2_54h,72,82,12,1
sample2_54h,74,76,4,1
sample2_54h,79,85,2,1
sample2_54h,68,63,4,1
sample2_54h,50,55,6,1
sample2_54h,52,46,8,1
sample2_54h,54,62,6,1
sample2_54h,40,49,14,1
sample2_54h,51,59,8,1
sample2_54h,31,44,14,1
sample2_54h,57,70,14,1
sample2_54h,20,26,8,1
sample2_54h,32,38,8,1
sample2_54h,29,35,8,1
sample2_54h,67,73,14,1
sample2_54h,97,101,4,1
sample2_54h,102,107,10,1
sample2_54h,113,114,8,1
sample2_54h,120,127,2,1
sample2_54h,115,121,10,1
sample2_54h,126,129,8,1
sample2_54h,135,137,8,1
sample2_54h,7,12,12,1
sample2_54h,48,64,14,1
sample2_54h,81,77,6,1
sample2_54h,61,69,2,1
sample2_54h,117,122,4,1
sample2_54h,100,103,12,1
sample2_54h,19,22,8,1
sample2_54h,92,104,14,1
