real_division_pair
first_cell_index second_cell_index hour_ago_divided
0 2 6
1 5 6
16 17 8
9 10 8
8 11 12
15 18 8
28 30 4
34 36 6
37 41 8
47 53 8
43 45 2
56 58 4
71 75 4
65 60 8
87 91 6
93 99 10 
136 138 10
132 134 10
124 130 8
123 133 14
110 116 4
125 128 6
109 118 14
86 89 6
96 98 14
78 80 14
105 108 10
111 112 12
94 95 14
72 82 12
74 76 4
79 85 2
68 63 4
50 55 6
52 46 8
54 62 6
40 49 14
51 59 8
31 44 14
57 70 14
20 26 8
32 38 8
29 35 8
67 73 14
97 101 4
102 107 10
113 114 8
120 127 2
115 121 10
126 129 8
135 137 8
7 12 12
48 64 14
81 77 6
61 69 2
117 122 4
100 103 12
19 22 8
92 104 14
