real_division_pair
0 1 2
2 3 12
4 5 10
6 7 2
8 9 2
10 12 24
11 13 2
15 22 8
17 19 10
20 21 2
23 34 10
24 32 24
25 31 6
26 28 4
27 36 14
29 30 10
33 35 6
37 41 10
38 43 12
39 45 8
40 51 8
42 46 4
44 47 2
48 59 12
52 55 6
53 61 8
56 57 2
58 65 10
60 64 6
63 66 22
67 69 6
71 74 4
75 82 2
78 81 8
79 80 6
83 88 10
84 85 10
87 93 10
89 99 6
95 97 4
96 100 24
101 104 2
102 114 24
105 106 10
109 112 12
110 119 4
111 125 20
116 124 10
117 122 6
121 127 8
123 134 4
126 139 6
129 137 24
130 136 10
131 142 4
135 143 14
146 173 4
149 153 20
156 157 10
168 169 16
170 171 4
