real_division_pair
0 2 4
1 5 4
16 17 6
9 10 6
8 11 8
15 18 6
28 30 2
34 35 4
37 41 6
47 53 8
43 45 6
57 55 8
68 72 4
64 60 10
84 88 8
91 96 8
132 134 10
128 130 10
120 126 6
119 129 16
107 112 4
121 124 6
105 114 14
83 86 4
93 95 12
75 77 12
101 104 10
106 108 10
90 92 14
69 78 10
71 73 4
76 82 2
66 62 4
50 56 4
52 46 6
54 61 6
40 49 14
51 59 6
31 44 12
58 67 12
20 26 6
32 39 6
29 36 6
65 70 14
94 98 2
99 103 8
109 110 4
116 123 2
111 117 8
113 118 4
125 122 6
131 133 6
7 12 10
48 63 14
80 74 14
