real_division_pair
0 4 8
1 2 8
3 6 10
12 15 6
14 21 8
16 20 16
18 22 10
25 27 10
31 34 6
35 36 12
38 43 14
45 47 10
46 48 2
52 66 4
53 54 14
59 60 8
62 63 4
65 67 6
69 72 8
75 76 12
78 79 14
82 84 8
86 88 2
87 89 6
91 92 10
94 97 6
98 108 16
99 112 8
100 101 12
102 106 10
103 107 4
110 122 6
114 124 16
116 117 8
125 126 2
127 138 4
128 130 4
131 144 8
132 139 16
134 137 12
140 143 6
141 148 10
151 152 2
153 160 6
154 165 4
155 169 8
157 167 16
170 173 8
171 179 6
172 185 8
177 182 10
183 184 10
186 191 4
187 188 6
190 197 6
193 196 10
198 200 8
199 206 6
201 204 8
202 203 6
205 209 10
207 225 12
208 215 16
211 217 6
212 228 10
213 221 8
216 218 4
219 220 12
222 223 6
224 226 6
227 229 4
230 233 2
231 234 8
232 237 8
235 236 8
